preds,trues
1076.74,789.125
2425.7605,1525.125
1803.1676,1202.1875
1080.9768,1490.875
4198.03,5102.625
2327.372,2252.1875
2717.1167,3202.75
2115.4668,1256.0625
980.407,824.0625
1678.3925,1890.6875
1053.9031,742.9375
944.0239,477.625
704.21985,858.3125
1147.624,1477.625
1680.8596,2345.0625
1683.5654,1409.875
1588.7135,1055.375
803.65674,443.8125
616.34875,516.5
658.2173,789.81256
1374.313,1032.625
1087.2439,1168.0
1485.7079,1672.6875
889.27527,594.8125
897.7555,903.0625
589.1339,637.4375
865.2186,868.09375
1694.9224,1459.125
877.9807,710.84375
747.2716,586.4063
503.40417,503.25006
634.17755,530.84375
600.29614,437.875
732.747,856.9375
567.06805,398.75
583.8332,565.46875
944.59406,1120.375
1206.0107,971.5
293.16077,185.125
244.65198,895.25
873.86993,847.84375
601.7324,396.65625
619.3805,1520.2188
825.6429,688.4375
911.69867,1241.75
1169.343,874.40625
650.9357,452.5625
480.69824,278.15637
599.33154,505.6563
559.1511,348.37506
1125.5942,781.375
488.0876,407.40625
716.5193,696.8125
575.23737,554.25
519.24066,408.12506
777.60297,694.75
617.1839,376.0
590.6857,704.50006
982.32263,1332.25
1236.0201,1170.0625
1596.5406,2082.25
677.0157,360.62506
732.00806,915.625
693.45123,981.3125
1412.6315,1295.9375
566.9341,384.37506
1112.7358,916.3125
1332.4467,1400.0625
2957.9683,2448.2188
3083.7698,3057.0312
3489.1836,3588.9688
3221.131,5171.875
1859.7319,1558.6875
2034.02,2433.625
2074.3235,1536.6562
1056.1459,888.3125
1377.3289,1377.0
1520.6373,1490.1875
1185.1714,1174.9375
1341.4105,929.625
839.8998,942.875
1365.3351,1215.75
1003.5112,1313.375
469.9336,408.12506
449.1455,503.18756
827.02985,1169.375
1064.9976,947.75
684.5899,794.0
914.41925,945.0
973.96436,1020.4375
949.4313,453.75006
585.3381,1130.1875
693.3221,452.18756
658.67896,784.25
752.6194,840.8125
1151.0361,1187.5625
820.72327,891.875
1121.6885,1290.3125
1441.5984,1546.125
925.6994,1077.8125
401.61542,386.50006
1251.1866,1616.0
1315.6881,1300.75
1812.6615,1638.4375
1462.8656,1925.6875
1939.49,1989.3125
567.6417,596.87506
1273.2717,1165.125
1027.2434,1004.40625
999.8771,1091.8125
1019.81085,877.34375
396.1797,533.21875
587.80237,606.2813
537.9039,566.84375
366.04443,96.40625
129.58801,17.0625
405.5996,274.96887
472.09198,255.0625
763.0926,849.4375
1285.9039,1531.4375
1493.4292,1323.875
1324.0299,1435.0
1210.8662,1490.1875
982.9992,1141.375
867.59827,1090.375
693.7373,378.75
575.3522,698.25
357.22522,199.1875
1158.9711,1047.7188
472.0866,523.46875
330.1151,219.0625
816.408,468.96875
668.97,840.8125
474.57153,348.0
399.69196,455.6875
570.92975,578.00006
263.77783,239.0
249.73352,309.0
260.64502,156.5
294.79077,133.4375
394.24255,441.0
367.9342,308.9375
261.90356,46.03125
235.20715,12.562622
434.97137,256.8125
379.31903,326.375
239.14917,149.5625
454.71393,409.56256
508.79785,413.7813
329.76428,169.40637
215.19641,91.18762
254.46704,427.75
181.1366,144.75
174.14917,110.375
127.13562,81.6875
145.74768,238.3125
194.63086,142.875
145.05981,78.875
180.71838,91.5
243.68726,190.0625
170.41028,75.4375
186.79419,133.4375
100.50427,25.0625
95.81763,63.5625
96.554565,55.125122
95.20349,35.5625
108.89758,58.625
177.6289,37.6875
196.21802,60.000122
264.724,195.00012
249.78503,121.0625
302.15344,452.18756
542.0734,706.62506
617.2618,327.0625
1531.6727,1207.125
1343.6947,1237.1875
1070.2906,830.3125
1058.0846,791.1875
544.60297,476.625
433.961,224.28125
292.70886,348.6875
369.25897,269.75
345.25226,255.81262
462.49426,208.1875
252.0979,116.0
