preds,trues
370.87018,283.75
559.1707,645.4375
395.5473,376.75006
340.01215,378.8125
633.80554,1130.9375
664.0801,799.5625
430.99243,534.0
442.8883,379.50006
569.07166,592.00006
793.9576,659.125
681.34686,142.84375
1260.4672,839.06256
667.1682,647.875
1649.8965,1789.375
1274.6879,1184.9375
1404.2084,1350.4062
1305.2123,1691.5
1517.7837,1707.625
1168.1271,899.5625
827.73065,1068.6875
858.4313,977.8125
1331.5592,2125.9688
2324.5813,2930.1875
2293.0059,2385.625
2165.7175,2436.6875
2343.2246,2013.4375
2139.2744,2151.5
961.666,1686.625
1409.8218,1177.75
1046.5536,1502.8125
294.8407,249.15625
352.73804,481.5
598.12933,424.9375
500.3559,429.62506
1359.5485,1171.4375
471.32568,489.25006
1237.8608,1577.9688
1193.1396,767.43756
674.7074,873.6875
842.88196,616.4375
482.50696,348.75006
364.61267,284.125
386.8015,297.0
278.83643,272.5625
348.93134,273.9375
385.0465,359.59375
418.9355,399.0625
617.7268,1173.5625
1069.1136,957.5625
522.07025,640.9375
430.27142,472.06256
788.5366,690.50006
498.80194,0.6876221
812.89435,715.00006
1015.9766,1280.5
841.27637,452.25006
752.1796,1632.125
2011.7716,1773.3125
514.6887,1143.5
1269.6495,769.87506
1148.2625,1564.3125
944.85144,1243.5
1002.7322,807.31256
119.07092,27.9375
120.24548,137.625
88.56409,179.5625
85.09534,0.34375
86.375,0.0
86.60693,0.0
86.64575,0.0
86.65259,0.0
80.37427,10.8125
90.907104,0.0
246.60205,532.56256
526.4561,388.25006
301.50952,31.375122
6168.6553,6763.4375
4408.9707,3473.25
5016.379,7457.625
4899.474,4418.625
4087.335,2997.25
5427.599,3729.125
3671.3706,3511.6875
2919.8525,3313.9062
2964.7017,3160.4688
3121.4072,2814.125
2160.4092,2477.875
1641.9929,2132.25
2703.6157,2869.375
2549.846,1985.125
886.1692,1777.0938
1058.3066,1808.9375
914.2979,1088.9375
543.0726,227.125
301.7932,231.3125
588.781,525.56256
313.38428,191.4375
365.79053,294.875
282.63477,412.37506
993.2915,503.25006
840.4914,1126.75
399.98492,289.3125
337.78192,214.5
213.41455,189.3125
232.31079,180.25
222.36487,140.4375
