preds,trues
1058.5533,789.125
2405.0024,1525.125
1788.7361,1202.1875
1067.5383,1490.875
4157.2803,5102.625
2298.2363,2252.1875
2681.5034,3202.75
2079.4507,1256.0625
968.71967,824.0625
1662.8085,1890.6875
1035.1661,742.9375
932.70276,477.625
695.84174,858.3125
1134.6202,1477.625
1656.3143,2345.0625
1656.8027,1409.875
1567.4138,1055.375
795.87195,443.8125
608.9597,516.5
646.36163,789.81256
1354.9874,1032.625
1070.0145,1168.0
1462.0499,1672.6875
873.67004,594.8125
883.29346,903.0625
576.8995,637.4375
850.89343,868.09375
1671.7411,1459.125
862.0491,710.84375
735.1458,586.4063
494.17853,503.25006
623.5619,530.84375
591.1597,437.875
720.7114,856.9375
555.673,398.75
573.6667,565.46875
930.28815,1120.375
1186.762,971.5
285.36523,185.125
237.73828,895.25
858.92896,847.84375
590.44366,396.65625
608.3118,1520.2188
810.3533,688.4375
897.0936,1241.75
1151.0182,874.40625
638.3126,452.5625
471.57397,278.15637
588.6496,505.6563
547.0824,348.37506
1110.2981,781.375
477.3025,407.40625
704.0342,696.8125
563.347,554.25
507.8714,408.12506
764.23724,694.75
605.70404,376.0
580.93976,704.50006
968.58374,1332.25
1217.704,1170.0625
1574.705,2082.25
664.0555,360.62506
719.0368,915.625
678.46063,981.3125
1387.9625,1295.9375
555.521,384.37506
1099.9481,916.3125
1312.038,1400.0625
2925.5527,2448.2188
3052.1191,3057.0312
3452.8794,3588.9688
3174.378,5171.875
1817.5529,1558.6875
2005.1279,2433.625
2036.4685,1536.6562
1034.5669,888.3125
1357.3107,1377.0
1492.2511,1490.1875
1161.4513,1174.9375
1314.1854,929.625
822.8618,942.875
1347.9858,1215.75
986.9255,1313.375
461.79346,408.12506
441.69177,503.18756
817.89197,1169.375
1051.822,947.75
674.67834,794.0
903.0454,945.0
962.01196,1020.4375
937.3284,453.75006
577.21405,1130.1875
683.78937,452.18756
649.8313,784.25
741.893,840.8125
1138.2136,1187.5625
809.4371,891.875
1108.5471,1290.3125
1425.3152,1546.125
912.3561,1077.8125
393.04388,386.50006
1240.3593,1616.0
1298.3866,1300.75
1789.8027,1638.4375
1445.7428,1925.6875
1918.301,1989.3125
556.96674,596.87506
1261.643,1165.125
1016.2815,1004.40625
989.8798,1091.8125
1010.8302,877.34375
391.0802,533.21875
581.84186,606.2813
533.2488,566.84375
361.70038,96.40625
127.25,17.0625
402.03217,274.96887
468.73407,255.0625
757.2577,849.4375
1275.8168,1531.4375
1478.3872,1323.875
1312.1122,1435.0
1199.9612,1490.1875
974.15466,1141.375
859.00525,1090.375
684.6548,378.75
569.9565,698.25
352.01074,199.1875
1148.8165,1047.7188
465.69086,523.46875
325.36792,219.0625
809.68396,468.96875
662.42053,840.8125
468.1067,348.0
394.81982,455.6875
564.83215,578.00006
259.22937,239.0
245.82092,309.0
256.15283,156.5
290.20007,133.4375
389.14203,441.0
362.9289,308.9375
257.66296,46.03125
231.1145,12.562622
430.28534,256.8125
374.7085,326.375
235.14929,149.5625
449.90552,409.56256
