preds,trues
189.63098,153.6875
3612.5728,3538.3125
2842.4595,2256.3125
2193.471,1713.875
3958.4385,4362.4375
2485.1855,2806.4375
3851.3242,4529.5
3383.7021,5487.8125
3562.065,4783.5
4074.4878,3658.5
2082.2715,1501.375
2626.9243,2961.5625
1986.5542,3603.3125
2552.2192,1897.0
3350.722,2935.75
3943.266,3520.75
2680.1191,2642.8125
2397.1287,1378.375
2828.0718,2584.125
2566.2522,2456.9375
2377.8042,2706.5
2087.9775,1121.8125
1841.7201,2373.75
2153.7852,2080.875
1558.7092,1795.0
1584.4169,1651.6875
1555.094,1636.3125
1442.7374,940.125
832.7486,672.375
1364.2845,892.5625
707.6865,660.5
535.0476,596.87506
539.48834,340.375
354.77185,380.875
287.6631,264.875
367.74512,422.8125
965.10455,713.62506
1157.522,1585.9375
1347.5106,1076.375
726.38184,542.56256
999.0562,789.81256
746.41846,814.25006
788.42,747.875
996.4257,1260.875
1107.238,1216.25
937.79626,713.62506
1279.8015,1429.375
1242.4241,1261.625
1092.9169,840.12506
449.0918,885.5625
278.21045,0.0
533.6657,397.0
308.4198,1838.3125
264.35535,303.3125
320.84424,299.125
329.1651,448.75
751.46844,237.625
840.7888,451.5
299.62708,299.8125
270.45972,222.25
303.99158,113.875
199.45691,104.8125
189.47961,205.4375
182.4209,407.50006
424.82428,464.06256
202.00256,150.87512
237.43701,157.87512
189.40698,95.0
236.24915,106.18762
410.21887,277.4375
219.65479,2.0625
203.0332,212.4375
187.57544,113.18762
611.36725,596.9375
239.5332,223.50012
210.92297,204.75012
283.19824,117.375
315.1576,266.96875
382.97644,107.625
454.23572,269.75
241.19922,252.9375
346.13373,330.56256
389.7603,321.50012
333.96515,278.875
374.3916,283.40625
333.2627,264.125
310.50122,290.0
184.03601,37.6875
119.59546,137.0
169.1836,130.625
163.41687,133.40637
152.71948,123.6875
147.81335,135.5625
162.53113,124.3125
192.21973,62.125122
233.80347,118.06262
328.37134,454.93756
232.2345,124.3125
152.43433,41.875
120.953735,66.37512
119.1759,99.25012
158.56885,29.312622
185.85205,93.625
137.8125,77.5
129.80664,68.4375
123.125854,20.53125
202.34155,131.25
147.77234,101.31262
122.10889,127.875
180.3031,136.93762
129.27039,44.0
119.804565,32.75
116.18005,32.0625
119.755005,41.125122
122.219604,50.250122
121.813354,39.0625
136.34106,104.40625
146.18811,132.75
166.01575,147.4375
183.21216,130.28125
198.12207,147.40637
195.3717,201.9375
153.07898,120.125
133.67432,51.6875
183.8695,121.5625
146.92627,113.18762
156.60352,61.500122
159.63574,89.4375
176.62805,104.4375
136.1687,163.5
180.4646,185.87512
160.35815,93.625
184.26453,94.31262
133.74194,33.500122
114.18286,155.125
158.9596,69.1875
132.72473,43.9375
116.83215,59.03125
115.10266,26.15625
115.41931,57.65625
119.18982,77.5625
120.664795,85.25012
138.89307,153.00012
147.3175,143.59387
235.61865,235.15637
101.73108,196.4375
230.18518,135.25012
273.98962,52.3125
112.9939,44.625
124.36804,51.656372
136.30664,74.75
136.3092,58.0
141.46313,62.1875
113.57959,81.0
113.239136,76.8125
242.52698,130.6875
262.75928,25.437622
137.77979,190.0625
150.03528,153.6875
150.90125,39.0625
115.121826,100.625
170.33972,219.4375
200.04028,122.93762
181.4856,192.625
330.36682,90.75
384.98102,353.62506
240.27173,173.25
203.75037,118.06262
113.05078,34.1875
116.61133,55.843872
115.22449,129.25
120.71594,204.75012
174.0227,123.0625
143.5409,109.6875
135.37598,113.18762
120.65637,143.5625
112.79639,81.0
224.59167,81.8125
148.95349,90.8125
112.94702,27.9375
113.340576,35.625
116.403564,24.03125
116.4624,50.21875
118.29175,18.125
113.43799,20.875
111.27673,20.9375
112.75061,32.0625
116.83215,41.1875
117.76489,80.3125
118.675415,48.1875
115.1637,18.125
119.29944,38.437622
1841.3752,2483.5625
2976.663,3296.4375
1028.2161,793.31256
1458.0417,963.4375
497.3062,260.62512
1601.2579,1077.125
1053.4526,1303.5625
1114.257,653.5
1709.7012,963.875
2642.721,2378.625
1748.1497,1591.5625
964.3252,911.4375
594.98535,422.12506
438.54987,1272.8125
772.3248,709.4375
589.434,1014.875
904.7145,603.25
1076.1696,575.53125
572.1641,731.5
770.0555,1728.5312
1275.1775,1001.625
891.6304,347.375
337.04248,395.62506
332.46448,221.5
411.86334,464.06256
378.0495,534.0
548.5952,498.3125
306.396,427.00006
