preds,trues
185.80774,167.00012
183.73059,170.5
222.85132,202.625
105.003784,223.625
218.53333,138.3125
169.50769,215.875
144.8794,83.12512
169.80981,164.87512
189.08142,106.18762
779.3261,685.3125
793.20276,437.15625
634.9295,473.15625
442.93372,357.0938
672.64575,1154.375
769.96686,962.78125
1269.1293,1802.3125
587.6695,622.75
652.47107,455.6875
467.57587,363.43756
393.583,293.50012
659.4297,1033.75
384.25244,383.0
345.65375,271.1875
377.44885,401.1875
469.88074,368.31256
438.4491,380.1875
1066.5613,1211.25
552.97437,1005.75
654.4027,1065.875
582.47424,388.56256
320.84326,192.125
342.87836,239.75
458.14313,438.9375
425.34326,321.50012
386.3551,359.25
528.5503,683.5625
791.0199,475.93756
488.61145,378.8125
324.6333,170.5
279.56848,269.75
352.2635,364.125
321.0758,391.37506
591.02576,443.06256
333.70892,243.93762
359.61456,290.75
437.74988,588.50006
682.5384,963.125
519.3778,863.875
603.9699,379.46875
513.67035,489.96875
526.3883,370.75
623.6504,964.1875
678.2808,378.50006
402.17584,437.875
422.23633,300.125
380.41583,455.31256
356.63983,608.8125
539.5147,443.06256
499.19617,571.87506
365.56702,329.875
401.31854,327.0625
294.0641,357.8125
436.78162,448.0
536.41846,1276.3125
614.9515,694.125
537.45636,473.875
476.2851,495.5
486.16394,1188.25
1121.1361,1092.5
1494.1023,1952.25
1275.2457,2113.6875
787.4119,985.5
2193.0144,1959.9375
1008.5755,727.5625
1114.988,1960.625
318.28613,513.03125
402.9485,508.78125
441.51636,1031.0
359.73218,460.21875
468.56946,1134.4062
398.26923,464.43756
589.08746,359.62506
578.6822,467.5625
401.87762,292.59375
384.00153,535.0313
411.07306,144.625
159.16736,184.4375
213.95264,808.6875
210.85962,406.75
435.57098,351.56256
450.14014,297.75012
470.4837,370.37506
222.594,365.56256
352.89563,471.06256
681.85065,677.9375
390.78412,480.25006
390.99707,413.0625
249.7489,348.0625
348.039,550.75
665.27246,559.875
363.26703,332.0
381.1009,446.625
411.54456,470.37506
320.02783,304.75012
349.4275,498.3125
311.87927,435.43756
272.9414,341.75006
235.69446,271.1875
282.21252,246.34375
265.08386,166.59375
142.40356,125.03125
152.22913,187.59375
405.80817,408.12506
434.09827,583.25
228.66028,473.875
599.53986,668.125
435.51123,606.6875
678.83136,1243.125
353.4204,443.8125
253.1897,283.75
320.61853,277.09387
268.9331,467.87506
278.70447,289.68762
313.35657,391.37506
283.15845,330.56256
531.0929,290.0625
293.42517,333.375
255.271,203.375
206.12671,284.4375
321.1986,234.125
368.511,218.0625
257.27856,137.625
211.98499,270.4375
326.87463,327.8125
180.26721,303.625
227.8302,241.78125
301.48425,416.15625
448.59454,555.625
374.45947,455.6875
276.69202,243.1875
230.42944,136.93762
220.98315,162.0625
231.04004,320.0625
150.81812,195.00012
176.75708,274.62512
319.64685,311.6875
116.46472,79.625
144.12097,590.5625
631.3518,705.9375
736.6814,700.3125
446.0786,433.31256
360.555,388.56256
296.14563,320.75
523.6677,675.18756
601.9279,485.68756
603.7072,770.93756
421.3009,383.6875
304.01,557.75
552.42,606.625
596.98236,671.0
470.26813,614.37506
685.3572,734.5625
439.38055,583.625
688.99,720.5625
1070.6475,993.9375
328.24414,251.21887
415.20477,695.8125
288.0819,259.25
318.72058,406.75
330.3258,384.37506
310.6958,350.87506
500.20544,410.375
422.8849,416.9063
402.89575,334.75006
389.82086,471.75
518.15393,399.8125
409.40155,775.875
521.692,536.37506
488.6353,437.5
720.133,593.37506
506.70795,450.375
487.7622,380.25
662.5767,566.8125
946.54114,1231.5625
681.11584,753.84375
518.81805,627.625
632.95154,732.50006
