preds,trues
176.54993,153.6875
158.59314,0.0
288.98303,267.68762
315.9525,178.5625
135.92188,71.28125
114.77661,0.0
133.77197,69.12512
495.04962,507.4375
373.01642,218.75012
181.33057,240.375
204.99292,383.6875
188.39832,95.6875
121.0,29.250122
98.63684,41.875
117.028076,37.0
115.2439,93.625
188.0575,204.0
404.07758,396.28125
302.07422,302.96875
245.70032,83.875
212.88489,285.37512
168.66125,155.125
203.68237,127.125
287.64526,236.1875
576.1934,537.43756
415.71466,606.6875
396.32727,481.5
378.4563,308.9375
150.3678,100.625
212.35522,160.00012
338.346,206.87512
431.46423,408.1875
312.99133,299.125
111.91052,111.8125
140.71655,48.1875
79.85388,0.0
1428.9208,4191.8125
2036.4504,50.250122
168.26453,81.0625
119.29614,103.4375
108.396484,51.6875
84.82202,27.1875
115.66626,68.4375
128.7157,40.500122
95.66943,44.625
91.698,1.375
92.27197,3.437622
92.58325,20.1875
90.106445,0.0
88.87024,0.0
107.07239,51.6875
118.81238,9.6875
97.72632,18.8125
89.62109,2.40625
106.26233,39.875
131.47424,83.9375
98.503784,44.625
93.71057,9.75
88.05798,0.0
87.395874,1.0
87.09363,0.0
84.354126,0.0
82.19885,0.0
79.73767,0.0
77.55286,0.0
75.40393,0.0
74.09448,0.0
73.93103,0.0
73.1405,0.0
63.42566,0.0
93.37927,0.0
74.742676,0.0
76.99756,0.0
75.85156,0.0
74.47778,0.0
75.04614,0.0
102.94592,0.0
86.32495,72.31262
87.06763,28.625
107.50964,113.875
168.51562,153.00012
180.17432,90.06262
131.01624,103.375
140.8252,95.6875
182.93115,55.125122
91.34241,0.0
92.053955,0.125
93.784546,0.0
93.96179,0.0
93.268555,0.0
93.563965,0.0
91.38599,0.0
89.515625,7.59375
86.928955,6.9375
85.657104,5.000122
85.37683,5.1875
86.58008,38.718872
115.83716,203.8125
107.24805,69.56262
90.390625,95.50012
159.70789,255.0625
213.55786,267.0
126.54175,71.21875
92.04382,7.625
89.597046,11.125
89.62732,54.4375
84.55359,18.125
105.54407,25.125
76.17236,19.5
71.35095,19.562622
70.89685,18.125
93.89966,45.375122
110.20984,108.25
125.36682,96.4375
257.93286,220.81262
305.8103,212.4375
137.23132,60.75
183.62134,155.8125
324.17163,263.4375
262.6792,396.9375
461.5849,612.25006
396.25854,378.8125
347.96466,287.9375
208.23718,202.00012
210.99072,285.8125
191.29895,189.375
130.83069,95.75
57.89807,74.75
54.13098,0.0
59.204346,0.0
292.76562,317.9375
433.33026,747.125
401.67004,507.375
464.44324,778.1875
855.697,343.125
585.013,268.375
637.6541,548.625
515.20044,726.90625
574.54266,561.87506
512.483,873.0
1088.3967,1397.2812
459.24768,282.34375
130.43848,318.81262
173.65967,3.125
46.6438,0.0
41.81482,0.0
44.69861,11.125
43.860474,89.375
44.69861,0.0
44.23584,0.0
42.6709,0.0
47.21631,0.0
45.59546,0.0
46.78528,0.0
45.438354,0.0
45.968628,0.0
48.24414,0.0
55.315063,0.0
48.76709,0.0
51.22888,0.0
52.735596,0.0
52.835327,0.0
55.7063,0.0
58.567993,0.0
60.521362,0.0
66.532104,0.18762207
78.14783,0.0
111.164185,0.0
75.88501,0.0
143.25769,0.0
158.57092,0.0
104.441284,0.0
106.98901,0.0
137.47998,0.0
96.19263,0.0
100.40271,0.0
123.34912,0.0
139.4729,0.0
153.19788,0.0
111.56189,0.0
112.822876,0.0
164.74744,0.0
130.6416,0.0
143.0951,0.0
137.07947,0.625
108.11157,0.0
90.68982,0.0
138.9353,0.0
126.611206,0.0
131.89905,0.0
108.14844,0.0
103.41968,0.0
105.43042,0.0
98.945435,0.0
179.07068,0.0
89.24988,0.0
115.808716,0.0
167.66187,0.0
134.39954,0.0
118.00171,0.0
94.07837,0.0
106.87903,0.0
83.96448,0.0
115.28235,0.0
88.659546,0.0
71.595825,0.0
94.59277,0.0
120.30774,0.0
124.76355,0.0
99.078735,0.0
86.95581,0.0
124.40515,0.0
122.25049,0.0
120.3385,0.0
89.637695,0.0
91.89868,0.0
82.94983,0.0
100.62012,0.0
50.36206,0.0
44.793213,0.0
49.126465,0.0
57.735962,0.0
62.654297,0.0
72.996216,0.0
77.36609,0.0
81.13367,0.0
127.55554,0.0
105.59607,0.0
155.15796,0.0
89.46301,0.0
88.176025,0.0
87.25098,0.0
104.24634,0.0
102.232666,0.0
98.6803,0.0
115.88684,0.0
113.69653,0.0
147.43335,0.0
139.72522,0.0
119.95532,0.0
115.56079,0.0
90.25037,0.0
87.70813,0.0
87.53711,0.0
90.83557,0.0
92.4137,0.0
91.385864,0.0
92.0686,0.0
94.01282,0.0
100.09253,0.0
122.57361,0.0
93.313965,0.0
88.92456,0.0
85.79834,0.0
84.90625,0.0
84.57568,0.0
82.71216,0.0625
80.793945,0.0
71.87207,0.0
139.29663,0.0
132.6073,0.0
131.97498,0.0
123.506836,0.0
139.6477,0.0
114.45618,0.0
149.99023,0.0
100.89136,0.0
107.351074,0.0
60.062378,0.0
60.09314,0.0
61.580566,0.0
55.949707,0.0
54.638794,0.0
56.028564,0.0
49.299194,0.0
49.153076,0.0
73.50122,0.0
132.87305,0.0
124.994995,0.0
42.749878,0.0
42.72815,0.0
44.68396,0.0
43.51013,0.0
43.013916,0.21875
48.3938,0.0
91.80176,0.0
93.05383,0.0
107.60901,0.0
105.73572,0.0
51.602783,0.0
90.38818,0.0
139.07861,0.0
49.581177,0.0
49.138306,0.0
61.38794,0.0
153.2229,0.0
46.066162,0.0
45.452515,0.0
49.410522,0.0
