preds,trues
189.72949,153.6875
3670.7695,3538.3125
2888.5303,2256.3125
2228.8787,1713.875
4011.9321,4362.4375
2532.5356,2806.4375
3915.4,4529.5
3441.5947,5487.8125
3633.4058,4783.5
4140.203,3658.5
2125.469,1501.375
2670.3384,2961.5625
2025.6256,3603.3125
2602.4775,1897.0
3402.4976,2935.75
3990.8179,3520.75
2719.4902,2642.8125
2429.8193,1378.375
2857.37,2584.125
2595.5957,2456.9375
2408.0127,2706.5
2112.793,1121.8125
1860.0367,2373.75
2174.3682,2080.875
1573.7355,1795.0
1599.4957,1651.6875
1568.3928,1636.3125
1454.4669,940.125
842.7496,672.375
1376.1432,892.5625
714.3228,660.5
540.1928,596.87506
544.3029,340.375
356.40955,380.875
289.04858,264.875
368.4654,422.8125
969.3047,713.62506
1163.8417,1585.9375
1358.7736,1076.375
730.1713,542.56256
1004.3889,789.81256
749.93286,814.25006
791.519,747.875
1000.2569,1260.875
1114.0217,1216.25
943.0917,713.62506
1288.0106,1429.375
1250.4001,1261.625
1100.1864,840.12506
451.18164,885.5625
279.06836,0.0
535.11096,397.0
308.57324,1838.3125
264.51526,303.3125
319.9309,299.125
328.7821,448.75
757.51483,237.625
846.5054,451.5
300.20703,299.8125
271.03735,222.25
305.25024,113.875
199.49414,104.8125
189.55884,205.4375
181.95679,407.50006
426.50684,464.06256
201.37305,150.87512
238.85095,157.87512
190.3258,95.0
236.68494,106.18762
411.7519,277.4375
221.69397,2.0625
204.01575,212.4375
188.70593,113.18762
618.56525,596.9375
242.5581,223.50012
213.62463,204.75012
287.69153,117.375
320.07483,266.96875
388.45636,107.625
458.73004,269.75
244.37402,252.9375
349.75134,330.56256
395.61926,321.50012
339.48755,278.875
378.2575,283.40625
336.7588,264.125
313.34473,290.0
185.63806,37.6875
119.06018,137.0
170.08093,130.625
164.03052,133.40637
153.4972,123.6875
148.61731,135.5625
163.19763,124.3125
193.84802,62.125122
235.8612,118.06262
331.27496,454.93756
234.552,124.3125
154.031,41.875
119.94763,66.37512
119.02136,99.25012
159.39551,29.312622
185.46838,93.625
136.9878,77.5
128.79529,68.4375
122.16199,20.53125
202.76416,131.25
149.25671,101.31262
123.265625,127.875
181.3778,136.93762
129.71143,44.0
119.90979,32.75
115.94873,32.0625
118.86047,41.125122
121.28699,50.250122
120.87439,39.0625
135.22473,104.40625
146.04565,132.75
165.26477,147.4375
183.67773,130.28125
199.26343,147.40637
198.0946,201.9375
154.57971,120.125
134.45801,51.6875
184.50464,121.5625
147.68152,113.18762
157.44397,61.500122
160.33191,89.4375
177.87866,104.4375
136.7251,163.5
182.37073,185.87512
162.3374,93.625
187.2987,94.31262
136.3778,33.500122
115.55078,155.125
163.2727,69.1875
135.26453,43.9375
116.73547,59.03125
115.320435,26.15625
115.79089,57.65625
119.76013,77.5625
122.010254,85.25012
142.08167,153.00012
150.42078,143.59387
239.42102,235.15637
104.09631,196.4375
236.5968,135.25012
280.58215,52.3125
115.60791,44.625
125.73108,51.656372
137.71179,74.75
138.73926,58.0
144.05115,62.1875
115.11633,81.0
114.84607,76.8125
246.03699,130.6875
269.61182,25.437622
139.92773,190.0625
154.17078,153.6875
153.21204,39.0625
116.45068,100.625
173.344,219.4375
202.98633,122.93762
184.24231,192.625
336.94037,90.75
391.77936,353.62506
246.11304,173.25
207.06775,118.06262
114.73779,34.1875
117.42847,55.843872
116.51904,129.25
121.35925,204.75012
176.99792,123.0625
146.82568,109.6875
138.68005,113.18762
123.058716,143.5625
114.93689,81.0
228.24207,81.8125
153.0315,90.8125
114.81787,27.9375
114.68494,35.625
116.56445,24.03125
116.94263,50.21875
118.64026,18.125
113.9375,20.875
112.45361,20.9375
113.49036,32.0625
117.32788,41.1875
119.04016,80.3125
120.15222,48.1875
116.175415,18.125
119.56189,38.437622
1865.3628,2483.5625
3015.1052,3296.4375
1041.116,793.31256
1470.0044,963.4375
503.0517,260.62512
1614.6641,1077.125
1062.701,1303.5625
1125.4297,653.5
1726.5433,963.875
2670.084,2378.625
1770.8352,1591.5625
975.38403,911.4375
600.42847,422.12506
441.97583,1272.8125
781.3944,709.4375
595.7255,1014.875
913.8268,603.25
1084.5803,575.53125
575.69055,731.5
775.1696,1728.5312
1289.7026,1001.625
901.1907,347.375
338.9911,395.62506
334.164,221.5
413.6798,464.06256
381.03247,534.0
552.0628,498.3125
309.13538,427.00006
314.35107,880.6875
1632.861,1239.6562
611.5682,773.0
1273.3645,1362.25
369.18243,323.62512
276.87415,610.125
360.49756,398.37506
260.19617,48.875
455.62976,404.625
465.03955,1223.9062
1008.7894,831.75006
574.7728,267.68762
410.04822,605.25006
459.4146,136.25
214.14624,141.125
431.4663,976.5
1142.7742,1009.3125
892.04755,1320.3125
197.12927,0.0
114.973755,0.0
116.99365,0.0
332.90704,1052.5938
1147.5165,1062.375
971.0066,999.5
975.8948,840.12506
1125.1669,1567.0625
1168.3312,1168.6875
1030.824,1342.0
1681.0154,1685.875
760.70996,691.9375
1236.8046,1012.8125
842.8777,563.5625
635.33514,961.375
906.4531,997.03125
703.83984,794.0
826.5691,928.25
804.6869,427.6875
491.76343,600.37506
441.70245,0.0
593.87854,982.0625
1358.7096,1247.625
1073.3287,1494.0625
950.56384,830.75
572.32495,0.34375
932.879,685.68756
482.72668,680.75
518.43353,1157.5
949.8836,1282.625
858.63464,824.75006
1077.0983,1021.875
1162.1134,1297.2812
1260.4344,1503.0938
637.1364,917.75
497.29022,373.25
450.8717,194.9375
318.1958,476.0
241.23083,153.00012
