preds,trues
187.50806,167.00012
185.44714,170.5
224.60034,202.625
107.58862,223.625
219.48352,138.3125
170.48547,215.875
145.65027,83.12512
170.43408,164.87512
189.86243,106.18762
783.4659,685.3125
798.7135,437.15625
638.38306,473.15625
445.03442,357.0938
675.5689,1154.375
776.8335,962.78125
1279.2947,1802.3125
593.0501,622.75
657.10376,455.6875
470.37152,363.43756
395.2149,293.50012
662.63367,1033.75
386.29883,383.0
346.80493,271.1875
378.917,401.1875
472.05072,368.31256
440.47076,380.1875
1072.1943,1211.25
556.5427,1005.75
658.14594,1065.875
587.08636,388.56256
322.1538,192.125
344.16406,239.75
460.1952,438.9375
427.13226,321.50012
387.8943,359.25
531.12836,683.5625
796.99316,475.93756
492.4458,378.8125
326.49817,170.5
280.4264,269.75
354.53143,364.125
323.41675,391.37506
594.98096,443.06256
335.65558,243.93762
361.06262,290.75
439.79236,588.50006
686.38605,963.125
523.01825,863.875
607.6943,379.46875
516.1756,489.96875
528.9283,370.75
627.59705,964.1875
682.99506,378.50006
404.09888,437.875
424.11407,300.125
382.26593,455.31256
359.0692,608.8125
544.0702,443.06256
503.08368,571.87506
367.69574,329.875
402.9256,327.0625
295.31287,357.8125
438.8474,448.0
539.15076,1276.3125
621.1709,694.125
542.32153,473.875
480.1466,495.5
490.5763,1188.25
1129.1198,1092.5
1505.2853,1952.25
1286.1991,2113.6875
793.7621,985.5
2212.0564,1959.9375
1020.18256,727.5625
1123.5448,1960.625
317.3318,513.03125
402.61957,508.78125
441.3996,1031.0
359.53986,460.21875
468.6045,1134.4062
399.91113,464.43756
591.1062,359.62506
582.1764,467.5625
402.62878,292.59375
384.3374,535.0313
412.1208,144.625
157.67712,184.4375
212.45581,808.6875
210.56323,406.75
435.2162,351.56256
450.10132,297.75012
469.96045,370.37506
221.21448,365.56256
351.81964,471.06256
682.4629,677.9375
391.5345,480.25006
391.2121,413.0625
248.03296,348.0625
346.91705,550.75
666.8176,559.875
364.87305,332.0
381.44,446.625
412.0287,470.37506
320.22998,304.75012
349.47748,498.3125
311.41443,435.43756
272.00818,341.75006
234.79236,271.1875
280.80994,246.34375
264.2871,166.59375
141.00757,125.03125
150.91467,187.59375
405.4356,408.12506
433.83948,583.25
227.96777,473.875
600.4603,668.125
436.65588,606.6875
680.53107,1243.125
353.88818,443.8125
252.9342,283.75
319.7312,277.09387
267.9104,467.87506
278.43896,289.68762
312.93823,391.37506
282.56104,330.56256
531.3237,290.0625
293.03564,333.375
255.4657,203.375
205.61462,284.4375
321.15027,234.125
368.65405,218.0625
256.68738,137.625
211.20728,270.4375
326.7218,327.8125
179.98877,303.625
227.8883,241.78125
301.14868,416.15625
449.52753,555.625
375.27692,455.6875
276.19678,243.1875
228.44128,136.93762
218.99988,162.0625
228.90967,320.0625
148.5105,195.00012
174.4502,274.62512
317.97498,311.6875
116.25537,79.625
142.65381,590.5625
633.1941,705.9375
740.78595,700.3125
446.75037,433.31256
360.49347,388.56256
295.40063,320.75
524.244,675.18756
603.30383,485.68756
605.1872,770.93756
422.10504,383.6875
303.45886,557.75
553.4099,606.625
598.6239,671.0
471.5971,614.37506
687.5729,734.5625
439.65466,583.625
691.1775,720.5625
1076.2405,993.9375
329.40955,251.21887
415.5644,695.8125
292.3601,259.25
322.93726,406.75
335.00952,384.37506
314.98718,350.87506
506.26056,410.375
428.17163,416.9063
408.0185,334.75006
394.85602,471.75
524.3875,399.8125
413.88165,775.875
528.0833,536.37506
494.65295,437.5
727.8153,593.37506
513.1356,450.375
493.37085,380.25
669.738,566.8125
956.69275,1231.5625
689.3611,753.84375
525.53217,627.625
640.12756,732.50006
