preds,trues
445.7823,283.75
752.4631,645.4375
426.23126,376.75006
418.79492,378.8125
696.74255,1130.9375
731.426,799.5625
493.04742,534.0
521.9794,379.50006
648.3267,592.00006
750.5585,659.125
707.3132,142.84375
1449.8268,839.06256
534.7574,647.875
1717.0182,1789.375
1189.7625,1184.9375
1420.9102,1350.4062
1479.4453,1691.5
1529.7454,1707.625
1288.7839,899.5625
979.8296,1068.6875
969.4037,977.8125
1289.1973,2125.9688
2514.6946,2930.1875
2314.6,2385.625
2264.2292,2436.6875
2520.879,2013.4375
2421.297,2151.5
1188.0874,1686.625
1639.4095,1177.75
1154.4177,1502.8125
331.91522,249.15625
507.41626,481.5
670.848,424.9375
551.49274,429.62506
1309.7627,1171.4375
432.4709,489.25006
1370.8722,1577.9688
1247.7485,767.43756
776.562,873.6875
793.5103,616.4375
475.02466,348.75006
356.58582,284.125
377.25873,297.0
234.8905,272.5625
291.9878,273.9375
309.22632,359.59375
379.93567,399.0625
584.44165,1173.5625
1054.688,957.5625
535.9216,640.9375
465.90186,472.06256
879.0569,690.50006
460.3767,0.6876221
862.63416,715.00006
1075.5636,1280.5
846.2778,452.25006
841.13086,1632.125
2035.0701,1773.3125
671.48975,1143.5
1565.4695,769.87506
1274.782,1564.3125
1007.7699,1243.5
1217.8284,807.31256
197.87903,27.9375
217.99438,137.625
159.11743,179.5625
28.54602,0.34375
29.747559,0.0
0.0,0.0
3.4641113,0.0
13.532227,0.0
9.678589,10.8125
5.481079,0.0
196.84961,532.56256
450.6624,388.25006
217.52795,31.375122
6254.854,6763.4375
4736.845,3473.25
5318.3994,7457.625
5110.772,4418.625
4472.3623,2997.25
5573.9243,3729.125
3855.4087,3511.6875
3070.052,3313.9062
3178.8257,3160.4688
3123.5527,2814.125
2144.8281,2477.875
1840.1136,2132.25
2883.3184,2869.375
2538.951,1985.125
943.4103,1777.0938
1162.7646,1808.9375
1035.8352,1088.9375
634.0615,227.125
243.9679,231.3125
531.943,525.56256
205.18225,191.4375
355.00964,294.875
173.39697,412.37506
866.0917,503.25006
742.8553,1126.75
237.50146,289.3125
350.27075,214.5
232.8451,189.3125
253.15173,180.25
219.14148,140.4375
