preds,trues
1310.6024,789.125
2725.602,1525.125
1991.4346,1202.1875
937.288,1490.875
3870.3257,5102.625
2191.4475,2252.1875
2853.2983,3202.75
2191.4915,1256.0625
1318.7446,824.0625
1498.1222,1890.6875
641.8783,742.9375
831.70715,477.625
777.2866,858.3125
1019.16077,1477.625
1587.6167,2345.0625
1570.8574,1409.875
1479.8436,1055.375
808.3129,443.8125
627.67676,516.5
678.41565,789.81256
1323.3254,1032.625
928.7132,1168.0
1372.2772,1672.6875
782.3523,594.8125
945.5054,903.0625
567.195,637.4375
966.6117,868.09375
1687.3545,1459.125
693.12616,710.84375
712.70807,586.4063
517.21625,503.25006
546.9058,530.84375
604.89233,437.875
657.7278,856.9375
458.05786,398.75
616.2345,565.46875
920.64844,1120.375
1112.9229,971.5
228.00671,185.125
289.5619,895.25
820.884,847.84375
543.6832,396.65625
743.3678,1520.2188
657.6492,688.4375
1005.6857,1241.75
1144.8589,874.40625
607.18384,452.5625
475.80695,278.15637
577.99,505.6563
453.0515,348.37506
1016.867,781.375
315.42737,407.40625
726.91705,696.8125
544.6467,554.25
407.17786,408.12506
724.76843,694.75
470.64136,376.0
540.8815,704.50006
961.57526,1332.25
1174.3893,1170.0625
1526.5897,2082.25
593.34326,360.62506
773.0236,915.625
764.0098,981.3125
1378.765,1295.9375
502.0338,384.37506
1093.1455,916.3125
1333.1918,1400.0625
2814.8384,2448.2188
3009.126,3057.0312
3335.5583,3588.9688
3290.218,5171.875
1785.5046,1558.6875
2273.5723,2433.625
2026.8698,1536.6562
1240.3066,888.3125
1389.4274,1377.0
1422.0889,1490.1875
1125.6555,1174.9375
920.941,929.625
802.37897,942.875
1263.4446,1215.75
932.2761,1313.375
506.4256,408.12506
582.77966,503.18756
907.2549,1169.375
1044.6276,947.75
680.7703,794.0
927.2639,945.0
971.45483,1020.4375
973.88086,453.75006
708.919,1130.1875
740.0531,452.18756
721.3897,784.25
676.82574,840.8125
1193.4675,1187.5625
840.2057,891.875
1173.6832,1290.3125
1520.967,1546.125
941.07837,1077.8125
427.26898,386.50006
1633.6108,1616.0
1237.5468,1300.75
1720.462,1638.4375
1533.691,1925.6875
2075.5186,1989.3125
813.21875,596.87506
1681.7452,1165.125
1078.1588,1004.40625
985.6344,1091.8125
1101.4432,877.34375
420.93152,533.21875
602.31165,606.2813
656.8605,566.84375
410.3675,96.40625
95.640015,17.0625
373.47192,274.96887
628.9071,255.0625
797.0985,849.4375
1302.959,1531.4375
1323.1318,1323.875
1324.0723,1435.0
1282.6608,1490.1875
1270.7114,1141.375
971.26807,1090.375
499.60632,378.75
631.20856,698.25
170.67334,199.1875
1104.6011,1047.7188
397.6364,523.46875
209.12378,219.0625
847.8197,468.96875
648.37933,840.8125
369.13837,348.0
378.94794,455.6875
545.4775,578.00006
177.53076,239.0
202.48291,309.0
188.05005,156.5
203.31104,133.4375
314.7085,441.0
288.43982,308.9375
153.97217,46.03125
87.139404,12.562622
403.18042,256.8125
307.99377,326.375
167.35779,149.5625
440.47424,409.56256
387.14746,413.7813
250.38,169.40637
157.13733,91.18762
222.30164,427.75
133.5686,144.75
103.10205,110.375
49.255737,81.6875
86.79822,238.3125
129.43616,142.875
80.37402,78.875
128.32458,91.5
185.89832,190.0625
102.77576,75.4375
132.65735,133.4375
52.634033,25.0625
60.816162,63.5625
53.49695,55.125122
19.321411,35.5625
68.512085,58.625
164.88538,37.6875
168.54236,60.000122
235.55774,195.00012
