preds,trues
486.56567,283.75
788.6008,645.4375
459.4234,376.75006
449.25476,378.8125
730.17786,1130.9375
767.56714,799.5625
528.1433,534.0
553.2348,379.50006
682.18317,592.00006
772.4704,659.125
724.01373,142.84375
1482.3848,839.06256
574.323,647.875
1742.0472,1789.375
1215.6882,1184.9375
1447.2188,1350.4062
1504.9825,1691.5
1542.0656,1707.625
1289.0249,899.5625
966.76117,1068.6875
969.6798,977.8125
1288.4841,2125.9688
2514.4683,2930.1875
2329.6094,2385.625
2296.155,2436.6875
2545.563,2013.4375
2413.0876,2151.5
1153.5007,1686.625
1595.9033,1177.75
1119.938,1502.8125
301.50012,249.15625
489.23572,481.5
673.87537,424.9375
563.933,429.62506
1326.4474,1171.4375
468.90118,489.25006
1422.3574,1577.9688
1284.6213,767.43756
798.77875,873.6875
881.321,616.4375
482.92712,348.75006
373.3894,284.125
377.9353,297.0
256.5404,272.5625
317.86047,273.9375
343.7718,359.59375
423.84937,399.0625
625.2354,1173.5625
1099.6597,957.5625
575.8882,640.9375
504.5932,472.06256
912.8285,690.50006
481.06293,0.6876221
869.3616,715.00006
1100.6855,1280.5
883.54175,452.25006
866.048,1632.125
2072.7063,1773.3125
699.5092,1143.5
1585.6616,769.87506
1290.0454,1564.3125
1026.2349,1243.5
1204.9884,807.31256
203.97888,27.9375
238.12866,137.625
162.04688,179.5625
29.539429,0.34375
47.96692,0.0
34.906128,0.0
58.961548,0.0
61.53064,0.0
57.772827,10.8125
55.62378,0.0
247.47107,532.56256
596.76495,388.25006
264.72156,31.375122
6333.4585,6763.4375
4784.8765,3473.25
5322.0605,7457.625
4884.999,4418.625
4480.594,2997.25
5461.284,3729.125
3805.334,3511.6875
2919.2278,3313.9062
3052.8823,3160.4688
3065.343,2814.125
1998.1259,2477.875
1779.6796,2132.25
2853.894,2869.375
2511.9548,1985.125
909.43524,1777.0938
1151.1812,1808.9375
1017.45667,1088.9375
591.5676,227.125
211.32605,231.3125
549.74695,525.56256
218.84302,191.4375
362.52435,294.875
206.13855,412.37506
917.2062,503.25006
772.66864,1126.75
272.9016,289.3125
389.34314,214.5
260.41907,189.3125
265.41382,180.25
234.81067,140.4375
