preds,trues
1283.8104,789.125
2691.7705,1525.125
1909.6772,1202.1875
886.7439,1490.875
3872.831,5102.625
2243.0015,2252.1875
2883.6006,3202.75
2238.0027,1256.0625
1315.2804,824.0625
1505.0715,1890.6875
582.1094,742.9375
815.362,477.625
744.335,858.3125
1044.0627,1477.625
1604.3989,2345.0625
1554.9877,1409.875
1509.375,1055.375
850.53894,443.8125
628.2227,516.5
647.95306,789.81256
1296.2096,1032.625
954.2747,1168.0
1416.7738,1672.6875
820.647,594.8125
969.4877,903.0625
581.9441,637.4375
966.85944,868.09375
1686.1143,1459.125
707.1322,710.84375
747.12476,586.4063
546.9614,503.25006
570.80096,530.84375
610.6648,437.875
669.03345,856.9375
493.58026,398.75
648.7337,565.46875
951.77734,1120.375
1144.681,971.5
252.83826,185.125
317.83643,895.25
858.77356,847.84375
556.4904,396.65625
758.5355,1520.2188
702.8117,688.4375
1040.4314,1241.75
1284.7101,874.40625
635.2073,452.5625
505.08765,278.15637
592.10815,505.6563
471.6353,348.37506
1029.7878,781.375
346.71844,407.40625
766.4023,696.8125
578.0534,554.25
434.21417,408.12506
747.20807,694.75
494.88776,376.0
570.8257,704.50006
989.55664,1332.25
1207.829,1170.0625
1555.4336,2082.25
626.85864,360.62506
804.86554,915.625
782.6407,981.3125
1375.1356,1295.9375
496.12634,384.37506
1108.7694,916.3125
1321.3873,1400.0625
2809.7603,2448.2188
3033.6428,3057.0312
3373.7034,3588.9688
3320.7017,5171.875
1879.9818,1558.6875
2259.4114,2433.625
2049.6973,1536.6562
1198.9998,888.3125
1310.34,1377.0
1362.8489,1490.1875
1125.2488,1174.9375
1136.0801,929.625
812.0367,942.875
1291.0638,1215.75
929.28796,1313.375
511.41125,408.12506
595.0297,503.18756
924.1008,1169.375
1061.1477,947.75
687.23865,794.0
963.7158,945.0
1014.34454,1020.4375
994.4792,453.75006
713.6417,1130.1875
762.48364,452.18756
738.11285,784.25
692.21204,840.8125
1213.4268,1187.5625
876.0818,891.875
1201.2385,1290.3125
1549.3354,1546.125
961.0536,1077.8125
437.78864,386.50006
1649.1459,1616.0
1262.935,1300.75
1716.1022,1638.4375
1547.3171,1925.6875
2123.4756,1989.3125
831.357,596.87506
1660.022,1165.125
1065.7616,1004.40625
981.5123,1091.8125
1105.591,877.34375
438.753,533.21875
629.153,606.2813
655.4456,566.84375
424.67627,96.40625
115.76453,17.0625
406.14282,274.96887
663.5552,255.0625
826.50574,849.4375
1343.3163,1531.4375
1378.9579,1323.875
1364.2681,1435.0
1320.2277,1490.1875
1288.7817,1141.375
962.0637,1090.375
483.32086,378.75
622.00946,698.25
183.25476,199.1875
1110.8932,1047.7188
407.09717,523.46875
229.70447,219.0625
883.0046,468.96875
676.47516,840.8125
390.45447,348.0
398.25824,455.6875
590.2577,578.00006
205.96045,239.0
216.61548,309.0
214.57837,156.5
241.49353,133.4375
346.5536,441.0
325.63867,308.9375
199.67847,46.03125
129.16638,12.562622
444.89508,256.8125
344.65833,326.375
202.10107,149.5625
482.91486,409.56256
433.03003,413.7813
286.81555,169.40637
192.19775,91.18762
259.2036,427.75
166.39282,144.75
131.25488,110.375
87.9364,81.6875
132.68555,238.3125
172.6178,142.875
120.54578,78.875
