preds,trues
247.95715,153.6875
3701.3667,3538.3125
2769.2627,2256.3125
2290.9775,1713.875
3916.7197,4362.4375
2472.8398,2806.4375
4007.8691,4529.5
3401.496,5487.8125
3666.1753,4783.5
4260.436,3658.5
2119.824,1501.375
2827.7085,2961.5625
2050.0947,3603.3125
2544.9438,1897.0
3145.8613,2935.75
3819.0723,3520.75
2678.2664,2642.8125
2464.4321,1378.375
2962.314,2584.125
2543.3848,2456.9375
2412.884,2706.5
2114.3215,1121.8125
1840.1095,2373.75
2151.8706,2080.875
1713.7097,1795.0
1649.4106,1651.6875
1578.7997,1636.3125
1447.2046,940.125
782.74725,672.375
1519.0366,892.5625
781.40247,660.5
580.9767,596.87506
633.1102,340.375
404.87146,380.875
315.21545,264.875
476.9394,422.8125
1096.0972,713.62506
1230.0194,1585.9375
1354.6267,1076.375
772.2167,542.56256
1114.6093,789.81256
812.5872,814.25006
837.2657,747.875
1083.5266,1260.875
1139.1194,1216.25
997.09265,713.62506
1357.1501,1429.375
1330.6113,1261.625
1146.1674,840.12506
451.83655,885.5625
225.37793,0.0
626.72656,397.0
150.03687,1838.3125
227.33105,303.3125
521.1816,299.125
468.34033,448.75
688.75507,237.625
765.99615,451.5
251.97754,299.8125
310.1339,222.25
243.29163,113.875
120.10266,104.8125
158.40295,205.4375
167.47742,407.50006
390.95892,464.06256
215.7146,150.87512
216.97937,157.87512
177.2102,95.0
253.99683,106.18762
424.48676,277.4375
155.24829,2.0625
174.09106,212.4375
287.92358,113.18762
475.36035,596.9375
239.4397,223.50012
241.83423,204.75012
346.63782,117.375
330.7622,266.96875
347.41675,107.625
454.47803,269.75
207.35645,252.9375
422.06006,330.56256
425.50104,321.50012
353.92548,278.875
390.60773,283.40625
370.6468,264.125
284.7245,290.0
207.14612,37.6875
129.44397,137.0
176.50073,130.625
147.2688,133.40637
138.92493,123.6875
134.46948,135.5625
168.8855,124.3125
215.01001,62.125122
223.65906,118.06262
303.47607,454.93756
229.6853,124.3125
142.62878,41.875
131.80042,66.37512
148.73315,99.25012
119.45996,29.312622
148.48914,93.625
117.54602,77.5
157.65735,68.4375
117.26489,20.53125
202.04028,131.25
117.77319,101.31262
115.45215,127.875
150.77563,136.93762
138.03125,44.0
111.53015,32.75
77.12634,32.0625
90.25818,41.125122
104.084595,50.250122
105.95984,39.0625
173.94434,104.40625
165.46106,132.75
194.39062,147.4375
195.50916,130.28125
204.12524,147.40637
222.27942,201.9375
170.87134,120.125
124.333984,51.6875
211.73706,121.5625
123.992676,113.18762
156.84644,61.500122
193.57312,89.4375
193.90979,104.4375
145.18481,163.5
177.09412,185.87512
154.78137,93.625
178.28577,94.31262
123.87659,33.500122
105.85986,155.125
99.99597,69.1875
98.0155,43.9375
88.87402,59.03125
100.0177,26.15625
97.18237,57.65625
105.32263,77.5625
102.3385,85.25012
83.23755,153.00012
155.5946,143.59387
263.07153,235.15637
79.214966,196.4375
188.6582,135.25012
300.6416,52.3125
95.9032,44.625
113.506836,51.656372
172.17224,74.75
128.72913,58.0
108.51672,62.1875
101.65576,81.0
78.51257,76.8125
307.29602,130.6875
257.83398,25.437622
137.49927,190.0625
154.63586,153.6875
119.527954,39.0625
102.93848,100.625
177.73218,219.4375
206.07092,122.93762
222.35352,192.625
383.01544,90.75
436.92822,353.62506
199.78027,173.25
228.61902,118.06262
118.142944,34.1875
92.92554,55.843872
111.798584,129.25
140.63733,204.75012
217.69983,123.0625
161.21509,109.6875
172.21094,113.18762
117.23706,143.5625
120.84363,81.0
243.31311,81.8125
112.65723,90.8125
100.40674,27.9375
98.89148,35.625
90.00964,24.03125
94.2478,50.21875
69.28674,18.125
72.36316,20.875
65.81055,20.9375
80.49451,32.0625
99.05359,41.1875
107.350586,80.3125
132.93848,48.1875
92.57764,18.125
99.7323,38.437622
2008.4309,2483.5625
3208.0066,3296.4375
1148.2731,793.31256
1774.8108,963.4375
129.02979,260.62512
1696.3906,1077.125
912.11194,1303.5625
1001.5562,653.5
1666.598,963.875
2667.249,2378.625
1692.1455,1591.5625
1033.1041,911.4375
579.38434,422.12506
485.8897,1272.8125
626.28455,709.4375
473.57227,1014.875
841.7066,603.25
1208.1907,575.53125
747.41064,731.5
917.3507,1728.5312
1285.9194,1001.625
852.24554,347.375
425.40503,395.62506
418.7188,221.5
559.3933,464.06256
464.7119,534.0
575.78326,498.3125
279.74622,427.00006
372.80414,880.6875
1650.5546,1239.6562
495.09924,773.0
1412.4822,1362.25
361.71698,323.62512
318.9287,610.125
374.05475,398.37506
243.13086,48.875
486.69067,404.625
325.0182,1223.9062
1035.1136,831.75006
647.0167,267.68762
335.65393,605.25006
554.8825,136.25
225.96338,141.125
510.5827,976.5
1126.4003,1009.3125
937.6488,1320.3125
213.23706,0.0
202.80042,0.0
136.52368,0.0
236.67114,1052.5938
1099.6306,1062.375
862.78217,999.5
919.24475,840.12506
1117.0153,1567.0625
1232.359,1168.6875
1076.1465,1342.0
1677.7885,1685.875
735.472,691.9375
1277.2484,1012.8125
843.4136,563.5625
658.7093,961.375
871.9398,997.03125
706.89124,794.0
861.05383,928.25
859.1426,427.6875
745.8036,600.37506
338.43365,0.0
649.93854,982.0625
1319.8876,1247.625
1058.0664,1494.0625
998.35284,830.75
280.39832,0.34375
911.0469,685.68756
404.73212,680.75
425.3791,1157.5
1050.8607,1282.625
642.83167,824.75006
962.3356,1021.875
1093.9294,1297.2812
1341.1462,1503.0938
612.2016,917.75
586.016,373.25
600.2878,194.9375
369.3731,476.0
239.8623,153.00012
248.17249,307.50012
166.40527,180.3125
252.62378,198.4375
284.4641,442.43756
555.18726,516.1563
463.11816,582.53125
737.8723,1091.8125
762.49133,782.125
648.1559,641.56256
659.5729,604.5625
800.4914,664.0
470.66107,355.0625
474.60834,409.21875
447.3363,431.18756
624.73944,529.75
385.6148,385.8125
494.3642,371.8125
468.86182,399.75
316.74976,109.375
245.45056,154.09375
186.03345,89.71875
292.724,259.3125
205.7439,100.5625
227.25842,135.5
242.80579,203.375
228.17114,116.0
249.95374,160.34387
87.44531,6.187622
536.6663,536.75
431.01807,676.5625
561.51996,385.8125
580.5411,328.43762
385.2259,4.125
186.62048,622.68756
1039.8134,1151.1875
733.23834,968.0
440.29822,198.4375
407.73578,20.1875
386.57397,371.8125
