preds,trues
204.23804,167.00012
176.47314,170.5
249.96472,202.625
89.98682,223.625
279.8247,138.3125
209.0199,215.875
175.08191,83.12512
212.3335,164.87512
200.32227,106.18762
837.1543,685.3125
759.6626,437.15625
673.01636,473.15625
435.3344,357.0938
834.1106,1154.375
666.25903,962.78125
1359.8479,1802.3125
624.1535,622.75
734.40027,455.6875
418.77692,363.43756
423.19293,293.50012
665.38184,1033.75
360.57623,383.0
395.99097,271.1875
399.6845,401.1875
466.6128,368.31256
428.5968,380.1875
1199.2902,1211.25
570.81885,1005.75
795.61835,1065.875
633.28876,388.56256
405.12274,192.125
402.58533,239.75
520.8204,438.9375
461.96185,321.50012
347.18658,359.25
524.1716,683.5625
788.9603,475.93756
466.3188,378.8125
373.11676,170.5
334.0,269.75
385.19806,364.125
335.19196,391.37506
631.1246,443.06256
338.54523,243.93762
416.9264,290.75
493.75732,588.50006
740.4545,963.125
517.36365,863.875
663.65137,379.46875
634.8965,489.96875
637.236,370.75
577.36426,964.1875
667.3171,378.50006
450.3031,437.875
458.4489,300.125
426.04218,455.31256
399.28265,608.8125
533.94727,443.06256
534.7074,571.87506
439.4571,329.875
461.4464,327.0625
278.74475,357.8125
462.64502,448.0
581.92505,1276.3125
535.8579,694.125
567.3041,473.875
592.6076,495.5
553.18585,1188.25
1268.572,1092.5
1612.1815,1952.25
1336.743,2113.6875
859.87134,985.5
2421.4304,1959.9375
881.8045,727.5625
1303.6835,1960.625
514.42615,513.03125
543.3171,508.78125
556.65546,1031.0
501.3946,460.21875
688.12787,1134.4062
405.37714,464.43756
715.3626,359.62506
589.77045,467.5625
460.21106,292.59375
513.07324,535.0313
420.5121,144.625
232.42615,184.4375
286.16797,808.6875
298.43848,406.75
607.9203,351.56256
545.9328,297.75012
579.7076,370.37506
324.2423,365.56256
447.8766,471.06256
892.9966,677.9375
439.41956,480.25006
495.61365,413.0625
366.96942,348.0625
467.27545,550.75
819.25305,559.875
337.91595,332.0
480.72998,446.625
534.6929,470.37506
392.30206,304.75012
441.32495,498.3125
366.04803,435.43756
374.38214,341.75006
272.15002,271.1875
461.0699,246.34375
340.22217,166.59375
194.81189,125.03125
209.22888,187.59375
485.7187,408.12506
572.0178,583.25
287.2827,473.875
843.9158,668.125
550.83966,606.6875
879.4817,1243.125
466.8465,443.8125
413.20557,283.75
453.91467,277.09387
412.2033,467.87506
367.70612,289.68762
365.18884,391.37506
333.9826,330.56256
724.7803,290.0625
320.8507,333.375
308.76892,203.375
250.02014,284.4375
433.7777,234.125
472.95276,218.0625
379.9898,137.625
281.62158,270.4375
396.2688,327.8125
201.4674,303.625
320.5725,241.78125
443.43256,416.15625
572.1416,555.625
460.76923,455.6875
341.04572,243.1875
308.04065,136.93762
317.11536,162.0625
340.97772,320.0625
213.2854,195.00012
252.21704,274.62512
398.59015,311.6875
134.42493,79.625
250.27222,590.5625
821.705,705.9375
800.662,700.3125
510.4135,433.31256
452.91156,388.56256
402.6668,320.75
644.6187,675.18756
697.6405,485.68756
701.5318,770.93756
428.91565,383.6875
412.0208,557.75
676.0325,606.625
683.3403,671.0
508.26056,614.37506
791.1708,734.5625
540.377,583.625
812.7713,720.5625
1178.4197,993.9375
393.32568,251.21887
588.6008,695.8125
328.7942,259.25
378.9879,406.75
338.47394,384.37506
330.81134,350.87506
545.4381,410.375
472.42218,416.9063
469.05524,334.75006
442.53644,471.75
608.30884,399.8125
508.24976,775.875
578.2545,536.37506
551.873,437.5
879.381,593.37506
547.95166,450.375
559.92163,380.25
700.1064,566.8125
1013.56995,1231.5625
735.8243,753.84375
637.5649,627.625
733.7986,732.50006
