preds,trues
264.19177,153.6875
3664.913,3538.3125
2743.1997,2256.3125
2312.9675,1713.875
3966.3462,4362.4375
2498.2126,2806.4375
4045.0845,4529.5
3422.2168,5487.8125
3669.6348,4783.5
4279.8706,3658.5
2176.235,1501.375
2841.4644,2961.5625
2132.19,3603.3125
2639.1968,1897.0
3212.7537,2935.75
3802.6543,3520.75
2658.454,2642.8125
2499.3599,1378.375
3005.125,2584.125
2570.6938,2456.9375
2462.3628,2706.5
2166.4158,1121.8125
1857.3408,2373.75
2158.5266,2080.875
1744.9757,1795.0
1690.1863,1651.6875
1586.4752,1636.3125
1431.9469,940.125
792.0447,672.375
1532.4102,892.5625
784.1512,660.5
581.86554,596.87506
626.7129,340.375
381.23816,380.875
287.4995,264.875
450.19257,422.8125
1063.4814,713.62506
1191.2592,1585.9375
1307.7133,1076.375
732.0802,542.56256
1064.304,789.81256
794.72784,814.25006
838.7879,747.875
1087.0383,1260.875
1115.5363,1216.25
971.57697,713.62506
1334.5907,1429.375
1305.805,1261.625
1127.8146,840.12506
445.6867,885.5625
212.76184,0.0
616.42566,397.0
146.8595,1838.3125
210.97864,303.3125
491.12872,299.125
428.3152,448.75
649.0206,237.625
741.45844,451.5
222.83496,299.8125
264.21338,222.25
212.64368,113.875
103.49109,104.8125
136.23206,205.4375
127.6709,407.50006
350.51398,464.06256
182.58545,150.87512
172.43628,157.87512
133.078,95.0
219.74622,106.18762
394.7845,277.4375
117.35632,2.0625
131.21448,212.4375
243.51135,113.18762
434.72626,596.9375
218.0614,223.50012
210.62549,204.75012
312.1693,117.375
305.97327,266.96875
323.0526,107.625
410.53442,269.75
158.98706,252.9375
380.50793,330.56256
385.02783,321.50012
316.69397,278.875
353.04865,283.40625
332.38898,264.125
247.10803,290.0
174.03345,37.6875
91.953125,137.0
138.2782,130.625
111.27258,133.40637
102.065186,123.6875
91.81653,135.5625
121.63757,124.3125
170.81018,62.125122
182.1283,118.06262
259.2036,454.93756
186.98169,124.3125
100.17053,41.875
90.61975,66.37512
109.94507,99.25012
82.910645,29.312622
108.3042,93.625
70.06177,77.5
110.21411,68.4375
72.88818,20.53125
156.63867,131.25
72.8562,101.31262
71.30078,127.875
105.798706,136.93762
92.47363,44.0
67.39514,32.75
33.997192,32.0625
45.19458,41.125122
59.51306,50.250122
60.25818,39.0625
