preds,trues
165.33777,167.00012
135.38757,170.5
206.36841,202.625
47.960083,223.625
237.40076,138.3125
166.43396,215.875
134.10583,83.12512
172.01404,164.87512
157.54602,106.18762
805.8284,685.3125
726.6322,437.15625
640.7114,473.15625
403.28986,357.0938
803.685,1154.375
638.75104,962.78125
1338.6226,1802.3125
586.96686,622.75
695.1664,455.6875
396.3916,363.43756
417.9295,293.50012
653.4923,1033.75
344.19537,383.0
364.98254,271.1875
364.44635,401.1875
429.78546,368.31256
399.2022,380.1875
1169.1158,1211.25
522.91345,1005.75
756.22516,1065.875
489.47583,388.56256
376.71033,192.125
379.9875,239.75
505.74847,438.9375
435.76398,321.50012
320.60645,359.25
483.31543,683.5625
745.1476,475.93756
434.43292,378.8125
340.81763,170.5
299.55994,269.75
357.72552,364.125
313.11206,391.37506
598.0228,443.06256
294.96777,243.93762
375.7309,290.75
456.8827,588.50006
703.7182,963.125
480.9311,863.875
627.08276,379.46875
596.0266,489.96875
603.0711,370.75
556.9237,964.1875
648.6464,378.50006
421.33875,437.875
419.4184,300.125
395.93793,455.31256
374.5675,608.8125
508.471,443.06256
498.36438,571.87506
400.03967,329.875
425.9159,327.0625
248.8711,357.8125
435.97632,448.0
547.6997,1276.3125
494.27277,694.125
530.5053,473.875
554.96234,495.5
520.5799,1188.25
1243.175,1092.5
1586.0258,1952.25
1296.4457,2113.6875
819.46893,985.5
2251.0752,1959.9375
867.8673,727.5625
1313.2112,1960.625
484.8576,513.03125
514.8897,508.78125
525.37036,1031.0
476.07855,460.21875
668.5412,1134.4062
362.94916,464.43756
681.2387,359.62506
509.55908,467.5625
435.60455,292.59375
481.08655,535.0313
397.1944,144.625
207.47461,184.4375
260.87415,808.6875
263.29443,406.75
569.74023,351.56256
507.69348,297.75012
537.8948,370.37506
285.52087,365.56256
414.9001,471.06256
855.2844,677.9375
403.85406,480.25006
460.9328,413.0625
330.17444,348.0625
431.5996,550.75
791.64307,559.875
310.90125,332.0
449.04663,446.625
494.14587,470.37506
357.1535,304.75012
415.42303,498.3125
335.76068,435.43756
337.0078,341.75006
238.53296,271.1875
430.383,246.34375
305.03442,166.59375
161.25305,125.03125
172.31458,187.59375
447.41034,408.12506
530.3301,583.25
245.31934,473.875
800.6991,668.125
505.74744,606.6875
844.6085,1243.125
433.20795,443.8125
379.44446,283.75
421.42438,277.09387
387.94012,467.87506
338.25043,289.68762
336.90497,391.37506
293.49573,330.56256
684.64276,290.0625
284.9171,333.375
275.7699,203.375
217.63953,284.4375
398.08282,234.125
438.20728,218.0625
348.35455,137.625
244.92725,270.4375
354.21948,327.8125
163.49011,303.625
282.1598,241.78125
403.8341,416.15625
530.7732,555.625
422.3371,455.6875
302.04688,243.1875
269.34473,136.93762
282.20166,162.0625
312.7981,320.0625
184.8573,195.00012
214.68433,274.62512
355.54498,311.6875
94.9187,79.625
211.6261,590.5625
776.48114,705.9375
754.32886,700.3125
472.02472,433.31256
408.70776,388.56256
362.865,320.75
623.0816,675.18756
678.6024,485.68756
670.19885,770.93756
387.82336,383.6875
375.90692,557.75
641.5099,606.625
657.3446,671.0
480.59808,614.37506
760.75903,734.5625
504.09662,583.625
781.4176,720.5625
1150.8862,993.9375
364.9027,251.21887
559.6475,695.8125
311.46497,259.25
353.7594,406.75
309.86475,384.37506
293.42773,350.87506
504.02692,410.375
433.71985,416.9063
432.81897,334.75006
409.18756,471.75
573.5878,399.8125
475.3274,775.875
542.3542,536.37506
516.9749,437.5
843.803,593.37506
513.659,450.375
528.9936,380.25
672.97095,566.8125
983.1578,1231.5625
702.46106,753.84375
605.97253,627.625
700.4999,732.50006
