preds,trues
419.43298,283.75
760.0037,645.4375
411.6012,376.75006
384.55896,378.8125
681.58026,1130.9375
772.445,799.5625
448.01385,534.0
438.3758,379.50006
618.14905,592.00006
756.93274,659.125
699.0749,142.84375
1528.6765,839.06256
545.7661,647.875
1732.7925,1789.375
1154.0216,1184.9375
1324.9552,1350.4062
1457.6973,1691.5
1382.2169,1707.625
1173.4661,899.5625
908.3794,1068.6875
965.79895,977.8125
1253.0955,2125.9688
2639.6177,2930.1875
2329.8909,2385.625
2174.3364,2436.6875
2432.3003,2013.4375
2354.5625,2151.5
1033.1968,1686.625
1498.7257,1177.75
1070.222,1502.8125
319.28992,249.15625
399.8371,481.5
709.8747,424.9375
604.65607,429.62506
1380.0814,1171.4375
500.11005,489.25006
1396.1554,1577.9688
1254.3329,767.43756
716.6908,873.6875
736.5781,616.4375
418.1692,348.75006
325.6576,284.125
345.89514,297.0
213.62769,272.5625
322.7035,273.9375
340.771,359.59375
406.32062,399.0625
600.8865,1173.5625
1053.8602,957.5625
468.41632,640.9375
390.90326,472.06256
814.70605,690.50006
413.427,0.6876221
862.83264,715.00006
1157.0491,1280.5
889.7252,452.25006
790.5835,1632.125
2053.7415,1773.3125
644.2216,1143.5
1425.2317,769.87506
1223.51,1564.3125
936.07874,1243.5
1155.712,807.31256
110.00635,27.9375
157.15283,137.625
121.13428,179.5625
52.68518,0.34375
13.52124,0.0
32.47351,0.0
33.565063,0.0
19.924805,0.0
11.605835,10.8125
15.817993,0.0
195.99231,532.56256
445.688,388.25006
205.80713,31.375122
6314.3594,6763.4375
4282.35,3473.25
5048.874,7457.625
4926.568,4418.625
3996.2583,2997.25
5361.8564,3729.125
3790.391,3511.6875
2872.6685,3313.9062
3041.3813,3160.4688
3242.4644,2814.125
2113.0723,2477.875
1723.7378,2132.25
2899.8276,2869.375
2579.8267,1985.125
829.5437,1777.0938
999.20447,1808.9375
873.9596,1088.9375
440.23254,227.125
281.47375,231.3125
574.8592,525.56256
266.65442,191.4375
395.0578,294.875
259.0338,412.37506
966.28973,503.25006
848.166,1126.75
293.29858,289.3125
263.97717,214.5
169.2583,189.3125
252.09888,180.25
211.65979,140.4375
