preds,trues
984.8669,789.125
2557.577,1525.125
1943.9369,1202.1875
899.1044,1490.875
4280.283,5102.625
2282.8691,2252.1875
2682.4521,3202.75
1986.4777,1256.0625
951.9057,824.0625
1703.1101,1890.6875
342.46826,742.9375
842.47064,477.625
777.66016,858.3125
1098.6833,1477.625
1615.4315,2345.0625
1488.5776,1409.875
1581.1025,1055.375
762.41394,443.8125
533.544,516.5
630.4753,789.81256
1351.3033,1032.625
1044.4392,1168.0
1374.5823,1672.6875
738.42224,594.8125
875.70154,903.0625
513.6215,637.4375
913.08813,868.09375
1751.4459,1459.125
673.12866,710.84375
667.23706,586.4063
473.86035,503.25006
476.6709,530.84375
579.6952,437.875
644.10913,856.9375
470.92188,398.75
591.227,565.46875
938.5313,1120.375
1120.0175,971.5
158.35022,185.125
190.36438,895.25
828.23627,847.84375
569.2299,396.65625
755.68616,1520.2188
723.079,688.4375
966.97125,1241.75
1130.9197,874.40625
581.4291,452.5625
430.36847,278.15637
547.4202,505.6563
461.92926,348.37506
1019.94025,781.375
302.9735,407.40625
709.6359,696.8125
506.03253,554.25
339.12762,408.12506
728.5766,694.75
483.89575,376.0
528.5284,704.50006
989.0365,1332.25
1182.7693,1170.0625
1560.0173,2082.25
558.0995,360.62506
711.40393,915.625
724.34375,981.3125
1313.9958,1295.9375
479.83447,384.37506
1068.535,916.3125
1316.9893,1400.0625
3091.4092,2448.2188
3249.2896,3057.0312
3402.5513,3588.9688
3220.599,5171.875
1683.0591,1558.6875
1997.4774,2433.625
1977.8923,1536.6562
907.5753,888.3125
1265.5989,1377.0
1327.386,1490.1875
1120.3689,1174.9375
1213.6748,929.625
789.2209,942.875
1286.5853,1215.75
895.7722,1313.375
417.42102,408.12506
536.4391,503.18756
910.10114,1169.375
1052.7697,947.75
664.96564,794.0
913.18396,945.0
1003.2462,1020.4375
913.3583,453.75006
684.914,1130.1875
728.1996,452.18756
674.354,784.25
651.59326,840.8125
1234.3042,1187.5625
845.4517,891.875
1113.4435,1290.3125
1495.5504,1546.125
883.58624,1077.8125
315.88306,386.50006
1624.5764,1616.0
1281.0764,1300.75
1705.3464,1638.4375
1597.1448,1925.6875
2127.666,1989.3125
636.758,596.87506
1563.8888,1165.125
1105.4808,1004.40625
1025.5247,1091.8125
1184.9832,877.34375
400.55176,533.21875
562.9496,606.2813
586.9464,566.84375
414.3656,96.40625
98.51001,17.0625
388.57312,274.96887
741.71173,255.0625
827.33594,849.4375
1355.8527,1531.4375
1298.0564,1323.875
1273.6982,1435.0
1194.5577,1490.1875
1134.2876,1141.375
820.34503,1090.375
400.08447,378.75
628.9767,698.25
230.47595,199.1875
1088.7189,1047.7188
342.8896,523.46875
236.56091,219.0625
797.3679,468.96875
605.69556,840.8125
387.2683,348.0
366.29572,455.6875
535.3554,578.00006
176.42468,239.0
172.8003,309.0
181.94434,156.5
194.50159,133.4375
357.96918,441.0
318.011,308.9375
148.11536,46.03125
73.950806,12.562622
415.55975,256.8125
332.85797,326.375
149.41016,149.5625
424.65466,409.56256
411.95758,413.7813
249.85095,169.40637
114.82922,91.18762
205.63403,427.75
118.2594,144.75
73.74841,110.375
47.795776,81.6875
96.928345,238.3125
116.13318,142.875
65.0238,78.875
127.91724,91.5
210.60254,190.0625
98.05847,75.4375
125.74768,133.4375
47.763428,25.0625
45.86023,63.5625
54.3302,55.125122
18.609009,35.5625
73.74158,58.625
180.42175,37.6875
173.30432,60.000122
238.78638,195.00012
196.92358,121.0625
313.5393,452.18756
599.52325,706.62506
623.672,327.0625
1657.7769,1207.125
1549.6951,1237.1875
879.88654,830.3125
962.5884,791.1875
564.25836,476.625
362.31775,224.28125
354.71442,348.6875
357.23798,269.75
353.234,255.81262
415.4626,208.1875
146.45862,116.0
338.0327,236.1875
139.52356,108.25
152.66907,183.4375
424.69934,102.0
156.65662,273.25
660.8361,459.18756
286.1588,498.43756
37.1239,260.0
250.82202,269.75
714.512,290.75
400.67682,283.75
313.8086,421.43756
346.50812,436.8125
224.13574,206.1875
278.8833,276.0625
130.98682,475.25006
103.2113,929.5625
136.23181,90.06262
408.15753,218.375
206.50854,22.34375
125.53113,85.25012
376.17303,568.9375
457.80762,1080.625
1145.3792,1762.8125
2524.131,2719.75
2078.6636,1762.8125
2037.5122,1732.75
2032.9075,2018.625
2857.9756,2997.9375
2782.122,3092.2812
2090.4468,2353.9688
1597.1609,939.375
334.3648,865.28125
449.96283,457.8125
517.40594,518.625
467.96558,316.5625
285.85303,220.81262
304.09375,187.3125
267.6609,299.8125
368.11145,340.375
230.00684,464.06256
342.58417,311.6875
666.64813,696.875
570.0643,437.5
720.79004,575.87506
653.12695,675.0
554.2559,743.00006
822.2762,501.8125
214.75464,139.75
709.1579,1760.75
1850.6974,1451.0625
844.5773,988.3125
945.977,168.09375
259.25696,0.34375
280.938,292.875
229.84705,292.8125
295.56152,210.3125
268.30164,308.1875
563.80646,1010.0
704.39624,420.75
339.04346,496.25006
529.6801,566.125
714.3825,652.06256
739.91644,594.75006
673.7005,629.75
796.69366,730.375
538.3032,682.93756
1177.8877,1248.375
1232.4337,1311.9375
780.55853,534.68756
300.52478,180.9375
237.53882,223.625
417.7085,202.00012
45.628662,0.0
23.985596,0.0
32.99695,0.0
32.471924,0.0
16.25879,4.125
18.852661,1.71875
664.81793,591.65625
740.8218,763.93756
985.14545,3516.625
1762.422,2203.1875
1212.9283,1036.5625
1684.145,1873.25
1699.1665,1952.25
1922.4219,1953.6875
1756.9071,1877.4375
2052.5562,1906.0625
1664.4204,2093.4375
2178.5154,2007.5
1526.821,1469.25
1711.0559,1760.0625
2578.6165,1130.25
1058.3934,1123.9375
1759.268,1769.125
1814.6162,1705.5
1860.9702,2091.3125
1553.479,1439.1875
1221.9227,1585.9375
1711.9791,1402.8125
1370.8035,1510.8438
1200.6407,1062.4688
1983.3251,2457.625
2292.8562,2247.9375
1944.1733,1734.6875
1728.6958,1213.4375
1471.4949,1292.75
1722.4525,2220.2812
2241.3848,2329.3125
1757.7404,1950.1562
1844.7329,1686.9688
5073.4272,4630.8125
1086.9678,988.3125
2574.6338,1919.375
891.55347,339.0
531.47705,264.8125
585.39575,497.9375
762.6134,473.12506
587.11163,423.9063
496.81714,497.62506
1584.3638,2786.1875
1057.9141,1503.5
2068.0708,1579.0
1718.6868,1013.5
