preds,trues
164.66101,167.00012
136.00928,170.5
209.83362,202.625
33.34839,223.625
238.98401,138.3125
150.13184,215.875
130.8512,83.12512
162.78711,164.87512
157.8009,106.18762
829.73956,685.3125
778.3757,437.15625
645.5571,473.15625
445.99982,357.0938
759.52325,1154.375
623.49255,962.78125
1306.926,1802.3125
498.56964,622.75
607.7753,455.6875
362.83514,363.43756
374.1524,293.50012
695.9829,1033.75
357.59314,383.0
335.0509,271.1875
361.46246,401.1875
460.65552,368.31256
403.09082,380.1875
1140.8909,1211.25
535.6555,1005.75
677.3932,1065.875
380.00806,388.56256
300.40173,192.125
346.9179,239.75
475.18793,438.9375
443.46326,321.50012
334.5597,359.25
515.00916,683.5625
744.18024,475.93756
413.44574,378.8125
319.9635,170.5
272.1786,269.75
357.61407,364.125
321.73193,391.37506
607.5532,443.06256
307.38208,243.93762
355.2796,290.75
463.8258,588.50006
698.5458,963.125
475.97943,863.875
583.12695,379.46875
566.9294,489.96875
587.74,370.75
561.7426,964.1875
650.0286,378.50006
409.05988,437.875
451.73413,300.125
379.3352,455.31256
376.0056,608.8125
527.59283,443.06256
528.62555,571.87506
392.74164,329.875
430.3855,327.0625
252.2992,357.8125
423.32648,448.0
582.6169,1276.3125
514.3568,694.125
446.7254,473.875
502.5191,495.5
496.43292,1188.25
1186.4009,1092.5
1572.3909,1952.25
1343.1271,2113.6875
744.9625,985.5
2175.1357,1959.9375
870.48474,727.5625
1118.206,1960.625
421.97443,513.03125
465.6908,508.78125
536.344,1031.0
461.8341,460.21875
586.1306,1134.4062
310.71973,464.43756
602.8676,359.62506
480.29675,467.5625
441.14624,292.59375
459.59094,535.0313
386.2777,144.625
191.9856,184.4375
275.1183,808.6875
274.74683,406.75
553.59564,351.56256
489.1435,297.75012
549.2719,370.37506
259.23828,365.56256
386.1198,471.06256
838.539,677.9375
388.7426,480.25006
442.03223,413.0625
309.19397,348.0625
422.09125,550.75
781.4489,559.875
293.83203,332.0
438.75574,446.625
509.53308,470.37506
358.05054,304.75012
392.01544,498.3125
344.11157,435.43756
342.1587,341.75006
227.06567,271.1875
419.48993,246.34375
309.95178,166.59375
172.22375,125.03125
194.00415,187.59375
463.6281,408.12506
558.59894,583.25
234.04419,473.875
773.98346,668.125
483.1778,606.6875
832.37726,1243.125
373.9367,443.8125
265.51294,283.75
391.83618,277.09387
351.8946,467.87506
311.31348,289.68762
319.41382,391.37506
305.7091,330.56256
680.10175,290.0625
292.7567,333.375
278.00854,203.375
230.10645,284.4375
422.89856,234.125
478.47784,218.0625
358.2472,137.625
264.66797,270.4375
388.55463,327.8125
187.23792,303.625
268.3004,241.78125
391.51697,416.15625
537.524,555.625
416.81445,455.6875
289.82385,243.1875
248.67249,136.93762
271.8058,162.0625
319.50037,320.0625
193.00598,195.00012
227.92358,274.62512
372.1142,311.6875
115.20471,79.625
212.3103,590.5625
790.0227,705.9375
755.12616,700.3125
477.10822,433.31256
379.03168,388.56256
334.42212,320.75
596.24854,675.18756
665.45123,485.68756
643.5017,770.93756
394.99908,383.6875
334.88617,557.75
625.6267,606.625
634.3306,671.0
455.59106,614.37506
743.2302,734.5625
490.64917,583.625
748.8836,720.5625
1112.8777,993.9375
356.1953,251.21887
506.85663,695.8125
301.2566,259.25
349.49622,406.75
336.81335,384.37506
320.1919,350.87506
527.4919,410.375
442.66455,416.9063
424.8128,334.75006
416.06122,471.75
578.6455,399.8125
478.00262,775.875
536.8369,536.37506
482.28894,437.5
838.10156,593.37506
502.0761,450.375
504.40656,380.25
642.7909,566.8125
985.03455,1231.5625
701.4809,753.84375
523.95447,627.625
668.21985,732.50006
