preds,trues
175.56604,167.00012
148.14282,170.5
221.92468,202.625
57.06958,223.625
254.15967,138.3125
164.70178,215.875
145.22046,83.12512
174.80212,164.87512
166.16785,106.18762
862.35425,685.3125
807.9811,437.15625
666.36914,473.15625
464.7956,357.0938
797.38226,1154.375
627.512,962.78125
1320.2985,1802.3125
516.154,622.75
644.0525,455.6875
369.7989,363.43756
392.7492,293.50012
720.24243,1033.75
372.6742,383.0
351.5158,271.1875
358.56598,401.1875
485.49414,368.31256
421.09357,380.1875
1199.367,1211.25
569.11847,1005.75
709.5778,1065.875
390.0699,388.56256
313.50098,192.125
364.0998,239.75
509.46204,438.9375
475.59058,321.50012
339.28137,359.25
536.2737,683.5625
776.1899,475.93756
431.79028,378.8125
335.21667,170.5
287.80542,269.75
369.77563,364.125
335.57428,391.37506
632.8479,443.06256
330.09888,243.93762
377.00995,290.75
494.2016,588.50006
736.5654,963.125
508.18298,863.875
610.7445,379.46875
598.4018,489.96875
616.6728,370.75
577.7315,964.1875
673.8341,378.50006
429.062,437.875
465.75757,300.125
395.17926,455.31256
389.0728,608.8125
546.43134,443.06256
553.291,571.87506
417.4804,329.875
451.5564,327.0625
258.755,357.8125
447.44867,448.0
616.2189,1276.3125
536.43677,694.125
469.60883,473.875
532.29297,495.5
524.7001,1188.25
1234.1135,1092.5
1612.8177,1952.25
1333.3931,2113.6875
783.41766,985.5
2220.4395,1959.9375
852.463,727.5625
1123.6097,1960.625
440.39624,513.03125
480.11053,508.78125
562.74493,1031.0
485.78894,460.21875
632.79626,1134.4062
324.37317,464.43756
633.26776,359.62506
489.51843,467.5625
466.39264,292.59375
493.38507,535.0313
400.11182,144.625
205.45288,184.4375
271.22192,808.6875
292.50854,406.75
587.17114,351.56256
512.33984,297.75012
579.18195,370.37506
272.92725,365.56256
404.35144,471.06256
889.75696,677.9375
407.80286,480.25006
464.5382,413.0625
322.23865,348.0625
452.0921,550.75
826.77515,559.875
313.45496,332.0
453.21204,446.625
540.8622,470.37506
379.55707,304.75012
412.58807,498.3125
353.05157,435.43756
351.67773,341.75006
227.89929,271.1875
447.1554,246.34375
326.8103,166.59375
173.20068,125.03125
197.25647,187.59375
489.5995,408.12506
597.34644,583.25
252.19788,473.875
825.556,668.125
523.3563,606.6875
878.20654,1243.125
402.36804,443.8125
283.16187,283.75
411.31067,277.09387
379.43268,467.87506
330.4076,289.68762
335.26465,391.37506
325.71924,330.56256
721.7092,290.0625
309.13647,333.375
292.08032,203.375
232.43213,284.4375
438.39948,234.125
507.25867,218.0625
378.0437,137.625
272.3053,270.4375
402.63446,327.8125
187.30176,303.625
286.146,241.78125
421.43866,416.15625
580.5366,555.625
446.4325,455.6875
304.86316,243.1875
251.55627,136.93762
280.86963,162.0625
335.5852,320.0625
195.18774,195.00012
232.11267,274.62512
389.85675,311.6875
127.34717,79.625
214.9541,590.5625
845.678,705.9375
799.59705,700.3125
500.0321,433.31256
400.24274,388.56256
349.03784,320.75
630.0927,675.18756
698.96216,485.68756
673.90625,770.93756
411.74786,383.6875
350.36957,557.75
660.295,606.625
670.0466,671.0
477.4444,614.37506
777.55347,734.5625
516.9981,583.625
786.1869,720.5625
1150.452,993.9375
372.75287,251.21887
525.51514,695.8125
313.60864,259.25
365.78107,406.75
351.9088,384.37506
326.76648,350.87506
555.38104,410.375
472.12164,416.9063
450.82916,334.75006
439.8062,471.75
611.87665,399.8125
509.22247,775.875
564.5575,536.37506
508.00354,437.5
880.4507,593.37506
528.6852,450.375
527.0686,380.25
667.50146,566.8125
1019.38794,1231.5625
724.0747,753.84375
549.4439,627.625
693.8034,732.50006
