preds,trues
276.3064,153.6875
3774.705,3538.3125
2772.4639,2256.3125
2049.0222,1713.875
4215.164,4362.4375
2379.5315,2806.4375
3986.5571,4529.5
3497.8774,5487.8125
3339.5923,4783.5
4125.4175,3658.5
1775.9128,1501.375
2591.0718,2961.5625
1931.7056,3603.3125
2489.5225,1897.0
3540.2979,2935.75
4258.469,3520.75
2532.5444,2642.8125
2294.48,1378.375
2908.79,2584.125
2522.0186,2456.9375
2361.8752,2706.5
2064.0671,1121.8125
1849.6307,2373.75
2254.848,2080.875
1632.9644,1795.0
1578.0146,1651.6875
1591.9417,1636.3125
1413.1571,940.125
708.72485,672.375
1479.1116,892.5625
796.91565,660.5
506.96094,596.87506
636.7228,340.375
411.52344,380.875
324.05603,264.875
446.17114,422.8125
1061.9951,713.62506
1228.4006,1585.9375
1284.3717,1076.375
699.14795,542.56256
988.04407,789.81256
784.4084,814.25006
795.71246,747.875
1064.497,1260.875
1099.2654,1216.25
951.5424,713.62506
1284.7549,1429.375
1269.7617,1261.625
1082.3427,840.12506
382.69293,885.5625
129.46533,0.0
629.283,397.0
180.1372,1838.3125
212.68372,303.3125
367.9004,299.125
402.4394,448.75
693.3937,237.625
761.26636,451.5
304.18652,299.8125
256.70752,222.25
172.90979,113.875
134.36475,104.8125
214.83215,205.4375
166.71887,407.50006
370.57898,464.06256
210.50049,150.87512
225.70667,157.87512
161.47363,95.0
226.93616,106.18762
446.42712,277.4375
163.24097,2.0625
190.80103,212.4375
282.86108,113.18762
402.51672,596.9375
205.88269,223.50012
194.80554,204.75012
352.5642,117.375
313.75122,266.96875
397.9859,107.625
446.57318,269.75
212.81128,252.9375
376.18878,330.56256
393.51562,321.50012
323.27808,278.875
347.31897,283.40625
342.01178,264.125
236.14441,290.0
164.25476,37.6875
94.57385,137.0
157.25452,130.625
110.40161,133.40637
116.901245,123.6875
106.959595,135.5625
138.30957,124.3125
190.56714,62.125122
211.54272,118.06262
300.04785,454.93756
226.6731,124.3125
102.38867,41.875
93.51819,66.37512
124.84509,99.25012
114.2124,29.312622
130.8601,93.625
94.2688,77.5
122.750244,68.4375
91.135376,20.53125
182.20947,131.25
98.80896,101.31262
98.197754,127.875
114.28247,136.93762
105.456665,44.0
74.80322,32.75
52.93286,32.0625
63.534546,41.125122
84.86499,50.250122
80.68396,39.0625
153.63647,104.40625
144.17456,132.75
168.11755,147.4375
162.66284,130.28125
171.54956,147.40637
188.37329,201.9375
145.36365,120.125
84.53735,51.6875
189.90796,121.5625
108.12952,113.18762
138.41211,61.500122
156.59119,89.4375
181.08337,104.4375
128.63147,163.5
145.61426,185.87512
118.107666,93.625
147.80579,94.31262
94.658325,33.500122
69.11182,155.125
61.35962,69.1875
72.62671,43.9375
60.575806,59.03125
74.48828,26.15625
66.378174,57.65625
94.30176,77.5625
93.0885,85.25012
48.63452,153.00012
132.83923,143.59387
246.54651,235.15637
39.103638,196.4375
157.54431,135.25012
270.0774,52.3125
94.39624,44.625
93.27344,51.656372
146.09253,74.75
107.15259,58.0
98.60901,62.1875
77.15979,81.0
40.614258,76.8125
296.18787,130.6875
230.5968,25.437622
124.46301,190.0625
140.6615,153.6875
82.720825,39.0625
76.14514,100.625
167.00476,219.4375
180.30481,122.93762
190.91382,192.625
376.44928,90.75
439.13873,353.62506
194.92065,173.25
190.52563,118.06262
85.16162,34.1875
63.731445,55.843872
81.49011,129.25
118.52429,204.75012
200.39111,123.0625
122.47461,109.6875
137.92383,113.18762
95.6543,143.5625
90.31348,81.0
212.17358,81.8125
83.4801,90.8125
74.558716,27.9375
72.62317,35.625
58.10315,24.03125
74.42798,50.21875
56.480957,18.125
51.919556,20.875
44.99524,20.9375
54.61194,32.0625
73.86914,41.1875
80.34766,80.3125
107.41785,48.1875
60.2135,18.125
71.27307,38.437622
1926.4084,2483.5625
3099.507,3296.4375
1034.18,793.31256
1527.5353,963.4375
213.46375,260.62512
1719.9752,1077.125
977.58997,1303.5625
997.42706,653.5
1722.4562,963.875
2508.9639,2378.625
1728.5593,1591.5625
877.3327,911.4375
471.58423,422.12506
431.65668,1272.8125
660.8564,709.4375
497.89642,1014.875
821.24786,603.25
1240.77,575.53125
723.38794,731.5
965.6695,1728.5312
1285.4165,1001.625
807.20856,347.375
399.18884,395.62506
354.68597,221.5
530.7543,464.06256
439.90607,534.0
579.80316,498.3125
230.22156,427.00006
303.91064,880.6875
1647.3286,1239.6562
450.71606,773.0
1309.5103,1362.25
272.14685,323.62512
217.25879,610.125
321.0476,398.37506
246.12439,48.875
488.2987,404.625
363.73364,1223.9062
1040.8154,831.75006
592.36237,267.68762
196.66296,605.25006
534.29663,136.25
180.55994,141.125
571.4005,976.5
1128.8119,1009.3125
915.5195,1320.3125
112.73193,0.0
74.67749,0.0
45.065308,0.0
262.1267,1052.5938
1160.8441,1062.375
857.7374,999.5
897.82825,840.12506
1037.9265,1567.0625
1168.4159,1168.6875
1022.3721,1342.0
1708.8339,1685.875
702.4066,691.9375
1240.3619,1012.8125
791.6584,563.5625
580.7502,961.375
880.2594,997.03125
675.13153,794.0
783.67664,928.25
827.7693,427.6875
727.0477,600.37506
311.42554,0.0
623.4303,982.0625
1285.0453,1247.625
1053.4546,1494.0625
908.174,830.75
168.0774,0.34375
889.10925,685.68756
483.71143,680.75
485.00262,1157.5
1058.2297,1282.625
597.84015,824.75006
1007.7777,1021.875
1077.5651,1297.2812
1280.8855,1503.0938
510.1142,917.75
494.88983,373.25
545.2659,194.9375
421.32288,476.0
271.81726,153.00012
238.0791,307.50012
179.26917,180.3125
246.14575,198.4375
287.8595,442.43756
545.2066,516.1563
426.14606,582.53125
693.4293,1091.8125
741.3501,782.125
585.0679,641.56256
611.7608,604.5625
755.04443,664.0
452.35645,355.0625
456.93164,409.21875
450.62225,431.18756
639.7123,529.75
399.16315,385.8125
467.95966,371.8125
478.49548,399.75
307.50012,109.375
223.99976,154.09375
170.24353,89.71875
278.7904,259.3125
208.65015,100.5625
218.51147,135.5
225.1322,203.375
213.01282,116.0
225.6665,160.34387
47.922363,6.187622
519.24713,536.75
429.9829,676.5625
499.36584,385.8125
549.3374,328.43762
354.33618,4.125
144.49976,622.68756
1022.2937,1151.1875
716.1757,968.0
330.16797,198.4375
315.1892,20.1875
386.00867,371.8125
269.32153,11.15625
309.43262,317.3125
276.38342,316.5625
422.58575,632.5
480.71222,727.62506
106.126465,198.4375
156.10583,164.1875
177.04419,167.6875
102.11865,95.75
417.86597,186.93762
380.76044,384.0625
325.448,408.875
372.81104,374.9375
497.41602,405.37506
414.33075,404.75006
320.22998,421.43756
499.18585,366.25
489.6148,371.8125
408.1994,622.4063
533.0698,428.43756
548.2608,498.3125
497.09668,360.62506
392.20282,319.37512
347.96332,283.75
353.4425,62.875
115.49487,28.59375
48.89453,23.0625
163.21448,183.68762
141.80627,37.0
4564.0327,3868.9375
2897.541,3316.6875
3113.09,2622.625
3180.708,4463.75
2602.9646,2618.375
2028.4756,2041.75
1887.6877,1890.0
3940.5308,3799.6875
3914.789,3960.4688
3053.9458,3146.8125
5758.7095,5759.6875
3828.9204,4747.0625
4888.4917,3678.75
4134.644,3741.6875
2523.5337,2054.3125
2769.8599,2709.9375
3214.898,3415.2188
3500.7622,3085.3125
1893.5759,1747.4375
4733.5547,5301.1875
6079.086,6662.8125
5757.081,3708.125
2620.9658,2229.75
2275.5483,2485.625
2804.662,3985.625
2205.5933,2115.125
2416.296,3475.375
2559.437,2456.9375
2108.1567,2424.0625
1428.1799,1547.6875
2296.5288,1987.25
1109.219,835.9375
2177.9263,1633.5
1854.2008,2515.9375
1835.3445,1836.875
3115.0605,3409.625
997.20935,529.8125
1042.9004,712.9375
2376.5361,3324.25
1570.9973,1997.0
3705.7617,3534.75
3779.2021,3008.4375
1985.1392,1773.3125
2093.7878,1933.375
2252.312,1572.0
2419.3064,2196.1875
1628.4277,1332.9375
1672.5454,1051.1875
2109.2817,1977.0312
2416.2593,2728.4688
3522.9023,3979.3125
