preds,trues
179.37878,153.6875
60.533813,0.0
289.96973,267.68762
317.17065,178.5625
94.07947,71.28125
49.3042,0.0
86.32715,69.12512
790.1458,507.4375
300.6803,218.75012
128.78015,240.375
150.48499,383.6875
155.36316,95.6875
48.492065,29.250122
30.463867,41.875
55.560425,37.0
62.53235,93.625
139.81909,204.0
421.27325,396.28125
304.6494,302.96875
196.51978,83.875
205.64136,285.37512
194.13086,155.125
123.57019,127.125
333.5741,236.1875
624.7637,537.43756
386.4732,606.6875
356.7697,481.5
381.6068,308.9375
101.90637,100.625
205.56836,160.00012
342.347,206.87512
497.56274,408.1875
274.98486,299.125
79.09021,111.8125
124.51172,48.1875
11.661987,0.0
1678.3245,4191.8125
1758.9927,50.250122
106.54993,81.0625
105.70398,103.4375
95.13245,51.6875
47.292603,27.1875
89.884155,68.4375
100.79175,40.500122
70.74756,44.625
18.623291,1.375
28.698853,3.437622
33.2677,20.1875
0.0,0.0
0.0,0.0
58.301147,51.6875
75.405396,9.6875
55.427246,18.8125
2.2060547,2.40625
78.46338,39.875
61.151245,83.9375
52.83557,44.625
27.032349,9.75
0.3491211,0.0
0.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.4067383,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
37.696655,72.31262
11.8272705,28.625
62.41931,113.875
137.03467,153.00012
189.08423,90.06262
84.34497,103.375
85.6499,95.6875
110.813965,55.125122
31.175903,0.0
0.3059082,0.125
0.87402344,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.68396,0.0
1.675415,7.59375
0.5046387,6.9375
4.733032,5.000122
6.36084,5.1875
9.5633545,38.718872
112.15564,203.8125
71.33679,69.56262
17.188965,95.50012
169.568,255.0625
190.7096,267.0
101.47156,71.21875
8.199707,7.625
11.082886,11.125
43.102173,54.4375
21.39502,18.125
49.333008,25.125
21.79248,19.5
12.289429,19.562622
17.157227,18.125
38.465088,45.375122
92.63013,108.25
93.173584,96.4375
267.99084,220.81262
304.0846,212.4375
120.2113,60.75
153.7201,155.8125
319.6714,263.4375
278.3921,396.9375
500.7497,612.25006
483.6914,378.8125
419.1391,287.9375
223.14551,202.00012
215.09045,285.8125
222.26892,189.375
158.3125,95.75
50.93164,74.75
18.23059,0.0
6.925415,0.0
428.2721,317.9375
502.00928,747.125
400.53082,507.375
532.22186,778.1875
901.3529,343.125
632.0724,268.375
595.5411,548.625
614.2259,726.90625
656.326,561.87506
667.3986,873.0
1296.8541,1397.2812
552.6621,282.34375
185.76746,318.81262
226.69385,3.125
67.046265,0.0
21.302368,0.0
37.223877,11.125
51.350586,89.375
31.58606,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.18762207
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
