preds,trues
444.2583,283.75
753.5538,645.4375
431.82855,376.75006
403.62762,378.8125
676.09,1130.9375
797.48425,799.5625
478.67877,534.0
449.95123,379.50006
621.92615,592.00006
791.2748,659.125
735.297,142.84375
1479.1294,839.06256
575.87354,647.875
1734.0046,1789.375
1191.6289,1184.9375
1347.9371,1350.4062
1444.4431,1691.5
1405.365,1707.625
1225.0494,899.5625
969.1277,1068.6875
973.8082,977.8125
1266.4595,2125.9688
2680.3862,2930.1875
2348.234,2385.625
2146.9949,2436.6875
2422.3875,2013.4375
2427.1177,2151.5
1112.3232,1686.625
1489.3967,1177.75
1102.8069,1502.8125
432.89178,249.15625
434.3202,481.5
686.64136,424.9375
606.9295,429.62506
1353.0883,1171.4375
535.1717,489.25006
1353.0883,1577.9688
1283.1547,767.43756
774.22296,873.6875
760.74896,616.4375
473.51776,348.75006
347.6587,284.125
379.12164,297.0
228.00635,272.5625
329.03113,273.9375
332.40814,359.59375
400.4449,399.0625
603.56903,1173.5625
1078.9904,957.5625
520.2521,640.9375
409.67706,472.06256
826.5446,690.50006
471.82257,0.6876221
880.436,715.00006
1138.2867,1280.5
905.94073,452.25006
799.56006,1632.125
2005.3817,1773.3125
731.97034,1143.5
1382.0621,769.87506
1228.8796,1564.3125
956.4591,1243.5
1220.804,807.31256
177.93823,27.9375
157.948,137.625
157.04517,179.5625
117.98828,0.34375
10.036011,0.0
23.534546,0.0
21.591919,0.0
45.270508,0.0
31.446533,10.8125
38.28589,0.0
206.29675,532.56256
466.23993,388.25006
254.65088,31.375122
7002.3716,6763.4375
4454.752,3473.25
5220.8823,7457.625
5166.7734,4418.625
4246.665,2997.25
5477.6753,3729.125
3834.331,3511.6875
3004.5442,3313.9062
3080.2856,3160.4688
3263.8633,2814.125
2162.458,2477.875
1715.0935,2132.25
2879.5513,2869.375
2709.018,1985.125
929.504,1777.0938
949.29126,1808.9375
930.9767,1088.9375
598.37683,227.125
400.3073,231.3125
559.7714,525.56256
320.91223,191.4375
450.61017,294.875
281.187,412.37506
957.4517,503.25006
887.4619,1126.75
343.09515,289.3125
270.61597,214.5
191.5459,189.3125
301.28064,180.25
222.07385,140.4375
