preds,trues
988.8395,789.125
2528.4126,1525.125
2005.0992,1202.1875
934.61914,1490.875
4401.277,5102.625
2407.8613,2252.1875
2599.8408,3202.75
1936.5261,1256.0625
1118.4712,824.0625
1695.9131,1890.6875
518.4984,742.9375
944.7234,477.625
799.28485,858.3125
1037.3127,1477.625
1615.8961,2345.0625
1522.3928,1409.875
1555.9813,1055.375
769.8651,443.8125
552.0601,516.5
679.2299,789.81256
1353.0883,1032.625
1028.1257,1168.0
1341.1719,1672.6875
772.82434,594.8125
891.16797,903.0625
533.58325,637.4375
930.3018,868.09375
1750.378,1459.125
701.9806,710.84375
654.32855,586.4063
477.17816,503.25006
492.354,530.84375
614.48346,437.875
649.44904,856.9375
469.74182,398.75
596.6046,565.46875
936.76575,1120.375
1146.6724,971.5
240.00574,185.125
200.48218,895.25
832.5063,847.84375
641.9027,396.65625
759.45233,1520.2188
705.49896,688.4375
990.86255,1241.75
1169.822,874.40625
619.50183,452.5625
456.4115,278.15637
550.99164,505.6563
482.71075,348.37506
1023.8635,781.375
341.5345,407.40625
703.767,696.8125
529.34766,554.25
399.46918,408.12506
743.5751,694.75
534.849,376.0
536.8034,704.50006
981.21826,1332.25
1215.3093,1170.0625
1574.3118,2082.25
628.1987,360.62506
704.2355,915.625
720.05566,981.3125
1353.0883,1295.9375
564.92816,384.37506
1025.8486,916.3125
1335.769,1400.0625
3120.3618,2448.2188
3242.2212,3057.0312
3457.538,3588.9688
3232.4446,5171.875
1651.6643,1558.6875
2068.3623,2433.625
1918.6016,1536.6562
1099.6898,888.3125
1291.8999,1377.0
1374.7642,1490.1875
1145.0186,1174.9375
1230.991,929.625
778.5568,942.875
1263.9707,1215.75
955.62604,1313.375
488.90558,408.12506
552.8621,503.18756
871.6221,1169.375
1079.5747,947.75
717.72394,794.0
893.3305,945.0
1012.2003,1020.4375
959.94507,453.75006
724.45764,1130.1875
716.7733,452.18756
694.3549,784.25
670.4419,840.8125
1253.698,1187.5625
862.1864,891.875
1135.9738,1290.3125
1470.7638,1546.125
943.92114,1077.8125
382.37946,386.50006
1565.533,1616.0
1308.914,1300.75
1748.4004,1638.4375
1602.4989,1925.6875
2099.1404,1989.3125
702.2344,596.87506
1558.352,1165.125
1125.1863,1004.40625
1061.3209,1091.8125
1197.9558,877.34375
428.11035,533.21875
535.115,606.2813
630.22876,566.84375
456.19214,96.40625
154.01855,17.0625
372.62195,274.96887
712.27936,255.0625
814.23975,849.4375
1367.0441,1531.4375
1326.7655,1323.875
1328.0363,1435.0
1231.6262,1490.1875
1184.0713,1141.375
875.79065,1090.375
486.61255,378.75
655.10455,698.25
288.1626,199.1875
1096.9933,1047.7188
397.12836,523.46875
273.23315,219.0625
717.42865,468.96875
632.11743,840.8125
438.21948,348.0
391.4154,455.6875
502.33478,578.00006
236.50635,239.0
223.58691,309.0
196.84668,156.5
200.8346,133.4375
373.2281,441.0
333.97437,308.9375
165.39417,46.03125
101.983154,12.562622
415.32953,256.8125
357.47528,326.375
191.8601,149.5625
419.6897,409.56256
430.1798,413.7813
291.99243,169.40637
143.47742,91.18762
212.80762,427.75
150.62817,144.75
121.90039,110.375
58.55017,81.6875
111.84656,238.3125
135.7207,142.875
97.668335,78.875
141.44214,91.5
220.96545,190.0625
128.43835,75.4375
149.59143,133.4375
73.785034,25.0625
73.588135,63.5625
79.51135,55.125122
47.967285,35.5625
88.37329,58.625
191.19763,37.6875
185.60168,60.000122
250.8435,195.00012
217.53162,121.0625
321.78955,452.18756
600.9302,706.62506
639.23285,327.0625
1648.0928,1207.125
1552.9586,1237.1875
916.7252,830.3125
998.1239,791.1875
603.60345,476.625
405.35828,224.28125
391.739,348.6875
369.57544,269.75
368.88843,255.81262
405.65643,208.1875
165.5415,116.0
341.10846,236.1875
170.9375,108.25
171.09387,183.4375
417.122,102.0
181.09021,273.25
650.1623,459.18756
298.1593,498.43756
67.39038,260.0
269.88684,269.75
706.17206,290.75
420.78796,283.75
342.2378,421.43756
355.26764,436.8125
246.85571,206.1875
296.5204,276.0625
172.56494,475.25006
132.91138,929.5625
165.56042,90.06262
418.45996,218.375
218.7854,22.34375
160.87341,85.25012
380.64996,568.9375
471.71588,1080.625
1158.3821,1762.8125
2557.4932,2719.75
2034.5085,1762.8125
2027.3346,1732.75
2010.0343,2018.625
2895.823,2997.9375
2691.623,3092.2812
2106.823,2353.9688
1598.3557,939.375
485.10455,865.28125
528.4769,457.8125
629.5029,518.625
507.56372,316.5625
338.76825,220.81262
297.59778,187.3125
261.9845,299.8125
376.34955,340.375
278.01318,464.06256
353.38257,311.6875
671.5421,696.875
590.9716,437.5
747.62164,575.87506
665.4393,675.0
564.9838,743.00006
821.05646,501.8125
277.26172,139.75
684.2147,1760.75
1822.1171,1451.0625
923.6083,988.3125
951.69946,168.09375
262.6692,0.34375
318.55823,292.875
318.47034,292.8125
302.09534,210.3125
243.81396,308.1875
537.7365,1010.0
713.385,420.75
376.91687,496.25006
528.0135,566.125
738.3889,652.06256
776.44763,594.75006
706.5553,629.75
789.2102,730.375
573.4254,682.93756
1193.251,1248.375
1254.8225,1311.9375
840.8235,534.68756
340.02582,180.9375
248.96667,223.625
434.77295,202.00012
141.16663,0.0
46.471313,0.0
24.23523,0.0
50.468872,0.0
39.290527,4.125
34.795044,1.71875
633.72644,591.65625
754.09985,763.93756
1027.2003,3516.625
1738.106,2203.1875
1305.0028,1036.5625
1679.3807,1873.25
1727.2035,1952.25
1904.501,1953.6875
1792.4324,1877.4375
2006.5833,1906.0625
1670.882,2093.4375
2172.986,2007.5
1562.5989,1469.25
1682.4263,1760.0625
2580.4229,1130.25
1122.0326,1123.9375
1692.9323,1769.125
1798.7776,1705.5
1875.0266,2091.3125
1565.4481,1439.1875
1220.3466,1585.9375
1710.6465,1402.8125
1438.4854,1510.8438
1228.2213,1062.4688
1953.2903,2457.625
2262.0977,2247.9375
2002.1819,1734.6875
1693.8151,1213.4375
1427.0132,1292.75
1695.428,2220.2812
2236.1365,2329.3125
1794.7604,1950.1562
1815.6495,1686.9688
5242.9917,4630.8125
1341.1996,988.3125
2518.133,1919.375
1143.7932,339.0
692.38226,264.8125
572.3775,497.9375
690.583,473.12506
555.6655,423.9063
516.64325,497.62506
1539.2444,2786.1875
1114.212,1503.5
2088.5579,1579.0
1719.0159,1013.5
1094.1472,979.9375
1268.6272,638.25
1316.2573,1222.5
839.1997,759.75
1909.1185,2548.875
782.4287,320.40625
678.24335,760.40625
847.6079,1592.25
3431.9858,2533.8125
2618.1714,3585.75
3429.332,4727.25
1483.6812,1393.0625
1632.9865,2770.8125
2816.4016,2487.0
2643.4626,4011.5
5324.5923,2434.125
5612.523,4851.6875
6590.0024,6222.4375
4195.586,4938.375
4301.911,3630.5625
2544.9973,2705.0625
1509.0731,2618.4375
4593.691,3454.375
5646.2056,6249.6875
5963.6665,5030.0
1916.7314,3026.625
8158.0967,7161.1875
6782.0806,4418.3438
1246.547,460.21875
747.23285,257.875
796.8448,610.87506
