preds,trues
416.89294,283.75
714.9193,645.4375
420.67798,376.75006
374.28998,378.8125
670.59467,1130.9375
754.36053,799.5625
446.57196,534.0
431.83496,379.50006
605.8082,592.00006
753.92334,659.125
698.8249,142.84375
1521.1072,839.06256
584.7123,647.875
1760.0466,1789.375
1174.8546,1184.9375
1333.5696,1350.4062
1464.487,1691.5
1417.533,1707.625
1202.4983,899.5625
912.7377,1068.6875
965.801,977.8125
1270.6937,2125.9688
2679.9907,2930.1875
2366.3489,2385.625
2165.6492,2436.6875
2440.9082,2013.4375
2403.6719,2151.5
1080.616,1686.625
1525.7461,1177.75
1103.0627,1502.8125
333.73273,249.15625
413.32104,481.5
676.20636,424.9375
587.8175,429.62506
1383.0402,1171.4375
512.19995,489.25006
1409.6746,1577.9688
1246.5623,767.43756
715.9133,873.6875
770.8214,616.4375
427.32953,348.75006
347.398,284.125
341.39136,297.0
224.64978,272.5625
314.21533,273.9375
335.58167,359.59375
403.6554,399.0625
586.05225,1173.5625
1051.2991,957.5625
486.76172,640.9375
403.13,472.06256
803.26294,690.50006
429.11432,0.6876221
852.4789,715.00006
1121.5657,1280.5
897.3711,452.25006
779.52795,1632.125
2062.27,1773.3125
657.95795,1143.5
1474.1786,769.87506
1224.1818,1564.3125
972.71655,1243.5
1180.9628,807.31256
154.14978,27.9375
147.18237,137.625
127.04956,179.5625
51.200928,0.34375
26.326782,0.0
42.7041,0.0
25.681885,0.0
18.896973,0.0
12.815186,10.8125
15.605713,0.0
182.89868,532.56256
451.09015,388.25006
204.91272,31.375122
6400.8926,6763.4375
4414.645,3473.25
5059.4995,7457.625
5111.982,4418.625
4136.214,2997.25
5426.1704,3729.125
3812.3037,3511.6875
2945.194,3313.9062
3156.6133,3160.4688
3219.8481,2814.125
2196.9646,2477.875
1739.0674,2132.25
2883.0664,2869.375
2647.864,1985.125
858.72833,1777.0938
1028.6559,1808.9375
883.345,1088.9375
471.21887,227.125
293.17126,231.3125
570.60583,525.56256
280.30212,191.4375
390.04498,294.875
266.83752,412.37506
958.29504,503.25006
825.11847,1126.75
324.44067,289.3125
281.4579,214.5
176.65259,189.3125
247.43884,180.25
224.99683,140.4375
