preds,trues
1032.2803,789.125
2670.1328,1525.125
1994.0349,1202.1875
945.5825,1490.875
4423.8784,5102.625
2340.1982,2252.1875
2655.018,3202.75
1988.9622,1256.0625
1024.2903,824.0625
1724.1309,1890.6875
486.54388,742.9375
869.9522,477.625
732.0437,858.3125
1088.673,1477.625
1657.348,2345.0625
1493.8285,1409.875
1590.9551,1055.375
778.31104,443.8125
557.6524,516.5
637.0218,789.81256
1371.2092,1032.625
1036.5823,1168.0
1409.3162,1672.6875
753.28815,594.8125
860.751,903.0625
524.7937,637.4375
895.3052,868.09375
1802.9067,1459.125
688.32336,710.84375
681.2622,586.4063
474.06976,503.25006
494.31586,530.84375
573.9578,437.875
635.1572,856.9375
483.13245,398.75
578.94183,565.46875
920.4413,1120.375
1129.2332,971.5
193.219,185.125
207.20874,895.25
826.6574,847.84375
536.5343,396.65625
726.3202,1520.2188
719.8524,688.4375
951.4451,1241.75
1103.0688,874.40625
576.2806,452.5625
432.24353,278.15637
521.8105,505.6563
464.659,348.37506
974.16504,781.375
345.315,407.40625
688.01917,696.8125
513.4236,554.25
369.58386,408.12506
729.6618,694.75
502.44446,376.0
531.71436,704.50006
955.26575,1332.25
1194.1682,1170.0625
1608.3074,2082.25
587.0101,360.62506
693.66345,915.625
714.6469,981.3125
1337.5529,1295.9375
497.09595,384.37506
1025.1394,916.3125
1327.017,1400.0625
3198.6084,2448.2188
3284.2942,3057.0312
3475.9219,3588.9688
3239.2559,5171.875
1633.2129,1558.6875
2011.8877,2433.625
1942.2623,1536.6562
956.4492,888.3125
1301.4022,1377.0
1386.1617,1490.1875
1116.1116,1174.9375
1218.9581,929.625
770.58185,942.875
1293.1924,1215.75
916.209,1313.375
449.8806,408.12506
542.10657,503.18756
867.8893,1169.375
1082.5487,947.75
663.54877,794.0
916.621,945.0
981.49255,1020.4375
918.79175,453.75006
667.6953,1130.1875
723.59644,452.18756
672.38257,784.25
666.2634,840.8125
1219.4247,1187.5625
845.16785,891.875
1120.7886,1290.3125
1510.4474,1546.125
899.7694,1077.8125
344.67896,386.50006
1604.3396,1616.0
1314.663,1300.75
1722.767,1638.4375
1576.8673,1925.6875
2159.8647,1989.3125
659.9071,596.87506
1592.4521,1165.125
1108.5095,1004.40625
1020.6703,1091.8125
1185.0332,877.34375
398.55762,533.21875
558.4414,606.2813
553.7065,566.84375
423.87238,96.40625
109.605225,17.0625
384.19012,274.96887
683.1064,255.0625
800.7225,849.4375
1406.3739,1531.4375
1306.9437,1323.875
1265.622,1435.0
1212.7869,1490.1875
1151.564,1141.375
860.5934,1090.375
491.02875,378.75
620.64307,698.25
299.54077,199.1875
1130.0793,1047.7188
384.70026,523.46875
258.44653,219.0625
801.1203,468.96875
628.54156,840.8125
438.80634,348.0
374.0807,455.6875
550.30054,578.00006
202.70447,239.0
192.94446,309.0
186.66016,156.5
207.21826,133.4375
344.33398,441.0
315.34912,308.9375
165.40027,46.03125
89.33557,12.562622
395.1634,256.8125
328.13306,326.375
166.1427,149.5625
410.32544,409.56256
423.5954,413.7813
255.93591,169.40637
141.427,91.18762
201.80786,427.75
127.70679,144.75
87.27063,110.375
62.341797,81.6875
103.52673,238.3125
127.00586,142.875
71.96167,78.875
127.45923,91.5
199.43713,190.0625
107.59119,75.4375
125.62378,133.4375
54.40515,25.0625
51.17334,63.5625
60.213135,55.125122
25.344727,35.5625
72.85083,58.625
165.83813,37.6875
166.99634,60.000122
230.14722,195.00012
201.45386,121.0625
296.61304,452.18756
573.28467,706.62506
594.4507,327.0625
1736.8113,1207.125
1574.0397,1237.1875
924.3604,830.3125
984.19666,791.1875
558.1217,476.625
379.96832,224.28125
351.74213,348.6875
357.8435,269.75
341.68616,255.81262
421.99402,208.1875
169.15881,116.0
335.49457,236.1875
142.15454,108.25
146.56421,183.4375
391.48846,102.0
166.60742,273.25
618.34204,459.18756
287.1316,498.43756
70.16809,260.0
251.01392,269.75
660.7286,290.75
398.9367,283.75
331.24316,421.43756
335.96313,436.8125
230.12366,206.1875
271.85095,276.0625
141.18384,475.25006
108.68396,929.5625
161.43262,90.06262
385.90894,218.375
201.36536,22.34375
141.54126,85.25012
363.77386,568.9375
432.5028,1080.625
1143.2666,1762.8125
2594.3154,2719.75
2027.5823,1762.8125
2010.4797,1732.75
2007.3984,2018.625
2895.0696,2997.9375
2701.4688,3092.2812
2039.7402,2353.9688
1602.3389,939.375
375.82312,865.28125
495.11908,457.8125
474.93756,518.625
484.5509,316.5625
282.1869,220.81262
312.011,187.3125
253.80762,299.8125
367.2677,340.375
244.39343,464.06256
354.39136,311.6875
639.59436,696.875
564.4684,437.5
715.25726,575.87506
632.0983,675.0
551.216,743.00006
813.2747,501.8125
254.81287,139.75
662.8329,1760.75
1883.5757,1451.0625
870.7727,988.3125
915.55994,168.09375
298.3694,0.34375
306.50793,292.875
240.20435,292.8125
291.28625,210.3125
260.6183,308.1875
529.08563,1010.0
717.3451,420.75
342.92212,496.25006
531.1198,566.125
709.54395,652.06256
716.29407,594.75006
671.20715,629.75
767.6085,730.375
548.472,682.93756
1154.8284,1248.375
1243.0588,1311.9375
794.6069,534.68756
313.516,180.9375
252.0481,223.625
410.5844,202.00012
69.43945,0.0
39.035522,0.0
45.623657,0.0
33.845093,0.0
17.076904,4.125
24.684448,1.71875
598.4208,591.65625
723.6679,763.93756
991.3711,3516.625
1763.2002,2203.1875
1208.3588,1036.5625
1700.2196,1873.25
1708.5957,1952.25
1908.9531,1953.6875
1776.1604,1877.4375
1996.9016,1906.0625
1667.397,2093.4375
2200.8867,2007.5
1551.9158,1469.25
1718.1307,1760.0625
2621.7034,1130.25
1065.3434,1123.9375
1772.396,1769.125
1798.4021,1705.5
1868.4021,2091.3125
1583.4481,1439.1875
1234.161,1585.9375
1743.9482,1402.8125
1387.0682,1510.8438
1211.1333,1062.4688
1978.3579,2457.625
2319.2148,2247.9375
1956.1244,1734.6875
1736.752,1213.4375
1499.482,1292.75
1731.262,2220.2812
2271.4365,2329.3125
1738.4152,1950.1562
1856.554,1686.9688
5501.9175,4630.8125
1206.6567,988.3125
2713.1577,1919.375
935.512,339.0
456.05884,264.8125
519.12756,497.9375
665.4341,473.12506
574.26227,423.9063
484.76624,497.62506
1644.0369,2786.1875
1100.0908,1503.5
2081.993,1579.0
1706.0963,1013.5
1076.3992,979.9375
1250.2026,638.25
1271.0574,1222.5
791.8769,759.75
1936.8936,2548.875
789.0196,320.40625
621.41736,760.40625
867.3228,1592.25
3474.9805,2533.8125
2518.9595,3585.75
3385.6199,4727.25
1518.8837,1393.0625
1713.1104,2770.8125
2867.3142,2487.0
2575.6528,4011.5
5167.5967,2434.125
5502.784,4851.6875
6311.817,6222.4375
4175.699,4938.375
4281.233,3630.5625
2534.2163,2705.0625
1559.9794,2618.4375
4592.4814,3454.375
5481.8643,6249.6875
5486.996,5030.0
1809.3625,3026.625
7950.878,7161.1875
6567.7764,4418.3438
909.1074,460.21875
620.37524,257.875
658.0364,610.87506
868.76294,551.43756
695.8576,627.25006
594.8356,350.8125
2144.54,1077.8125
1658.9529,2367.7812
5057.827,5435.6875
2696.8193,1820.125
7604.207,9130.3125
6252.1323,7778.4375
6117.4155,6945.1875
4841.9604,4741.9375
4034.0215,6599.8438
