preds,trues
260.479,153.6875
3700.0469,3538.3125
2772.5273,2256.3125
2000.1365,1713.875
4044.0361,4362.4375
2362.125,2806.4375
3988.9785,4529.5
3476.484,5487.8125
3428.164,4783.5
4158.4424,3658.5
1715.6809,1501.375
2706.686,2961.5625
1937.4246,3603.3125
2525.476,1897.0
3533.1484,2935.75
4257.4585,3520.75
2603.796,2642.8125
2263.9058,1378.375
2973.977,2584.125
2614.0166,2456.9375
2348.872,2706.5
2012.0962,1121.8125
1874.5605,2373.75
2269.2368,2080.875
1599.42,1795.0
1572.5974,1651.6875
1596.1736,1636.3125
1420.466,940.125
695.7645,672.375
1507.7096,892.5625
774.5384,660.5
498.98053,596.87506
601.52295,340.375
397.71594,380.875
312.4735,264.875
427.17194,422.8125
1040.3297,713.62506
1232.2477,1585.9375
1287.5024,1076.375
670.5207,542.56256
975.4828,789.81256
757.54663,814.25006
772.34973,747.875
1056.1052,1260.875
1107.5123,1216.25
924.6207,713.62506
1293.2234,1429.375
1269.838,1261.625
1083.7583,840.12506
386.01642,885.5625
153.40247,0.0
598.1573,397.0
190.51843,1838.3125
209.78564,303.3125
342.35754,299.125
390.42505,448.75
668.4541,237.625
723.86053,451.5
292.19055,299.8125
249.8645,222.25
193.52783,113.875
135.88391,104.8125
172.46387,205.4375
168.83936,407.50006
371.64508,464.06256
195.04004,150.87512
200.02222,157.87512
157.05432,95.0
204.24902,106.18762
407.17694,277.4375
162.06067,2.0625
178.66284,212.4375
241.91736,113.18762
415.66943,596.9375
183.74207,223.50012
167.44177,204.75012
317.49548,117.375
301.3656,266.96875
361.09753,107.625
419.09503,269.75
209.42554,252.9375
342.86694,330.56256
366.4563,321.50012
300.20312,278.875
313.5464,283.40625
317.18958,264.125
229.10425,290.0
150.79639,37.6875
75.54358,137.0
140.0122,130.625
99.65662,133.40637
107.962524,123.6875
94.6427,135.5625
127.116455,124.3125
174.96375,62.125122
190.30371,118.06262
281.12695,454.93756
213.57666,124.3125
85.010864,41.875
76.050415,66.37512
102.55432,99.25012
98.23071,29.312622
109.98157,93.625
81.223755,77.5
105.2616,68.4375
78.5603,20.53125
155.84949,131.25
84.49158,101.31262
82.19348,127.875
98.16919,136.93762
86.16138,44.0
61.128784,32.75
38.470093,32.0625
47.84497,41.125122
68.578735,50.250122
67.10449,39.0625
129.19702,104.40625
126.20618,132.75
148.43433,147.4375
144.73181,130.28125
151.95703,147.40637
167.97095,201.9375
131.90137,120.125
75.19763,51.6875
162.73328,121.5625
95.974976,113.18762
119.45068,61.500122
138.01575,89.4375
158.82434,104.4375
113.759155,163.5
132.79626,185.87512
104.5199,93.625
124.944824,94.31262
78.08301,33.500122
52.8844,155.125
56.50525,69.1875
59.940186,43.9375
49.53662,59.03125
61.171387,26.15625
52.432617,57.65625
77.809326,77.5625
78.72107,85.25012
46.775146,153.00012
115.29468,143.59387
219.84851,235.15637
29.753052,196.4375
140.8258,135.25012
245.97754,52.3125
69.8313,44.625
75.78955,51.656372
118.35156,74.75
92.2312,58.0
78.19763,62.1875
66.738525,81.0
34.22705,76.8125
260.1565,130.6875
209.79553,25.437622
104.16443,190.0625
129.67297,153.6875
74.82263,39.0625
60.131348,100.625
140.9513,219.4375
157.7362,122.93762
167.38159,192.625
344.81543,90.75
402.65503,353.62506
184.63025,173.25
165.16687,118.06262
69.67236,34.1875
43.551147,55.843872
54.175903,129.25
96.62805,204.75012
174.77417,123.0625
109.95715,109.6875
119.19922,113.18762
80.052734,143.5625
76.85242,81.0
189.12036,81.8125
74.72754,90.8125
58.491455,27.9375
54.788452,35.625
42.85852,24.03125
57.54126,50.21875
42.04004,18.125
41.506226,20.875
35.516357,20.9375
39.489014,32.0625
54.14258,41.1875
61.571655,80.3125
87.62207,48.1875
44.86438,18.125
53.491943,38.437622
1903.162,2483.5625
3093.81,3296.4375
946.45935,793.31256
1545.132,963.4375
282.16602,260.62512
1708.7776,1077.125
948.89435,1303.5625
1012.8108,653.5
1731.0532,963.875
2639.9265,2378.625
1691.4884,1591.5625
833.11444,911.4375
441.40607,422.12506
409.96643,1272.8125
661.0396,709.4375
454.51575,1014.875
795.558,603.25
1218.4381,575.53125
693.3989,731.5
938.96765,1728.5312
1295.2031,1001.625
784.789,347.375
372.97278,395.62506
334.13184,221.5
491.18524,464.06256
402.43988,534.0
544.186,498.3125
249.48547,427.00006
291.14014,880.6875
1677.6245,1239.6562
436.1173,773.0
1330.6145,1362.25
279.80957,323.62512
215.65198,610.125
314.7732,398.37506
223.92712,48.875
477.899,404.625
354.5996,1223.9062
1016.8947,831.75006
570.9378,267.68762
204.12512,605.25006
508.3307,136.25
172.10974,141.125
528.64453,976.5
1110.4165,1009.3125
890.12585,1320.3125
141.66968,0.0
53.281616,0.0
45.407715,0.0
236.58618,1052.5938
1155.5457,1062.375
823.2954,999.5
871.31866,840.12506
1008.9055,1567.0625
1170.7958,1168.6875
1018.95026,1342.0
1691.372,1685.875
675.3167,691.9375
1254.646,1012.8125
768.6143,563.5625
539.75977,961.375
871.272,997.03125
638.4074,794.0
783.78577,928.25
793.746,427.6875
681.1155,600.37506
327.4193,0.0
582.7148,982.0625
1287.1958,1247.625
1041.5684,1494.0625
898.39606,830.75
206.177,0.34375
848.9586,685.68756
459.0019,680.75
461.84686,1157.5
1041.5183,1282.625
586.94275,824.75006
991.34875,1021.875
1035.2974,1297.2812
1277.8214,1503.0938
493.3263,917.75
465.71442,373.25
517.80164,194.9375
395.28534,476.0
270.40527,153.00012
228.11206,307.50012
184.15503,180.3125
223.7655,198.4375
269.01306,442.43756
511.56757,516.1563
415.2953,582.53125
666.0439,1091.8125
724.8742,782.125
564.0734,641.56256
585.63446,604.5625
721.5402,664.0
435.7072,355.0625
433.89404,409.21875
423.22437,431.18756
618.02124,529.75
380.451,385.8125
447.1986,371.8125
455.27954,399.75
296.78467,109.375
197.61926,154.09375
153.84021,89.71875
249.72888,259.3125
193.64136,100.5625
198.92847,135.5
209.00647,203.375
195.2312,116.0
204.38184,160.34387
51.118652,6.187622
467.79462,536.75
413.08075,676.5625
484.46814,385.8125
517.01013,328.43762
339.4718,4.125
135.74939,622.68756
989.80994,1151.1875
690.2941,968.0
344.37408,198.4375
299.09387,20.1875
341.93738,371.8125
269.70154,11.15625
294.68347,317.3125
250.18396,316.5625
397.23047,632.5
471.46356,727.62506
121.4884,198.4375
127.98364,164.1875
153.5918,167.6875
95.17505,95.75
382.8103,186.93762
349.62976,384.0625
311.92346,408.875
358.0652,374.9375
469.76514,405.37506
390.88843,404.75006
302.45667,421.43756
473.48767,366.25
458.54773,371.8125
387.28308,622.4063
513.90094,428.43756
520.2303,498.3125
471.35016,360.62506
367.16473,319.37512
327.10205,283.75
336.47998,62.875
108.878784,28.59375
42.971313,23.0625
147.76648,183.68762
138.7655,37.0
4609.6333,3868.9375
2938.6572,3316.6875
3104.6482,2622.625
3171.916,4463.75
2700.5176,2618.375
1969.9707,2041.75
1903.4458,1890.0
3868.023,3799.6875
3950.7007,3960.4688
3156.7144,3146.8125
5869.1353,5759.6875
3899.5088,4747.0625
4877.991,3678.75
4134.538,3741.6875
2621.0635,2054.3125
2852.505,2709.9375
3223.7646,3415.2188
3528.4458,3085.3125
1834.7279,1747.4375
4610.856,5301.1875
6226.8296,6662.8125
5933.0537,3708.125
2775.2996,2229.75
2356.7156,2485.625
2815.7197,3985.625
2047.8384,2115.125
2516.3296,3475.375
2688.83,2456.9375
2025.1311,2424.0625
1380.105,1547.6875
2318.6113,1987.25
1114.8579,835.9375
2213.562,1633.5
1783.0986,2515.9375
1780.7795,1836.875
3065.5298,3409.625
1039.7775,529.8125
1062.3903,712.9375
2414.5835,3324.25
1573.8171,1997.0
3655.9365,3534.75
3801.209,3008.4375
1903.1294,1773.3125
2063.5498,1933.375
2161.5005,1572.0
2429.1655,2196.1875
1625.119,1332.9375
1676.1826,1051.1875
2100.495,1977.0312
2479.1172,2728.4688
3517.333,3979.3125
