preds,trues
164.68347,167.00012
138.99011,170.5
207.66833,202.625
49.442383,223.625
233.07922,138.3125
151.21313,215.875
133.89331,83.12512
160.79541,164.87512
159.55298,106.18762
818.79913,685.3125
780.26447,437.15625
631.5182,473.15625
436.9878,357.0938
747.2232,1154.375
611.58936,962.78125
1343.1482,1802.3125
498.6103,622.75
609.9872,455.6875
356.14148,363.43756
365.7359,293.50012
684.5331,1033.75
369.62836,383.0
327.30798,271.1875
347.85364,401.1875
450.31488,368.31256
400.9817,380.1875
1157.4955,1211.25
542.49786,1005.75
675.87537,1065.875
383.48218,388.56256
299.70825,192.125
338.7929,239.75
467.3695,438.9375
440.2827,321.50012
340.73938,359.25
503.9486,683.5625
741.694,475.93756
410.01263,378.8125
315.06262,170.5
268.02075,269.75
348.92792,364.125
322.26562,391.37506
589.6995,443.06256
312.71436,243.93762
353.11517,290.75
455.27698,588.50006
689.96954,963.125
485.6646,863.875
576.45306,379.46875
552.19165,489.96875
575.2816,370.75
557.5771,964.1875
638.414,378.50006
395.72302,437.875
438.93066,300.125
369.45782,455.31256
370.70618,608.8125
520.9789,443.06256
517.08093,571.87506
387.47858,329.875
419.56055,327.0625
255.20789,357.8125
411.25464,448.0
571.3642,1276.3125
515.4886,694.125
436.56506,473.875
486.3058,495.5
491.24097,1188.25
1225.4701,1092.5
1657.6571,1952.25
1412.7498,2113.6875
744.21594,985.5
2245.4739,1959.9375
822.2113,727.5625
1128.9058,1960.625
418.11218,513.03125
457.43524,508.78125
527.6211,1031.0
466.1546,460.21875
575.4078,1134.4062
313.88245,464.43756
590.01605,359.62506
470.01166,467.5625
439.07373,292.59375
458.6479,535.0313
387.96417,144.625
198.65308,184.4375
271.4016,808.6875
283.96875,406.75
541.2426,351.56256
480.4566,297.75012
539.4702,370.37506
268.95007,365.56256
378.1963,471.06256
826.2347,677.9375
393.0772,480.25006
441.0395,413.0625
308.81152,348.0625
416.04285,550.75
776.6395,559.875
308.53333,332.0
420.03033,446.625
500.11133,470.37506
358.22784,304.75012
387.73505,498.3125
340.01056,435.43756
330.65784,341.75006
233.30994,271.1875
403.24988,246.34375
301.3484,166.59375
174.35132,125.03125
198.0304,187.59375
450.65814,408.12506
548.20544,583.25
253.41821,473.875
768.1281,668.125
487.44745,606.6875
843.1117,1243.125
384.40234,443.8125
265.0813,283.75
379.27728,277.09387
346.13678,467.87506
308.29272,289.68762
323.03162,391.37506
305.8009,330.56256
664.75055,290.0625
297.6941,333.375
285.77002,203.375
227.67761,284.4375
403.44965,234.125
464.87335,218.0625
352.7506,137.625
253.50232,270.4375
379.14496,327.8125
190.32666,303.625
266.5133,241.78125
377.6842,416.15625
530.9294,555.625
418.9696,455.6875
294.97937,243.1875
242.37732,136.93762
263.9093,162.0625
312.92603,320.0625
195.36755,195.00012
218.18127,274.62512
360.53528,311.6875
125.52771,79.625
205.36609,590.5625
787.49725,705.9375
764.39044,700.3125
474.61133,433.31256
375.61987,388.56256
329.08813,320.75
581.6738,675.18756
652.1565,485.68756
626.95636,770.93756
396.69037,383.6875
331.78918,557.75
615.82434,606.625
630.9075,671.0
456.5578,614.37506
739.44037,734.5625
484.77313,583.625
745.2249,720.5625
1134.8855,993.9375
358.40906,251.21887
491.7915,695.8125
296.14978,259.25
335.38892,406.75
337.68604,384.37506
315.31494,350.87506
519.14526,410.375
438.64087,416.9063
421.32983,334.75006
410.9087,471.75
568.24994,399.8125
468.51727,775.875
535.21295,536.37506
476.68512,437.5
833.0888,593.37506
499.5432,450.375
497.1808,380.25
628.72046,566.8125
987.4783,1231.5625
692.9706,753.84375
519.00415,627.625
653.96893,732.50006
