preds,trues
314.9071,153.6875
3730.288,3538.3125
2861.146,2256.3125
2034.2207,1713.875
3964.6812,4362.4375
2403.8623,2806.4375
3962.3032,4529.5
3486.4458,5487.8125
3555.9038,4783.5
4193.258,3658.5
1765.5032,1501.375
2683.5342,2961.5625
1926.0991,3603.3125
2623.7896,1897.0
3503.2534,2935.75
4167.4297,3520.75
2667.8577,2642.8125
2265.8486,1378.375
2981.429,2584.125
2625.316,2456.9375
2407.3542,2706.5
2064.229,1121.8125
1826.5999,2373.75
2186.7966,2080.875
1563.094,1795.0
1540.4259,1651.6875
1563.2418,1636.3125
1394.8812,940.125
704.06573,672.375
1463.0283,892.5625
794.23,660.5
499.9334,596.87506
623.5694,340.375
418.87256,380.875
307.5703,264.875
429.00806,422.8125
1049.0522,713.62506
1258.4733,1585.9375
1309.9918,1076.375
724.4347,542.56256
987.6738,789.81256
813.87726,814.25006
820.77374,747.875
1078.8086,1260.875
1104.2477,1216.25
958.0881,713.62506
1299.6609,1429.375
1298.7043,1261.625
1081.2462,840.12506
419.24103,885.5625
163.32153,0.0
630.6176,397.0
226.63452,1838.3125
240.96704,303.3125
329.07507,299.125
390.66473,448.75
672.9424,237.625
763.7221,451.5
311.43665,299.8125
235.23132,222.25
207.13025,113.875
183.94226,104.8125
189.08582,205.4375
153.63342,407.50006
369.97906,464.06256
245.10974,150.87512
194.39307,157.87512
155.74329,95.0
233.18066,106.18762
443.59137,277.4375
166.47229,2.0625
189.90967,212.4375
259.75305,113.18762
422.9289,596.9375
245.42664,223.50012
171.1372,204.75012
322.52612,117.375
331.20056,266.96875
385.7472,107.625
416.8214,269.75
205.0968,252.9375
372.6678,330.56256
369.7486,321.50012
332.34058,278.875
315.14722,283.40625
330.45544,264.125
231.83533,290.0
175.44873,37.6875
85.83093,137.0
149.46057,130.625
113.947266,133.40637
123.372314,123.6875
104.73645,135.5625
135.5476,124.3125
195.62012,62.125122
216.55347,118.06262
292.7671,454.93756
243.99597,124.3125
101.41235,41.875
95.44592,66.37512
125.83301,99.25012
124.802124,29.312622
121.89697,93.625
84.401245,77.5
123.986084,68.4375
99.56726,20.53125
178.61145,131.25
101.79199,101.31262
105.5083,127.875
115.27063,136.93762
109.16553,44.0
81.11926,32.75
59.750732,32.0625
64.83838,41.125122
88.868774,50.250122
91.5022,39.0625
152.21765,104.40625
147.95276,132.75
172.2373,147.4375
166.63135,130.28125
174.17188,147.40637
188.5221,201.9375
156.94861,120.125
99.74707,51.6875
185.83118,121.5625
117.062744,113.18762
148.29797,61.500122
155.74133,89.4375
180.35962,104.4375
132.7074,163.5
149.552,185.87512
126.50183,93.625
147.81042,94.31262
99.961426,33.500122
74.656494,155.125
66.77173,69.1875
81.298706,43.9375
62.788208,59.03125
78.71167,26.15625
74.45911,57.65625
101.425415,77.5625
101.73657,85.25012
52.558716,153.00012
137.29968,143.59387
241.64429,235.15637
53.959717,196.4375
147.84668,135.25012
273.29297,52.3125
94.10266,44.625
85.225464,51.656372
135.83325,74.75
113.04736,58.0
93.05969,62.1875
74.74231,81.0
45.441162,76.8125
288.213,130.6875
231.91675,25.437622
127.57654,190.0625
144.245,153.6875
95.98059,39.0625
81.35693,100.625
166.22131,219.4375
180.34644,122.93762
189.64001,192.625
360.62305,90.75
432.2033,353.62506
200.48035,173.25
184.08655,118.06262
86.28723,34.1875
70.75183,55.843872
72.28943,129.25
113.82129,204.75012
186.79602,123.0625
118.912964,109.6875
136.68884,113.18762
96.629395,143.5625
101.43518,81.0
207.28564,81.8125
96.19885,90.8125
81.05127,27.9375
72.10083,35.625
59.757935,24.03125
83.601685,50.21875
68.00366,18.125
55.011353,20.875
53.364502,20.9375
63.338623,32.0625
77.55359,41.1875
82.94592,80.3125
110.62891,48.1875
68.76758,18.125
73.681885,38.437622
1868.2554,2483.5625
3048.6748,3296.4375
1011.24695,793.31256
1423.9994,963.4375
317.0542,260.62512
1687.2178,1077.125
1030.112,1303.5625
1002.9487,653.5
1684.0123,963.875
2576.9302,2378.625
1686.0763,1591.5625
866.45447,911.4375
410.90308,422.12506
429.6172,1272.8125
686.0325,709.4375
528.51355,1014.875
748.4034,603.25
1229.5995,575.53125
707.23553,731.5
936.83923,1728.5312
1284.7958,1001.625
814.9978,347.375
380.27423,395.62506
325.20105,221.5
530.14355,464.06256
444.7414,534.0
530.59247,498.3125
243.82336,427.00006
299.3059,880.6875
1619.5586,1239.6562
493.4519,773.0
1353.0883,1362.25
288.29565,323.62512
251.24524,610.125
342.79834,398.37506
284.94604,48.875
482.58447,404.625
381.63757,1223.9062
1035.4204,831.75006
614.3011,267.68762
189.00061,605.25006
530.23236,136.25
218.37732,141.125
553.7085,976.5
1126.9462,1009.3125
919.1582,1320.3125
167.53699,0.0
60.06836,0.0
55.63391,0.0
284.26404,1052.5938
1175.0763,1062.375
868.6749,999.5
886.3833,840.12506
1074.9047,1567.0625
1210.3829,1168.6875
1074.8235,1342.0
1609.7264,1685.875
701.7425,691.9375
1238.6439,1012.8125
781.57245,563.5625
550.56274,961.375
863.56726,997.03125
663.61835,794.0
742.3225,928.25
834.89624,427.6875
691.5866,600.37506
318.95044,0.0
622.9567,982.0625
1292.9829,1247.625
1095.1423,1494.0625
901.1651,830.75
222.7334,0.34375
883.6829,685.68756
526.702,680.75
487.3235,1157.5
1046.9608,1282.625
569.93243,824.75006
983.50006,1021.875
1059.4131,1297.2812
1267.7205,1503.0938
496.26282,917.75
464.82227,373.25
540.06464,194.9375
417.70862,476.0
284.1632,153.00012
237.43774,307.50012
195.81165,180.3125
249.95312,198.4375
286.656,442.43756
535.3161,516.1563
431.3045,582.53125
704.6884,1091.8125
760.06726,782.125
