preds,trues
188.8722,167.00012
155.91296,170.5
226.25647,202.625
66.29651,223.625
256.05164,138.3125
168.91748,215.875
155.62878,83.12512
184.35327,164.87512
173.28906,106.18762
846.8335,685.3125
801.6468,437.15625
650.68646,473.15625
459.64746,357.0938
771.5392,1154.375
614.54926,962.78125
1353.0883,1802.3125
502.17535,622.75
582.1381,455.6875
381.44592,363.43756
424.11383,293.50012
707.3553,1033.75
397.14087,383.0
333.31555,271.1875
341.09247,401.1875
462.84985,368.31256
420.93878,380.1875
1204.4681,1211.25
550.23987,1005.75
698.20184,1065.875
371.74225,388.56256
324.2782,192.125
354.8308,239.75
496.68146,438.9375
458.48352,321.50012
362.0428,359.25
503.771,683.5625
752.6161,475.93756
439.33307,378.8125
333.22632,170.5
272.74963,269.75
371.12653,364.125
351.50867,391.37506
597.3126,443.06256
309.05896,243.93762
364.14502,290.75
475.7566,588.50006
727.9136,963.125
504.48865,863.875
618.62885,379.46875
579.9108,489.96875
602.8572,370.75
572.7422,964.1875
680.216,378.50006
422.15887,437.875
452.0301,300.125
405.3473,455.31256
394.0105,608.8125
542.25,443.06256
540.802,571.87506
405.27386,329.875
435.9557,327.0625
280.56445,357.8125
445.97717,448.0
594.9008,1276.3125
532.977,694.125
461.2339,473.875
502.73462,495.5
515.5442,1188.25
1274.8126,1092.5
1614.5244,1952.25
1362.4614,2113.6875
766.6777,985.5
2169.775,1959.9375
883.08887,727.5625
1180.9126,1960.625
456.75403,513.03125
447.42163,508.78125
553.1602,1031.0
487.6125,460.21875
604.14984,1134.4062
302.88867,464.43756
615.8454,359.62506
470.69244,467.5625
482.53204,292.59375
459.7646,535.0313
403.13947,144.625
218.29358,184.4375
291.4557,808.6875
283.09155,406.75
553.665,351.56256
468.96533,297.75012
553.41724,370.37506
275.03772,365.56256
398.02734,471.06256
870.88135,677.9375
425.44098,480.25006
457.50085,413.0625
330.06482,348.0625
431.44183,550.75
827.1229,559.875
328.55908,332.0
446.9265,446.625
501.41602,470.37506
388.15686,304.75012
412.85162,498.3125
371.62787,435.43756
339.48663,341.75006
245.00037,271.1875
435.1375,246.34375
323.3766,166.59375
193.02136,125.03125
213.04993,187.59375
473.34387,408.12506
578.9864,583.25
267.2804,473.875
805.0599,668.125
498.88184,606.6875
890.64813,1243.125
412.187,443.8125
263.55945,283.75
381.61737,277.09387
386.735,467.87506
316.74304,289.68762
342.83337,391.37506
315.89685,330.56256
697.1259,290.0625
309.2832,333.375
307.1372,203.375
261.19995,284.4375
427.49408,234.125
488.9709,218.0625
381.18292,137.625
270.60413,270.4375
385.9944,327.8125
220.2649,303.625
282.0763,241.78125
402.70093,416.15625
561.1256,555.625
447.11133,455.6875
313.69153,243.1875
264.97888,136.93762
280.65112,162.0625
343.94324,320.0625
223.61316,195.00012
237.2522,274.62512
374.28357,311.6875
163.0907,79.625
224.26038,590.5625
822.42505,705.9375
807.07513,700.3125
520.23584,433.31256
388.149,388.56256
340.19904,320.75
624.95807,675.18756
696.1363,485.68756
640.2809,770.93756
398.61267,383.6875
353.62378,557.75
629.5388,606.625
669.9154,671.0
467.56042,614.37506
758.8654,734.5625
502.25513,583.625
762.4327,720.5625
1176.1104,993.9375
401.11023,251.21887
490.6443,695.8125
318.6084,259.25
353.29218,406.75
359.2567,384.37506
330.65802,350.87506
523.2781,410.375
463.40955,416.9063
437.7625,334.75006
433.10907,471.75
589.73816,399.8125
500.31006,775.875
544.9461,536.37506
494.5451,437.5
865.0563,593.37506
521.0585,450.375
503.37915,380.25
648.9204,566.8125
1025.6123,1231.5625
739.7243,753.84375
522.0786,627.625
665.7307,732.50006
