preds,trues
441.88916,283.75
764.4464,645.4375
433.80402,376.75006
395.528,378.8125
707.8718,1130.9375
786.7434,799.5625
463.7691,534.0
469.1731,379.50006
629.5095,592.00006
774.95264,659.125
720.0569,142.84375
1545.2472,839.06256
579.0428,647.875
1753.6348,1789.375
1168.5912,1184.9375
1385.8317,1350.4062
1487.0155,1691.5
1447.0872,1707.625
1172.7323,899.5625
940.345,1068.6875
986.42505,977.8125
1294.4568,2125.9688
2662.964,2930.1875
2368.2383,2385.625
2176.1606,2436.6875
2449.503,2013.4375
2373.7847,2151.5
1051.8989,1686.625
1537.7659,1177.75
1096.0818,1502.8125
347.9497,249.15625
438.96204,481.5
724.95276,424.9375
609.34314,429.62506
1444.1774,1171.4375
521.1311,489.25006
1446.9865,1577.9688
1266.06,767.43756
735.9991,873.6875
768.6439,616.4375
442.3802,348.75006
358.11713,284.125
365.6172,297.0
226.66138,272.5625
343.1949,273.9375
358.70074,359.59375
431.1488,399.0625
622.2148,1173.5625
1066.8171,957.5625
489.61926,640.9375
418.4626,472.06256
830.6535,690.50006
423.55768,0.6876221
880.33325,715.00006
1162.6304,1280.5
911.97546,452.25006
813.08954,1632.125
2038.0974,1773.3125
643.19824,1143.5
1477.9653,769.87506
1215.0685,1564.3125
951.3065,1243.5
1169.8835,807.31256
149.32288,27.9375
179.09045,137.625
120.28772,179.5625
77.74194,0.34375
30.884277,0.0
42.36487,0.0
45.087036,0.0
37.567505,0.0
28.696167,10.8125
32.70508,0.0
213.15515,532.56256
469.992,388.25006
214.41516,31.375122
6606.473,6763.4375
4405.7183,3473.25
5130.6997,7457.625
5135.263,4418.625
4076.4688,2997.25
5486.006,3729.125
3818.3354,3511.6875
2979.9321,3313.9062
3081.9314,3160.4688
3239.3696,2814.125
2223.358,2477.875
1782.6638,2132.25
2915.568,2869.375
2670.1694,1985.125
865.1603,1777.0938
1049.1375,1808.9375
915.7883,1088.9375
486.26172,227.125
305.60425,231.3125
596.40137,525.56256
285.02576,191.4375
428.07562,294.875
274.78833,412.37506
996.2991,503.25006
851.9114,1126.75
334.8764,289.3125
297.03442,214.5
181.32971,189.3125
262.5116,180.25
221.97388,140.4375
