preds,trues
1049.3646,789.125
2559.599,1525.125
1966.7603,1202.1875
930.65314,1490.875
4372.656,5102.625
2377.8079,2252.1875
2666.0645,3202.75
2003.852,1256.0625
997.0954,824.0625
1737.4177,1890.6875
436.3402,742.9375
860.4131,477.625
801.27045,858.3125
1132.5044,1477.625
1670.3506,2345.0625
1533.929,1409.875
1614.0845,1055.375
805.5779,443.8125
567.5915,516.5
659.2466,789.81256
1407.2078,1032.625
1063.2355,1168.0
1451.164,1672.6875
745.9362,594.8125
897.7821,903.0625
534.54315,637.4375
924.20374,868.09375
1764.7361,1459.125
693.5896,710.84375
700.3961,586.4063
502.89404,503.25006
501.81525,530.84375
592.83826,437.875
667.50696,856.9375
492.58008,398.75
613.2006,565.46875
952.8299,1120.375
1129.4829,971.5
180.58875,185.125
237.42859,895.25
848.0668,847.84375
560.97003,396.65625
781.89575,1520.2188
741.5677,688.4375
984.13226,1241.75
1144.8132,874.40625
591.6067,452.5625
463.55884,278.15637
561.59845,505.6563
474.91553,348.37506
1035.9191,781.375
340.0893,407.40625
736.12604,696.8125
532.0797,554.25
374.9572,408.12506
743.0681,694.75
520.7752,376.0
547.26276,704.50006
1007.5217,1332.25
1194.4045,1170.0625
1587.1207,2082.25
587.09485,360.62506
725.9926,915.625
745.39014,981.3125
1360.266,1295.9375
497.2827,384.37506
1091.7882,916.3125
1386.8547,1400.0625
3094.8542,2448.2188
3216.4731,3057.0312
3423.0127,3588.9688
3198.7053,5171.875
1716.2123,1558.6875
2014.3054,2433.625
1968.1338,1536.6562
927.7657,888.3125
1333.6671,1377.0
1414.8785,1490.1875
1137.784,1174.9375
1239.8345,929.625
796.63763,942.875
1357.887,1215.75
927.27124,1313.375
449.68304,408.12506
581.45917,503.18756
927.84534,1169.375
1075.2656,947.75
690.5316,794.0
953.69055,945.0
1017.01624,1020.4375
937.29016,453.75006
703.91693,1130.1875
754.3257,452.18756
700.4396,784.25
679.5553,840.8125
1242.3695,1187.5625
864.81104,891.875
1132.5417,1290.3125
