preds,trues
425.50507,283.75
745.18097,645.4375
417.062,376.75006
378.03467,378.8125
688.1893,1130.9375
767.02527,799.5625
444.28784,534.0
448.53058,379.50006
611.0509,592.00006
754.26337,659.125
699.1364,142.84375
1520.5363,839.06256
559.96545,647.875
1724.9827,1789.375
1145.8667,1184.9375
1364.4724,1350.4062
1465.3201,1691.5
1425.6193,1707.625
1149.6824,899.5625
914.5553,1068.6875
960.01917,977.8125
1256.1292,2125.9688
2623.1318,2930.1875
2336.063,2385.625
2146.7083,2436.6875
2421.0037,2013.4375
2348.3271,2151.5
1026.7882,1686.625
1513.4504,1177.75
1066.699,1502.8125
314.56958,249.15625
405.94543,481.5
695.967,424.9375
584.1634,429.62506
1417.5979,1171.4375
499.667,489.25006
1422.7974,1577.9688
1241.9679,767.43756
714.4635,873.6875
746.49664,616.4375
421.33698,348.75006
337.74115,284.125
344.18024,297.0
207.91223,272.5625
323.55103,273.9375
341.34064,359.59375
414.52045,399.0625
603.8221,1173.5625
1044.4883,957.5625
471.601,640.9375
399.5642,472.06256
810.6291,690.50006
406.69385,0.6876221
857.8528,715.00006
1139.4536,1280.5
890.29474,452.25006
789.1862,1632.125
2008.544,1773.3125
622.9682,1143.5
1454.0831,769.87506
1192.1725,1564.3125
929.6974,1243.5
1143.8412,807.31256
125.5094,27.9375
154.1637,137.625
101.78711,179.5625
58.666138,0.34375
14.412476,0.0
27.777222,0.0
32.723022,0.0
26.211548,0.0
18.193726,10.8125
22.073853,0.0
200.82434,532.56256
455.5398,388.25006
200.9331,31.375122
6541.003,6763.4375
4389.24,3473.25
5128.484,7457.625
5149.379,4418.625
4089.5342,2997.25
5525.6147,3729.125
3843.4692,3511.6875
2960.165,3313.9062
3058.996,3160.4688
3234.4194,2814.125
2199.0828,2477.875
1755.2073,2132.25
2889.0442,2869.375
2638.7422,1985.125
829.3645,1777.0938
1016.26636,1808.9375
885.97363,1088.9375
453.95508,227.125
270.38416,231.3125
566.50287,525.56256
260.4568,191.4375
403.32635,294.875
253.23352,412.37506
973.9368,503.25006
830.5254,1126.75
316.8391,289.3125
278.7572,214.5
166.43713,189.3125
246.47607,180.25
206.02075,140.4375
