preds,trues
1017.53784,789.125
2538.9504,1525.125
1942.3882,1202.1875
898.71716,1490.875
4357.419,5102.625
2351.9065,2252.1875
2625.6296,3202.75
1979.9102,1256.0625
969.48804,824.0625
1710.1497,1890.6875
406.63715,742.9375
824.843,477.625
766.52216,858.3125
1105.0232,1477.625
1644.3176,2345.0625
1507.6975,1409.875
1589.1382,1055.375
779.56433,443.8125
544.6732,516.5
636.9366,789.81256
1384.0863,1032.625
1037.1492,1168.0
1425.6606,1672.6875
724.0902,594.8125
873.80554,903.0625
514.3351,637.4375
901.4581,868.09375
1735.9257,1459.125
669.73596,710.84375
675.1445,586.4063
480.92358,503.25006
483.15613,530.84375
572.60254,437.875
645.8239,856.9375
473.03796,398.75
592.4831,565.46875
930.7106,1120.375
1106.8815,971.5
161.46216,185.125
217.18921,895.25
829.22754,847.84375
540.8334,396.65625
758.0258,1520.2188
721.4854,688.4375
959.246,1241.75
1119.6931,874.40625
569.6601,452.5625
439.21344,278.15637
540.9117,505.6563
455.2666,348.37506
1010.3501,781.375
321.39648,407.40625
713.20416,696.8125
513.31573,554.25
357.14014,408.12506
723.53845,694.75
502.28735,376.0
528.2313,704.50006
984.6881,1332.25
1171.117,1170.0625
1561.546,2082.25
566.06506,360.62506
702.5766,915.625
724.26495,981.3125
1331.1803,1295.9375
472.94446,384.37506
1062.8657,916.3125
1361.7118,1400.0625
3050.7131,2448.2188
3175.5173,3057.0312
3401.0303,3588.9688
3150.8828,5171.875
1695.9999,1558.6875
1987.728,2433.625
1946.2607,1536.6562
896.7433,888.3125
1275.8406,1377.0
1383.6029,1490.1875
1105.6907,1174.9375
1206.0988,929.625
767.72345,942.875
1321.9592,1215.75
901.95306,1313.375
425.47717,408.12506
555.95667,503.18756
903.87744,1169.375
1052.8572,947.75
666.1033,794.0
929.56604,945.0
994.1194,1020.4375
914.2534,453.75006
680.97864,1130.1875
732.23846,452.18756
677.67206,784.25
658.4556,840.8125
1216.6195,1187.5625
842.39136,891.875
1107.0874,1290.3125
1496.2339,1546.125
885.2928,1077.8125
322.76672,386.50006
1626.1837,1616.0
1290.0999,1300.75
1702.2278,1638.4375
1596.2593,1925.6875
2085.1003,1989.3125
636.3602,596.87506
1574.5067,1165.125
1070.8206,1004.40625
1020.64154,1091.8125
1179.0956,877.34375
396.919,533.21875
559.15137,606.2813
574.9498,566.84375
419.95654,96.40625
82.43701,17.0625
387.9851,274.96887
728.22546,255.0625
824.00635,849.4375
1403.9496,1531.4375
1311.6627,1323.875
1250.5967,1435.0
1191.9618,1490.1875
1117.7568,1141.375
822.4417,1090.375
437.4057,378.75
614.4258,698.25
273.35718,199.1875
1075.8943,1047.7188
329.24512,523.46875
240.32239,219.0625
793.7819,468.96875
611.3321,840.8125
394.1449,348.0
365.07385,455.6875
549.8145,578.00006
180.91565,239.0
185.193,309.0
195.67834,156.5
197.7102,133.4375
360.71295,441.0
321.82886,308.9375
157.32996,46.03125
85.23523,12.562622
416.11798,256.8125
333.73328,326.375
163.41248,149.5625
425.73303,409.56256
419.01428,413.7813
246.7638,169.40637
138.49744,91.18762
211.00684,427.75
122.524414,144.75
91.27173,110.375
53.39148,81.6875
107.58569,238.3125
125.57178,142.875
73.148926,78.875
130.4624,91.5
211.93762,190.0625
106.90735,75.4375
133.27063,133.4375
55.921143,25.0625
52.993774,63.5625
64.05798,55.125122
27.03711,35.5625
82.494385,58.625
186.43591,37.6875
179.10168,60.000122
245.01782,195.00012
205.60571,121.0625
318.0326,452.18756
599.6123,706.62506
613.504,327.0625
1637.4243,1207.125
1535.1034,1237.1875
888.726,830.3125
965.0853,791.1875
551.993,476.625
378.16376,224.28125
364.0725,348.6875
359.95087,269.75
358.86804,255.81262
429.38208,208.1875
158.19165,116.0
349.25623,236.1875
137.00195,108.25
157.70312,183.4375
422.15076,102.0
158.47559,273.25
653.52606,459.18756
288.39062,498.43756
59.647583,260.0
258.35437,269.75
698.56555,290.75
403.5359,283.75
323.41248,421.43756
347.52594,436.8125
232.23462,206.1875
276.61255,276.0625
138.42871,475.25006
110.4032,929.5625
154.42188,90.06262
404.1043,218.375
201.22266,22.34375
132.43323,85.25012
379.18896,568.9375
449.8094,1080.625
1128.3569,1762.8125
2494.8687,2719.75
2008.8555,1762.8125
1978.4137,1732.75
1986.5691,2018.625
2823.587,2997.9375
2695.9368,3092.2812
2062.1982,2353.9688
1623.1115,939.375
326.56482,865.28125
474.20972,457.8125
510.9234,518.625
488.35175,316.5625
276.40662,220.81262
305.2058,187.3125
268.72253,299.8125
369.21265,340.375
236.98523,464.06256
338.39117,311.6875
657.0732,696.875
567.23804,437.5
717.1862,575.87506
642.6043,675.0
557.41266,743.00006
818.62463,501.8125
231.62158,139.75
700.9217,1760.75
1832.9869,1451.0625
830.5995,988.3125
936.17346,168.09375
286.3291,0.34375
291.71887,292.875
231.30579,292.8125
292.8943,210.3125
260.45544,308.1875
567.58,1010.0
714.2618,420.75
334.065,496.25006
540.7641,566.125
708.04846,652.06256
725.5583,594.75006
674.4853,629.75
782.137,730.375
548.034,682.93756
1161.3131,1248.375
1225.1003,1311.9375
780.85065,534.68756
306.437,180.9375
256.42334,223.625
415.74646,202.00012
60.610107,0.0
37.190186,0.0
33.782227,0.0
38.12915,0.0
23.024536,4.125
28.667358,1.71875
654.3229,591.65625
738.41797,763.93756
974.57007,3516.625
1753.0414,2203.1875
1177.5453,1036.5625
1663.3601,1873.25
1683.82,1952.25
1874.7865,1953.6875
1759.4816,1877.4375
2011.5405,1906.0625
1682.2505,2093.4375
2167.0254,2007.5
1543.2728,1469.25
1714.2278,1760.0625
2573.106,1130.25
1055.7267,1123.9375
1768.4666,1769.125
1817.8104,1705.5
1859.1053,2091.3125
1573.9664,1439.1875
1228.213,1585.9375
1727.758,1402.8125
1409.5503,1510.8438
1201.792,1062.4688
1959.7919,2457.625
2294.7808,2247.9375
1930.8914,1734.6875
1739.5228,1213.4375
1496.6415,1292.75
1714.5337,2220.2812
2235.5186,2329.3125
1752.3198,1950.1562
1849.0813,1686.9688
5407.03,4630.8125
1178.9865,988.3125
2627.3848,1919.375
935.06287,339.0
485.5249,264.8125
521.17395,497.9375
692.7705,473.12506
582.97186,423.9063
480.96863,497.62506
1583.5635,2786.1875
1062.8232,1503.5
2008.1799,1579.0
1705.7388,1013.5
1059.291,979.9375
1240.7031,638.25
1310.8959,1222.5
796.6322,759.75
1938.7942,2548.875
765.321,320.40625
648.4815,760.40625
875.98804,1592.25
3462.5771,2533.8125
2643.2407,3585.75
3362.3164,4727.25
1538.9414,1393.0625
1684.002,2770.8125
2748.9172,2487.0
2559.0786,4011.5
5228.144,2434.125
5493.953,4851.6875
6508.6245,6222.4375
4073.355,4938.375
4245.4785,3630.5625
2451.5508,2705.0625
1543.4292,2618.4375
4575.1167,3454.375
5469.044,6249.6875
5504.5522,5030.0
1853.124,3026.625
8338.826,7161.1875
6662.5635,4418.3438
876.5211,460.21875
592.1641,257.875
724.3699,610.87506
863.3912,551.43756
647.20154,627.25006
645.6431,350.8125
2124.617,1077.8125
1678.7172,2367.7812
5123.5938,5435.6875
2854.688,1820.125
7583.2197,9130.3125
6052.052,7778.4375
6036.1704,6945.1875
4765.112,4741.9375
3954.6099,6599.8438
5160.3555,6216.875
4062.2715,6218.8125
5234.127,4470.0625
2504.8943,1758.625
2641.043,1725.0625
3720.3809,3371.875
3999.5347,2156.375
3515.4146,4177.875
1441.9359,1372.8125
1890.197,2008.8125
1373.5723,2550.9062
1212.7877,1176.375
1123.2031,754.125
1005.89124,1118.3125
132.3888,414.62506
1916.1694,2062.0
1432.0837,1390.25
2853.5166,1859.9375
1560.6774,2225.9375
3557.7954,3172.375
5368.641,6582.7188
6594.5366,7199.625
1926.7292,3346.0625
3819.3945,2695.9375
5087.5684,7569.375
6151.7573,4035.5
4294.4585,5033.4062
3868.0908,2034.3438
1897.6338,2182.875
4749.5884,3731.9375
3644.914,3664.125
2672.8567,3722.8125
1860.227,1195.1875
737.4142,590.5625
249.68481,499.0625
351.25757,382.9375
1407.0074,849.25
2589.814,1151.875
4191.8647,3439.6875
1873.3868,1976.6875
