preds,trues
242.14111,153.6875
3784.17,3538.3125
2768.2363,2256.3125
1991.0654,1713.875
4018.9443,4362.4375
2380.9583,2806.4375
3982.6157,4529.5
3450.436,5487.8125
3487.746,4783.5
4165.321,3658.5
1720.8726,1501.375
2625.21,2961.5625
1918.6831,3603.3125
2519.7148,1897.0
3515.8398,2935.75
4192.1846,3520.75
2614.7595,2642.8125
2234.9023,1378.375
2943.4907,2584.125
2634.982,2456.9375
2353.8716,2706.5
2005.8834,1121.8125
1853.5347,2373.75
2252.134,2080.875
1593.4775,1795.0
1579.2542,1651.6875
1614.2023,1636.3125
1452.7778,940.125
654.78625,672.375
1523.0555,892.5625
786.21313,660.5
492.35022,596.87506
613.58453,340.375
404.36035,380.875
313.81946,264.875
441.8083,422.8125
1059.2839,713.62506
1226.3456,1585.9375
1290.0938,1076.375
669.14886,542.56256
984.3685,789.81256
752.3149,814.25006
772.1304,747.875
1050.783,1260.875
1100.1902,1216.25
919.6126,713.62506
1317.9878,1429.375
1268.7391,1261.625
1062.4442,840.12506
367.19153,885.5625
117.64856,0.0
624.10516,397.0
155.64209,1838.3125
196.82422,303.3125
356.00952,299.125
406.96564,448.75
650.9145,237.625
725.0633,451.5
280.01587,299.8125
240.34412,222.25
160.59363,113.875
120.747925,104.8125
168.95227,205.4375
170.54468,407.50006
360.70496,464.06256
188.61023,150.87512
202.40588,157.87512
146.09534,95.0
207.72925,106.18762
432.60272,277.4375
138.36682,2.0625
177.46484,212.4375
266.71423,113.18762
391.323,596.9375
167.6748,223.50012
167.76318,204.75012
328.6631,117.375
304.84424,266.96875
373.62415,107.625
437.5832,269.75
200.0326,252.9375
367.2284,330.56256
367.12518,321.50012
312.95703,278.875
318.25085,283.40625
331.55933,264.125
221.23694,290.0
144.46704,37.6875
69.5957,137.0
144.82068,130.625
93.246826,133.40637
106.02075,123.6875
93.57092,135.5625
125.575806,124.3125
181.35815,62.125122
195.98767,118.06262
288.3623,454.93756
217.77295,124.3125
91.21594,41.875
83.7937,66.37512
102.76404,99.25012
101.43164,29.312622
111.20569,93.625
80.43005,77.5
110.63745,68.4375
80.81506,20.53125
168.86292,131.25
83.977905,101.31262
89.98694,127.875
104.65552,136.93762
91.89343,44.0
63.197998,32.75
37.284668,32.0625
51.056396,41.125122
74.25,50.250122
75.09253,39.0625
141.31213,104.40625
135.32007,132.75
157.39758,147.4375
151.7102,130.28125
159.75183,147.40637
173.75647,201.9375
134.50562,120.125
78.78491,51.6875
176.8053,121.5625
97.55371,113.18762
130.71985,61.500122
147.18933,89.4375
166.94812,104.4375
118.68591,163.5
134.85059,185.87512
110.541626,93.625
132.52429,94.31262
80.884766,33.500122
54.007935,155.125
48.344604,69.1875
57.619385,43.9375
46.868774,59.03125
63.042725,26.15625
54.642334,57.65625
85.18518,77.5625
86.85889,85.25012
40.887817,153.00012
119.01941,143.59387
232.62402,235.15637
26.871216,196.4375
142.01831,135.25012
253.90149,52.3125
66.79492,44.625
74.97742,51.656372
119.40552,74.75
98.52319,58.0
74.67798,62.1875
65.38208,81.0
31.849854,76.8125
282.9762,130.6875
217.37073,25.437622
106.47449,190.0625
133.7461,153.6875
75.72705,39.0625
66.0614,100.625
149.59595,219.4375
169.42041,122.93762
180.62805,192.625
361.4118,90.75
421.85376,353.62506
184.21472,173.25
173.04626,118.06262
68.40283,34.1875
47.888184,55.843872
48.73816,129.25
102.64917,204.75012
186.2992,123.0625
109.96777,109.6875
127.86243,113.18762
83.79663,143.5625
82.91394,81.0
199.85864,81.8125
65.621216,90.8125
54.387695,27.9375
58.311523,35.625
42.169678,24.03125
63.90149,50.21875
48.683105,18.125
46.976807,20.875
38.39026,20.9375
45.373413,32.0625
63.143066,41.1875
68.77942,80.3125
96.9458,48.1875
50.598022,18.125
59.48108,38.437622
1825.753,2483.5625
3041.8213,3296.4375
877.8918,793.31256
1494.3811,963.4375
215.68408,260.62512
1733.5974,1077.125
942.6726,1303.5625
1014.71875,653.5
1713.9893,963.875
2608.3635,2378.625
1679.8854,1591.5625
813.0502,911.4375
426.98627,422.12506
396.52478,1272.8125
629.2131,709.4375
444.8208,1014.875
772.49207,603.25
1228.9772,575.53125
711.0572,731.5
953.58044,1728.5312
1309.1232,1001.625
780.95526,347.375
384.09204,395.62506
318.78906,221.5
507.52716,464.06256
420.93494,534.0
556.8312,498.3125
250.34521,427.00006
298.8717,880.6875
1622.566,1239.6562
398.30023,773.0
1350.5056,1362.25
244.53333,323.62512
204.73938,610.125
317.3684,398.37506
216.91272,48.875
493.60034,404.625
339.3897,1223.9062
1025.2991,831.75006
591.7106,267.68762
181.50757,605.25006
518.57794,136.25
165.27747,141.125
560.1352,976.5
1114.442,1009.3125
877.85486,1320.3125
121.405396,0.0
42.54358,0.0
44.424805,0.0
231.86816,1052.5938
1154.0559,1062.375
825.70306,999.5
866.6033,840.12506
1025.295,1567.0625
1137.4637,1168.6875
990.56433,1342.0
1651.2692,1685.875
651.22046,691.9375
1236.6782,1012.8125
758.27203,563.5625
506.17902,961.375
855.9667,997.03125
636.74506,794.0
763.052,928.25
818.54803,427.6875
704.2487,600.37506
307.65857,0.0
602.0509,982.0625
1327.97,1247.625
1048.234,1494.0625
896.74,830.75
143.63586,0.34375
869.52295,685.68756
456.63586,680.75
452.05634,1157.5
1038.286,1282.625
544.6482,824.75006
952.214,1021.875
1024.2656,1297.2812
1227.5438,1503.0938
457.99457,917.75
441.5122,373.25
524.9621,194.9375
388.64026,476.0
256.08484,153.00012
212.37598,307.50012
188.89954,180.3125
227.52539,198.4375
281.3142,442.43756
540.8101,516.1563
417.44183,582.53125
682.73944,1091.8125
722.85565,782.125
567.0048,641.56256
588.55066,604.5625
733.54016,664.0
425.98743,355.0625
436.9735,409.21875
414.84985,431.18756
637.7822,529.75
385.75995,385.8125
455.59845,371.8125
458.59717,399.75
293.85938,109.375
197.27588,154.09375
151.41235,89.71875
250.8888,259.3125
192.40564,100.5625
207.07385,135.5
210.51477,203.375
203.05212,116.0
209.29651,160.34387
37.589233,6.187622
498.3266,536.75
421.95508,676.5625
488.34222,385.8125
527.2882,328.43762
338.94934,4.125
114.38208,622.68756
1018.4734,1151.1875
695.58545,968.0
327.54993,198.4375
289.25305,20.1875
350.03876,371.8125
266.9663,11.15625
296.67676,317.3125
263.32007,316.5625
417.0058,632.5
486.79694,727.62506
107.740234,198.4375
129.82153,164.1875
165.06018,167.6875
86.964966,95.75
405.88177,186.93762
365.75818,384.0625
312.43665,408.875
366.22095,374.9375
488.5686,405.37506
392.72888,404.75006
306.59912,421.43756
491.03906,366.25
477.19965,371.8125
387.39935,622.4063
521.9691,428.43756
527.9492,498.3125
476.04706,360.62506
368.09485,319.37512
331.47736,283.75
337.0263,62.875
96.105835,28.59375
43.345947,23.0625
155.06555,183.68762
142.31555,37.0
4558.688,3868.9375
2920.423,3316.6875
3026.0364,2622.625
3158.7092,4463.75
2715.7905,2618.375
1970.5784,2041.75
1895.3367,1890.0
3844.309,3799.6875
3958.3335,3960.4688
3138.3623,3146.8125
5933.954,5759.6875
3892.4077,4747.0625
4883.7646,3678.75
4095.0493,3741.6875
2614.5527,2054.3125
2823.981,2709.9375
3176.6763,3415.2188
3514.629,3085.3125
1847.428,1747.4375
4574.6973,5301.1875
6268.1484,6662.8125
5846.2334,3708.125
2778.9587,2229.75
2334.2915,2485.625
2793.5088,3985.625
2040.8663,2115.125
2510.189,3475.375
2711.994,2456.9375
2017.1873,2424.0625
1340.9655,1547.6875
2267.0366,1987.25
1094.3937,835.9375
2190.4307,1633.5
1864.413,2515.9375
1776.6857,1836.875
2987.8994,3409.625
987.8776,529.8125
942.4769,712.9375
2363.0103,3324.25
1594.4873,1997.0
3761.225,3534.75
3808.3403,3008.4375
1922.6023,1773.3125
2032.449,1933.375
2141.3591,1572.0
2405.1782,2196.1875
1649.2098,1332.9375
1705.894,1051.1875
2071.9558,1977.0312
2454.8833,2728.4688
3513.526,3979.3125
