preds,trues
169.90002,167.00012
140.78442,170.5
216.1626,202.625
40.94751,223.625
249.32556,138.3125
155.00928,215.875
138.63672,83.12512
171.78992,164.87512
161.9148,106.18762
845.12524,685.3125
783.36066,437.15625
630.19946,473.15625
449.07147,357.0938
775.23126,1154.375
589.75116,962.78125
1355.3503,1802.3125
481.48846,622.75
599.6148,455.6875
331.59955,363.43756
364.69415,293.50012
697.73267,1033.75
352.63654,383.0
328.5271,271.1875
350.46283,401.1875
456.6455,368.31256
394.46222,380.1875
1187.844,1211.25
534.21277,1005.75
694.47217,1065.875
367.9792,388.56256
287.17725,192.125
336.27045,239.75
476.8459,438.9375
444.4734,321.50012
342.25085,359.25
522.51215,683.5625
750.8545,475.93756
397.64795,378.8125
314.11365,170.5
266.56653,269.75
357.0876,364.125
326.38794,391.37506
612.95,443.06256
310.3109,243.93762
359.6328,290.75
472.6494,588.50006
715.40015,963.125
474.97644,863.875
586.5388,379.46875
567.61804,489.96875
595.11255,370.75
551.3839,964.1875
650.6457,378.50006
395.13904,437.875
451.7,300.125
372.55658,455.31256
374.16528,608.8125
527.1931,443.06256
526.582,571.87506
403.44684,329.875
433.9272,327.0625
258.92236,357.8125
423.8473,448.0
586.40234,1276.3125
507.3955,694.125
426.62823,473.875
499.9048,495.5
487.1079,1188.25
1227.0149,1092.5
1602.9036,1952.25
1380.8275,2113.6875
737.95966,985.5
2168.229,1959.9375
763.2074,727.5625
1103.6738,1960.625
430.45837,513.03125
467.57855,508.78125
552.8665,1031.0
469.8708,460.21875
604.626,1134.4062
296.9712,464.43756
603.03876,359.62506
446.18164,467.5625
430.6341,292.59375
457.72668,535.0313
386.98566,144.625
196.6593,184.4375
274.7854,808.6875
279.25513,406.75
557.1314,351.56256
482.24982,297.75012
551.7574,370.37506
261.8192,365.56256
394.51373,471.06256
862.7785,677.9375
391.28375,480.25006
446.51978,413.0625
312.9784,348.0625
433.9897,550.75
806.2435,559.875
289.92883,332.0
435.7306,446.625
512.87195,470.37506
361.0818,304.75012
385.84204,498.3125
343.0633,435.43756
336.97797,341.75006
225.94946,271.1875
421.6657,246.34375
310.46338,166.59375
170.49194,125.03125
197.79443,187.59375
473.01184,408.12506
571.2043,583.25
242.52527,473.875
807.6726,668.125
494.58557,606.6875
857.3567,1243.125
389.89075,443.8125
264.5608,283.75
385.19415,277.09387
349.91187,467.87506
303.76733,289.68762
320.1294,391.37506
306.135,330.56256
700.2542,290.0625
290.51416,333.375
276.5232,203.375
224.62036,284.4375
427.78662,234.125
481.05237,218.0625
368.0608,137.625
268.7223,270.4375
392.87598,327.8125
194.00928,303.625
278.2621,241.78125
396.85974,416.15625
553.79846,555.625
422.67627,455.6875
290.36145,243.1875
247.09119,136.93762
265.84363,162.0625
317.6112,320.0625
190.37659,195.00012
230.58777,274.62512
375.85547,311.6875
125.87219,79.625
220.1283,590.5625
823.919,705.9375
767.5565,700.3125
478.47784,433.31256
385.92572,388.56256
331.38092,320.75
604.7781,675.18756
667.97766,485.68756
640.43,770.93756
386.37048,383.6875
331.61694,557.75
631.6878,606.625
640.15356,671.0
447.52142,614.37506
753.92334,734.5625
486.93127,583.625
759.1368,720.5625
1136.2422,993.9375
347.4007,251.21887
510.92224,695.8125
292.76294,259.25
342.04364,406.75
338.086,384.37506
319.60205,350.87506
529.2624,410.375
445.20435,416.9063
425.88605,334.75006
421.13513,471.75
585.39136,399.8125
483.62854,775.875
544.22144,536.37506
475.77222,437.5
856.3893,593.37506
501.5653,450.375
499.0099,380.25
642.6361,566.8125
998.04456,1231.5625
700.1401,753.84375
515.9496,627.625
669.605,732.50006
