preds,trues
265.41833,153.6875
3807.6494,3538.3125
2805.8647,2256.3125
2015.1516,1713.875
4032.8262,4362.4375
2400.2498,2806.4375
3997.0024,4529.5
3450.4858,5487.8125
3491.8423,4783.5
4173.4585,3658.5
1743.3629,1501.375
2648.4292,2961.5625
1941.0798,3603.3125
2542.5806,1897.0
3522.1045,2935.75
4198.667,3520.75
2645.519,2642.8125
2261.849,1378.375
2975.1562,2584.125
2660.698,2456.9375
2380.96,2706.5
2033.4395,1121.8125
1881.8916,2373.75
2276.4001,2080.875
1617.909,1795.0
1606.8092,1651.6875
1641.4132,1636.3125
1478.0177,940.125
681.5886,672.375
1548.4553,892.5625
812.0677,660.5
519.11926,596.87506
638.7157,340.375
427.01886,380.875
334.09473,264.875
459.72723,422.8125
1083.1099,713.62506
1250.7876,1585.9375
1333.1443,1076.375
691.6617,542.56256
1006.5233,789.81256
771.6025,814.25006
793.96936,747.875
1076.0554,1260.875
1124.2275,1216.25
945.6011,713.62506
1355.3534,1429.375
1309.8082,1261.625
1085.9297,840.12506
389.8391,885.5625
138.8877,0.0
646.3613,397.0
174.76721,1838.3125
217.03406,303.3125
377.55243,299.125
425.96088,448.75
669.13666,237.625
745.96173,451.5
296.55347,299.8125
257.30554,222.25
175.59436,113.875
135.20276,104.8125
184.46387,205.4375
184.22742,407.50006
376.3391,464.06256
203.98901,150.87512
217.23315,157.87512
158.7981,95.0
221.56763,106.18762
448.98444,277.4375
151.9696,2.0625
192.32007,212.4375
281.2401,113.18762
407.44928,596.9375
184.72949,223.50012
184.62341,204.75012
345.1292,117.375
320.18115,266.96875
391.4193,107.625
455.32635,269.75
214.23352,252.9375
383.55035,330.56256
381.90485,321.50012
328.04724,278.875
333.3758,283.40625
346.48553,264.125
235.16003,290.0
158.62329,37.6875
82.74255,137.0
157.92932,130.625
105.31836,133.40637
118.65088,123.6875
106.23486,135.5625
137.65955,124.3125
194.22583,62.125122
209.03882,118.06262
301.97888,454.93756
231.42322,124.3125
104.44165,41.875
96.42578,66.37512
114.55017,99.25012
114.01184,29.312622
123.637085,93.625
91.997314,77.5
122.68811,68.4375
92.27637,20.53125
181.24622,131.25
95.2417,101.31262
101.92578,127.875
116.60925,136.93762
103.3656,44.0
74.83777,32.75
48.59973,32.0625
62.137817,41.125122
85.56384,50.250122
86.540405,39.0625
