preds,trues
183.23499,167.00012
153.99927,170.5
229.79639,202.625
52.97705,223.625
263.31165,138.3125
167.77979,215.875
151.55249,83.12512
185.14209,164.87512
174.86877,106.18762
867.6665,685.3125
804.31836,437.15625
650.98706,473.15625
468.3676,357.0938
796.1576,1154.375
608.36176,962.78125
1378.2854,1802.3125
501.74603,622.75
619.9945,455.6875
350.29645,363.43756
384.04852,293.50012
718.38666,1033.75
372.81647,383.0
349.16833,271.1875
369.26312,401.1875
474.0064,368.31256
411.61237,380.1875
1212.7319,1211.25
551.8515,1005.75
716.41473,1065.875
385.40564,388.56256
303.9453,192.125
353.46393,239.75
495.60956,438.9375
462.71838,321.50012
361.1377,359.25
541.23895,683.5625
769.82837,475.93756
415.04034,378.8125
331.79797,170.5
282.70386,269.75
373.34485,364.125
342.61847,391.37506
632.2743,443.06256
326.02222,243.93762
376.46173,290.75
489.45642,588.50006
734.32446,963.125
492.0481,863.875
606.7896,379.46875
587.1005,489.96875
613.88275,370.75
569.8428,964.1875
671.7371,378.50006
415.1228,437.875
472.16724,300.125
391.34497,455.31256
391.62335,608.8125
546.1933,443.06256
545.52295,571.87506
422.13025,329.875
451.93347,327.0625
275.77625,357.8125
441.91144,448.0
605.15106,1276.3125
526.3458,694.125
445.87207,473.875
518.6799,495.5
504.74286,1188.25
1251.2905,1092.5
1628.9669,1952.25
1402.305,2113.6875
761.3109,985.5
2196.8008,1959.9375
783.0047,727.5625
1131.2244,1960.625
451.23328,513.03125
486.58807,508.78125
570.8591,1031.0
488.19037,460.21875
625.8989,1134.4062
315.29602,464.43756
624.22327,359.62506
463.54193,467.5625
448.69507,292.59375
476.04163,535.0313
404.6889,144.625
212.9591,184.4375
291.739,808.6875
294.28076,406.75
575.63245,351.56256
499.01886,297.75012
569.27185,370.37506
277.02246,365.56256
411.79193,471.06256
883.2142,677.9375
408.76025,480.25006
465.22406,413.0625
329.93372,348.0625
450.98212,550.75
826.48785,559.875
306.8396,332.0
455.89038,446.625
530.62213,470.37506
378.06665,304.75012
403.50323,498.3125
360.74683,435.43756
354.3142,341.75006
241.93738,271.1875
439.39258,246.34375
327.27466,166.59375
186.24951,125.03125
212.89404,187.59375
490.17548,408.12506
588.42847,583.25
257.56274,473.875
828.58325,668.125
510.4936,606.6875
878.11957,1243.125
407.823,443.8125
282.3203,283.75
402.2713,277.09387
367.20776,467.87506
320.39917,289.68762
337.86145,391.37506
322.96155,330.56256
719.8758,290.0625
305.9757,333.375
293.0443,203.375
240.87744,284.4375
445.515,234.125
497.64447,218.0625
385.52753,137.625
285.0691,270.4375
408.92334,327.8125
209.04346,303.625
293.61475,241.78125
413.25043,416.15625
571.1676,555.625
439.40308,455.6875
306.5028,243.1875
263.29614,136.93762
280.8988,162.0625
333.32886,320.0625
206.44312,195.00012
247.02673,274.62512
392.34375,311.6875
140.13794,79.625
235.33008,590.5625
843.12396,705.9375
786.5208,700.3125
497.71265,433.31256
403.86957,388.56256
347.37848,320.75
623.34125,675.18756
688.2082,485.68756
661.68604,770.93756
405.09454,383.6875
349.88684,557.75
650.0867,606.625
658.82153,671.0
466.08038,614.37506
774.9843,734.5625
505.51105,583.625
780.1518,720.5625
1159.7207,993.9375
366.7588,251.21887
532.16223,695.8125
310.9209,259.25
360.67334,406.75
356.23798,384.37506
337.39972,350.87506
547.2551,410.375
461.7599,416.9063
443.15826,334.75006
438.3593,471.75
603.78406,399.8125
501.5639,775.875
562.8292,536.37506
494.17603,437.5
877.3478,593.37506
519.749,450.375
517.7955,380.25
662.56384,566.8125
1020.20636,1231.5625
721.09735,753.84375
536.9139,627.625
689.8695,732.50006
