preds,trues
211.21924,153.6875
94.315796,0.0
312.537,267.68762
339.42914,178.5625
127.264404,71.28125
82.645874,0.0
114.15454,69.12512
797.7624,507.4375
325.51733,218.75012
159.44519,240.375
181.63452,383.6875
184.69849,95.6875
75.47107,29.250122
57.197266,41.875
82.92651,37.0
94.23804,93.625
174.12354,204.0
445.1953,396.28125
330.4781,302.96875
231.97705,83.875
235.08142,285.37512
224.98499,155.125
156.76941,127.125
358.11572,236.1875
642.49646,537.43756
415.3368,606.6875
390.64325,481.5
401.35864,308.9375
127.01355,100.625
228.00513,160.00012
363.85657,206.87512
520.7522,408.1875
298.81396,299.125
102.980835,111.8125
152.17432,48.1875
42.443237,0.0
1688.2688,4191.8125
1798.6289,50.250122
143.68005,81.0625
118.32056,103.4375
87.392334,51.6875
45.645996,27.1875
128.47888,68.4375
111.82593,40.500122
88.454834,44.625
54.664917,1.375
61.62561,3.437622
65.85144,20.1875
31.6781,0.0
31.693481,0.0
92.3656,51.6875
109.090454,9.6875
90.00952,18.8125
37.44165,2.40625
111.033325,39.875
95.94739,83.9375
87.81006,44.625
62.31665,9.75
34.4657,0.0
31.791138,1.0
29.698486,0.0
32.722412,0.0
31.040527,0.0
31.574951,0.0
30.382812,0.0
29.30835,0.0
28.941772,0.0
29.055298,0.0
29.068604,0.0
29.070679,0.0
36.20996,0.0
29.109375,0.0
29.453125,0.0
29.088257,0.0
29.069336,0.0
28.972168,0.0
29.079102,0.0
71.82019,72.31262
45.41931,28.625
95.05066,113.875
170.48218,153.00012
220.875,90.06262
118.46277,103.375
117.490845,95.6875
142.37659,55.125122
65.30737,0.0
35.758545,0.125
34.996338,0.0
35.253906,0.0
33.76599,0.0
33.439453,0.0
36.973877,0.0
36.97705,7.59375
35.384766,6.9375
39.616455,5.000122
41.056274,5.1875
44.100098,38.718872
143.82031,203.8125
105.59656,69.56262
53.739014,95.50012
200.45142,255.0625
220.73279,267.0
132.83667,71.21875
44.639526,7.625
43.770996,11.125
76.733154,54.4375
55.61902,18.125
84.94336,25.125
57.903442,19.5
47.762695,19.562622
52.047974,18.125
72.57788,45.375122
125.83154,108.25
126.010254,96.4375
298.9049,220.81262
330.65564,212.4375
154.06628,60.75
184.42957,155.8125
345.01593,263.4375
297.02966,396.9375
529.15826,612.25006
508.6093,378.8125
452.1089,287.9375
249.7915,202.00012
241.46582,285.8125
249.48828,189.375
190.98706,95.75
84.07666,74.75
54.447388,0.0
40.430298,0.0
452.68518,317.9375
526.5664,747.125
433.66077,507.375
560.1778,778.1875
909.78674,343.125
651.12256,268.375
622.0525,548.625
634.9191,726.90625
670.51886,561.87506
682.09357,873.0
1289.3073,1397.2812
582.74884,282.34375
222.22241,318.81262
243.03601,3.125
83.95972,0.0
48.12915,0.0
66.816895,11.125
86.416626,89.375
71.40796,0.0
34.11145,0.0
35.27307,0.0
29.33142,0.0
28.523682,0.0
29.272583,0.0
28.91626,0.0
30.60144,0.0
32.746704,0.0
28.933105,0.0
29.031616,0.0
28.94983,0.0
28.979614,0.0
29.274902,0.0
28.664062,0.0
28.961548,0.0
29.049316,0.0
29.062866,0.18762207
29.076782,0.0
29.071045,0.0
29.07019,0.0
29.07019,0.0
29.072021,0.0
29.068604,0.0
29.070557,0.0
29.073608,0.0
29.068604,0.0
29.068604,0.0
29.092896,0.0
29.117065,0.0
29.089111,0.0
29.089844,0.0
29.113403,0.0
29.07129,0.0
29.092407,0.0
29.091064,0.0
29.069214,0.625
29.090942,0.0
29.061768,0.0
29.067383,0.0
29.065674,0.0
29.06482,0.0
29.067627,0.0
29.067627,0.0
29.076904,0.0
29.069336,0.0
29.068604,0.0
29.101562,0.0
29.07483,0.0
29.068604,0.0
29.069214,0.0
29.07727,0.0
29.076538,0.0
29.055664,0.0
29.070068,0.0
29.069946,0.0
29.069214,0.0
29.069946,0.0
29.069336,0.0
29.068604,0.0
29.068604,0.0
29.068604,0.0
29.068604,0.0
29.069336,0.0
29.221802,0.0
29.027466,0.0
29.031372,0.0
29.032104,0.0
29.04309,0.0
29.108032,0.0
28.95227,0.0
29.0354,0.0
29.068604,0.0
29.068481,0.0
29.068604,0.0
29.068604,0.0
29.068604,0.0
29.068604,0.0
29.070923,0.0
29.069702,0.0
29.068604,0.0
29.068604,0.0
29.062988,0.0
29.071655,0.0
29.07312,0.0
29.070435,0.0
29.069702,0.0
29.073608,0.0
29.075806,0.0
29.069702,0.0
29.070312,0.0
29.070557,0.0
29.070679,0.0
29.092651,0.0
29.117554,0.0
29.088135,0.0
29.089844,0.0
29.113647,0.0
29.069946,0.0
29.091797,0.0
29.091309,0.0
29.070435,0.0
29.052368,0.0
29.072876,0.0
29.075073,0.0
29.0708,0.0
29.069824,0.0
29.070923,0.0
29.084839,0.0625
29.080688,0.0
29.084229,0.0
29.075684,0.0
29.07544,0.0
29.082397,0.0
29.069946,0.0
29.07544,0.0
29.083618,0.0
29.082764,0.0
29.093994,0.0
29.07019,0.0
29.076782,0.0
29.063843,0.0
29.0719,0.0
29.0802,0.0
29.0542,0.0
29.06482,0.0
29.068481,0.0
29.068481,0.0
29.068604,0.0
29.069214,0.0
29.068604,0.0
29.068481,0.0
29.068481,0.0
29.068481,0.0
29.068481,0.0
29.068481,0.21875
29.080566,0.0
29.075317,0.0
29.103027,0.0
29.06372,0.0
29.067993,0.0
29.061646,0.0
29.066772,0.0
29.083008,0.0
29.04419,0.0
29.06189,0.0
29.069214,0.0
29.068481,0.0
29.068481,0.0
29.068481,0.0
29.068481,0.0
29.068481,0.0
29.068481,0.0
29.068481,0.0
29.068481,0.0
29.068481,0.0
29.070679,0.0
29.070068,0.0
29.068604,0.6876221
29.092041,0.0
29.060913,0.0
29.067871,0.0
29.066162,0.0
29.06482,0.0
28.996582,0.0
29.085083,0.0
29.101562,0.0
29.078003,0.0
29.054321,0.0
29.081787,0.0
29.137207,0.0
29.079712,0.0
29.07129,0.0
29.070923,0.0
29.084839,0.0
29.070923,0.0
29.068604,0.0
29.071045,0.0
29.068726,0.0
29.563232,0.0
29.071655,0.0
29.080322,0.0
29.076782,0.0
29.072021,0.0
29.065796,0.0
29.073242,0.0
29.072021,0.0
29.069336,0.0
29.069336,0.0
29.070679,0.0
29.07129,0.0
29.06958,0.0
29.069824,0.0
29.069336,0.0
29.069946,0.0
29.068481,0.0
29.069824,0.0
29.068604,0.0
29.069336,0.0
29.068604,0.0
29.068604,0.0
29.068604,0.0
29.068604,0.0
29.069214,0.0
29.218018,0.0
29.02832,0.0
29.033325,0.0
29.033936,0.0
29.04419,0.0
29.105835,0.0
28.956055,0.0
29.038208,0.0
29.069336,0.0
29.070557,0.0
29.069702,0.0
29.069702,0.0
29.070312,0.0
29.069824,0.0
29.069946,0.0
29.045654,0.0
29.073242,0.0
29.075684,0.0
29.07129,0.0
29.069214,0.0
29.070068,0.0
29.086548,0.0
31.147095,0.0
29.071411,0.0
29.608032,0.0
29.08789,0.0
29.09253,0.0
29.057617,0.0
29.054688,0.0
29.071411,0.0
29.064575,0.0
29.070068,0.0
29.068604,0.0
29.090332,0.0
29.059937,0.0
29.070312,0.0
29.054565,0.0
29.054688,0.0
29.102417,0.0
29.060913,0.0
29.058472,0.0
29.069336,0.0
29.069336,0.0
29.069336,0.0
29.068604,0.0
29.068604,0.0
29.068604,0.0
29.068604,0.0
29.068481,0.0
29.069214,0.0
29.069946,0.0
29.069946,0.0
29.069702,0.0
29.068604,0.0
29.068481,0.0
29.068481,0.0
32.266968,0.0
29.073608,0.0
29.122314,0.0
29.097412,0.0
29.091309,0.0
31.06311,0.0
29.044922,0.0
29.11145,0.0
29.087158,0.0
29.082397,0.0
29.052979,0.0
29.052612,0.0
29.07544,0.0
29.068604,0.0
29.068481,0.0
29.068481,0.0
29.068481,0.0
29.068481,0.0
