preds,trues
1111.2949,789.125
2610.3613,1525.125
1995.9065,1202.1875
946.7109,1490.875
4350.167,5102.625
2374.5215,2252.1875
2647.1387,3202.75
2009.7915,1256.0625
1021.748,824.0625
1730.4338,1890.6875
637.1314,742.9375
986.18384,477.625
848.37085,858.3125
1153.2192,1477.625
1649.1827,2345.0625
1474.1775,1409.875
1631.0618,1055.375
846.0978,443.8125
564.58875,516.5
640.4921,789.81256
1330.2269,1032.625
1116.417,1168.0
1385.9806,1672.6875
773.10187,594.8125
866.46313,903.0625
507.922,637.4375
956.9149,868.09375
1761.9302,1459.125
696.3021,710.84375
728.2904,586.4063
461.66772,503.25006
476.15778,530.84375
566.7279,437.875
658.07404,856.9375
454.0374,398.75
566.6606,565.46875
972.1919,1120.375
1122.9165,971.5
161.04333,185.125
206.53418,895.25
885.86096,847.84375
497.41437,396.65625
789.86487,1520.2188
747.92316,688.4375
977.1209,1241.75
1154.7804,874.40625
564.5089,452.5625
424.05847,278.15637
532.72266,505.6563
444.6942,348.37506
1091.5007,781.375
316.4928,407.40625
686.2312,696.8125
495.3935,554.25
341.84497,408.12506
710.49854,694.75
477.0999,376.0
522.5136,704.50006
1024.7311,1332.25
1187.6685,1170.0625
1600.3333,2082.25
584.9312,360.62506
688.48456,915.625
720.67957,981.3125
1301.4847,1295.9375
503.0337,384.37506
1150.2896,916.3125
1280.5294,1400.0625
3114.3042,2448.2188
3226.2666,3057.0312
3402.414,3588.9688
3184.8457,5171.875
1584.3528,1558.6875
2084.6138,2433.625
2007.2515,1536.6562
1007.93176,888.3125
1284.5499,1377.0
1273.3203,1490.1875
1165.3663,1174.9375
1185.7687,929.625
877.0779,942.875
1284.6165,1215.75
988.7034,1313.375
413.55377,408.12506
584.4918,503.18756
967.4527,1169.375
1118.0073,947.75
672.91223,794.0
988.9071,945.0
1028.3331,1020.4375
916.15045,453.75006
693.02856,1130.1875
748.0302,452.18756
697.26245,784.25
662.9966,840.8125
1238.7444,1187.5625
875.69806,891.875
1143.248,1290.3125
1503.9371,1546.125
929.548,1077.8125
310.98462,386.50006
1660.4639,1616.0
1266.7124,1300.75
1730.5548,1638.4375
1596.7742,1925.6875
2181.934,1989.3125
654.66174,596.87506
1599.7898,1165.125
1135.9148,1004.40625
1113.953,1091.8125
1207.0819,877.34375
384.09143,533.21875
554.4557,606.2813
588.7274,566.84375
412.33575,96.40625
95.74963,17.0625
385.4328,274.96887
733.7056,255.0625
801.6931,849.4375
1394.3977,1531.4375
1254.591,1323.875
1236.9141,1435.0
1167.5447,1490.1875
1124.3577,1141.375
812.60406,1090.375
431.6432,378.75
646.5642,698.25
263.43213,199.1875
1093.5391,1047.7188
388.06183,523.46875
246.18079,219.0625
763.9409,468.96875
654.3179,840.8125
410.252,348.0
346.17645,455.6875
544.6716,578.00006
175.55908,239.0
177.48401,309.0
189.35413,156.5
193.2135,133.4375
337.23682,441.0
302.5791,308.9375
150.08789,46.03125
82.50366,12.562622
392.5036,256.8125
312.8694,326.375
152.75269,149.5625
403.4624,409.56256
393.74615,413.7813
232.05737,169.40637
129.67834,91.18762
202.01001,427.75
118.44397,144.75
88.22717,110.375
57.123657,81.6875
103.84851,238.3125
119.71692,142.875
69.88098,78.875
124.33313,91.5
195.6853,190.0625
100.68274,75.4375
124.72717,133.4375
54.99048,25.0625
52.47888,63.5625
62.611084,55.125122
28.434692,35.5625
77.88318,58.625
170.89343,37.6875
166.35535,60.000122
225.99121,195.00012
190.29968,121.0625
291.57837,452.18756
573.3927,706.62506
582.3828,327.0625
1656.5831,1207.125
1534.2817,1237.1875
883.52826,830.3125
973.96204,791.1875
538.7251,476.625
371.01117,224.28125
356.91174,348.6875
363.06604,269.75
346.11414,255.81262
400.60602,208.1875
153.02649,116.0
321.8214,236.1875
133.88464,108.25
149.52405,183.4375
398.19147,102.0
153.20508,273.25
641.8119,459.18756
273.19067,498.43756
58.461914,260.0
242.36084,269.75
688.68,290.75
372.6234,283.75
307.4408,421.43756
327.11255,436.8125
218.00269,206.1875
258.27368,276.0625
134.73035,475.25006
106.37488,929.5625
143.0011,90.06262
372.70532,218.375
189.20349,22.34375
129.18811,85.25012
358.14685,568.9375
427.63885,1080.625
1146.8182,1762.8125
2566.75,2719.75
2058.186,1762.8125
2056.393,1732.75
2058.9033,2018.625
2867.5461,2997.9375
2717.622,3092.2812
2084.1167,2353.9688
1595.7115,939.375
385.05988,865.28125
528.05505,457.8125
508.8412,518.625
481.05774,316.5625
213.48962,220.81262
269.58325,187.3125
236.11694,299.8125
348.84387,340.375
223.78491,464.06256
321.75024,311.6875
630.6669,696.875
529.92926,437.5
704.77216,575.87506
632.55994,675.0
541.9312,743.00006
843.8262,501.8125
225.07642,139.75
698.30786,1760.75
1864.979,1451.0625
832.24,988.3125
933.6069,168.09375
280.5055,0.34375
291.84326,292.875
227.62683,292.8125
298.33105,210.3125
243.76855,308.1875
553.32733,1010.0
690.56885,420.75
315.14026,496.25006
512.04895,566.125
720.7198,652.06256
689.6123,594.75006
678.47064,629.75
803.0419,730.375
523.27875,682.93756
1186.5658,1248.375
1226.8198,1311.9375
804.0832,534.68756
294.0072,180.9375
251.68811,223.625
404.8485,202.00012
62.149414,0.0
41.735962,0.0
42.473877,0.0
40.178345,0.0
25.223633,4.125
29.507568,1.71875
625.1193,591.65625
704.712,763.93756
975.96765,3516.625
1737.4678,2203.1875
1111.4933,1036.5625
1701.5664,1873.25
1683.3762,1952.25
1923.1001,1953.6875
1782.7399,1877.4375
2071.6245,1906.0625
1696.2147,2093.4375
2240.8713,2007.5
1536.8655,1469.25
1726.5864,1760.0625
2604.8071,1130.25
1133.5836,1123.9375
1744.1777,1769.125
1810.2948,1705.5
1893.7756,2091.3125
1560.7545,1439.1875
1224.823,1585.9375
1715.8545,1402.8125
1394.7369,1510.8438
1227.1953,1062.4688
2023.4469,2457.625
2341.655,2247.9375
1989.5369,1734.6875
1752.372,1213.4375
1484.1431,1292.75
1729.7832,2220.2812
2267.0527,2329.3125
1757.6383,1950.1562
1868.5657,1686.9688
5368.1543,4630.8125
1142.102,988.3125
2669.8125,1919.375
966.6592,339.0
620.9996,264.8125
663.48267,497.9375
764.44806,473.12506
597.9132,423.9063
407.659,497.62506
1613.7007,2786.1875
1104.4221,1503.5
2112.969,1579.0
1750.378,1013.5
1086.8304,979.9375
1240.3743,638.25
1278.9983,1222.5
817.3794,759.75
2009.2866,2548.875
863.54254,320.40625
605.1885,760.40625
969.24744,1592.25
3431.2085,2533.8125
2627.584,3585.75
3393.4282,4727.25
1476.6149,1393.0625
1745.988,2770.8125
2819.9272,2487.0
2579.8286,4011.5
5196.9463,2434.125
5409.695,4851.6875
6371.344,6222.4375
4101.202,4938.375
4233.3643,3630.5625
2505.5894,2705.0625
1505.1472,2618.4375
4591.6465,3454.375
5379.69,6249.6875
5394.114,5030.0
1797.897,3026.625
8249.77,7161.1875
6604.726,4418.3438
899.2637,460.21875
764.78345,257.875
812.8748,610.87506
936.0663,551.43756
758.4688,627.25006
703.42456,350.8125
2161.6187,1077.8125
1721.7638,2367.7812
5035.841,5435.6875
2785.254,1820.125
7771.1587,9130.3125
6186.794,7778.4375
6115.1484,6945.1875
4798.7427,4741.9375
3987.4785,6599.8438
5190.0396,6216.875
4069.1587,6218.8125
5231.0537,4470.0625
2476.8938,1758.625
2701.355,1725.0625
3716.8984,3371.875
4033.713,2156.375
3459.1426,4177.875
1292.3845,1372.8125
1880.9045,2008.8125
1362.2976,2550.9062
1205.829,1176.375
1150.2566,754.125
1077.8982,1118.3125
145.91174,414.62506
1970.8052,2062.0
1415.5046,1390.25
2924.586,1859.9375
1568.4692,2225.9375
3587.3857,3172.375
5327.7524,6582.7188
6650.4653,7199.625
1868.8867,3346.0625
3825.9575,2695.9375
5026.7646,7569.375
6165.7344,4035.5
4248.26,5033.4062
3912.505,2034.3438
1831.0762,2182.875
4665.5156,3731.9375
3628.895,3664.125
2689.687,3722.8125
1829.3331,1195.1875
889.8512,590.5625
253.01953,499.0625
429.4453,382.9375
1411.8705,849.25
2633.5977,1151.875
4163.8613,3439.6875
1860.9474,1976.6875
2786.6196,2358.375
4267.449,4009.4375
4248.186,1901.875
5551.9746,5523.4375
3852.6553,2968.5625
1257.5222,1399.3125
715.1235,381.62506
295.39417,95.6875
514.0958,99.9375
390.84625,298.25
641.96594,456.37506
876.7289,967.3125
1358.402,1300.0625
1260.6378,1028.875
1230.4713,2361.1875
1544.5306,2085.0625
2571.6968,2215.0625
2420.1826,2458.375
3206.817,3007.75
2615.7358,2886.8125
2417.0056,2631.6875
1393.2579,980.625
1127.1956,895.375
913.2423,324.25
1120.0197,1260.9375
1098.9159,1063.8125
1993.0127,1197.3125
1616.9078,1873.25
2032.278,1685.875
1140.9967,1309.875
656.5942,606.00006
978.7081,831.0625
139.98633,0.0
442.64014,464.8125
571.45874,405.37506
327.18408,340.375
255.557,220.125
253.16833,269.0625
316.05444,330.3125
303.69006,285.125
249.68713,232.68762
105.8302,155.78125
56.882935,0.0
155.39978,139.00012
77.68555,130.625
180.16736,286.50012
138.93701,156.5
254.4176,295.62512
237.62305,200.15637
47.588745,5.5
25.98291,0.0
28.773193,0.0
30.86792,0.0
21.39087,0.5
257.77832,4010.125
7878.5127,8366.25
10828.897,10621.249
9818.443,10177.374
13310.415,11843.125
10088.559,11678.124
9696.448,8013.25
6717.9,6237.625
10281.253,11541.125
10592.152,11991.937
9870.889,10481.4375
7190.075,5590.5
4162.914,4071.625
3919.0815,3231.75
7369.48,9172.187
2870.5024,4912.5
3910.545,3861.9375
6095.207,5084.5
3536.69,3882.875
2869.752,3562.0625
7315.5454,8088.7812
1813.2148,2898.0
1738.318,1541.9375
3634.8433,4075.0625
2215.5737,3417.3125
3480.5273,3765.5
4012.6118,4510.5625
8947.667,9620.999
5296.184,3418.75
8375.732,8098.5625
5341.0327,4049.25
6608.134,5661.8125
5620.714,4931.75
1543.22,1564.2812
1552.6315,1372.75
2344.7292,2643.5625
1963.5347,2165.4375
1883.0392,2579.9375
3606.6328,0.0
5038.729,4839.8125
4001.5898,4219.4688
3673.3818,3575.6562
3587.5112,2816.2188
2146.375,4784.5938
2228.6233,1966.5625
1262.5338,1440.1875
831.5826,722.6875
8075.365,10021.499
6740.065,5698.5625
3925.624,1499.25
2571.0522,2786.9062
7016.213,3830.7812
1148.9613,1122.5
2555.186,4307.125
1195.956,1309.875
6030.0786,8197.0625
7582.2427,8431.1875
7919.4873,6984.3125
5624.981,10544.375
9299.594,9897.187
13093.628,12430.375
5722.8696,6012.9375
1908.1388,1908.9375
1091.4543,1057.2188
2547.5273,1845.3125
2697.2603,4121.1875
5580.3833,7330.375
6694.9146,5976.7812
6081.6333,4608.9375
3147.695,3784.3125
4820.129,3273.0
2378.4214,3859.4375
7264.2114,5461.25
5642.1533,8162.125
8291.13,7221.3125
5823.1865,4963.2188
6912.2256,7095.4375
4424.815,3641.0
4711.3145,5478.0
3460.0332,1865.5625
2477.3867,2208.75
3669.8672,4791.5625
6399.7026,7615.5625
6283.12,5875.0625
4944.079,4660.1875
5386.7666,4837.0
5345.9316,5072.5625
4334.0225,4060.4375
1979.8633,1799.875
523.35974,2117.9375
951.5189,788.43756
771.0046,550.75
971.7687,547.25
1125.861,806.5625
2512.1357,1995.5625
2613.917,2322.0
1442.5354,1288.1875
1481.4425,2217.875
2661.3865,3042.6875
1747.8052,1236.5
1832.5444,2058.5
2302.5044,2825.25
1533.616,1753.0625
1681.0946,1546.8125
1241.6562,993.9375
2289.234,2309.4375
1978.85,1983.0
1730.358,1619.5
2120.4443,2350.6875
2549.0493,1914.5
2454.296,2511.125
609.1431,329.125
1329.7954,1471.3125
982.53076,852.75
501.9419,188.6875
329.35907,227.125
250.13708,269.5
268.03992,484.37506
147.75903,234.81262
1386.5236,1695.0
3412.98,3809.5
5274.3833,2619.75
430.60028,160.75
277.54114,68.4375
1934.8329,1835.5625
1532.2284,1834.125
1353.4742,1450.375
1511.3148,1499.3125
2053.5767,1447.5625
1791.4773,1760.4062
1428.4104,1694.2812
2094.503,2048.0
2033.9844,1871.5312
