preds,trues
161.18018,167.00012
134.03369,170.5
202.00085,202.625
41.918335,223.625
230.41248,138.3125
146.26001,215.875
130.41528,83.12512
161.32251,164.87512
152.89966,106.18762
891.24445,685.3125
780.2592,437.15625
651.87354,473.15625
422.51953,357.0938
796.01447,1154.375
622.3526,962.78125
1327.7776,1802.3125
465.24347,622.75
604.2475,455.6875
317.5819,363.43756
347.0108,293.50012
690.7937,1033.75
333.27502,383.0
320.3573,271.1875
329.3551,401.1875
428.84985,368.31256
381.6778,380.1875
1211.517,1211.25
525.9468,1005.75
662.2222,1065.875
350.49652,388.56256
273.8069,192.125
316.19507,239.75
465.67712,438.9375
423.14655,321.50012
316.58496,359.25
489.60663,683.5625
746.6727,475.93756
379.24054,378.8125
298.7046,170.5
259.03564,269.75
338.83716,364.125
308.1859,391.37506
609.79553,443.06256
288.57166,243.93762
338.50427,290.75
446.4828,588.50006
698.6712,963.125
450.05377,863.875
565.10547,379.46875
532.4048,489.96875
583.3066,370.75
534.74396,964.1875
646.6103,378.50006
374.68115,437.875
427.3913,300.125
354.72913,455.31256
366.36072,608.8125
506.56415,443.06256
499.56195,571.87506
374.04346,329.875
420.22797,327.0625
242.37646,357.8125
399.1338,448.0
575.1477,1276.3125
484.9048,694.125
406.52057,473.875
468.02716,495.5
472.39618,1188.25
1234.1328,1092.5
1635.9734,1952.25
1319.9546,2113.6875
759.6597,985.5
2250.1123,1959.9375
700.4198,727.5625
1147.8914,1960.625
399.34998,513.03125
445.42072,508.78125
539.5908,1031.0
440.53003,460.21875
586.75903,1134.4062
289.68127,464.43756
567.9189,359.62506
425.58875,467.5625
397.2262,292.59375
442.03046,535.0313
360.59747,144.625
186.4956,184.4375
258.42688,808.6875
265.91394,406.75
547.5927,351.56256
462.94275,297.75012
528.09924,370.37506
250.10266,365.56256
369.89642,471.06256
874.4459,677.9375
365.02972,480.25006
420.7641,413.0625
293.75757,348.0625
405.73053,550.75
793.2627,559.875
273.60925,332.0
414.76294,446.625
492.57233,470.37506
342.47424,304.75012
364.92944,498.3125
334.62585,435.43756
316.03943,341.75006
213.58972,271.1875
399.8706,246.34375
292.0017,166.59375
162.52917,125.03125
187.97375,187.59375
446.72754,408.12506
537.7711,583.25
227.90149,473.875
783.84827,668.125
474.33215,606.6875
838.5135,1243.125
363.59827,443.8125
256.02673,283.75
366.1969,277.09387
335.65576,467.87506
295.42603,289.68762
301.32727,391.37506
288.05078,330.56256
676.0636,290.0625
272.51794,333.375
264.03406,203.375
215.93127,284.4375
407.87048,234.125
455.4453,218.0625
351.37274,137.625
254.3263,270.4375
375.1634,327.8125
180.98901,303.625
260.46936,241.78125
375.2511,416.15625
524.8645,555.625
397.24664,455.6875
275.89746,243.1875
235.18396,136.93762
252.28857,162.0625
303.3933,320.0625
185.7771,195.00012
217.09717,274.62512
348.7467,311.6875
116.76721,79.625
204.45715,590.5625
813.0634,705.9375
753.9891,700.3125
447.2119,433.31256
359.3947,388.56256
320.10242,320.75
582.3698,675.18756
674.1728,485.68756
630.14746,770.93756
371.09595,383.6875
312.5719,557.75
611.3532,606.625
615.0947,671.0
431.6034,614.37506
747.663,734.5625
465.7561,583.625
752.7972,720.5625
1163.7269,993.9375
330.1739,251.21887
494.41492,695.8125
284.8213,259.25
323.83105,406.75
317.21436,384.37506
300.9641,350.87506
500.93353,410.375
417.56635,416.9063
402.19128,334.75006
400.7849,471.75
557.91425,399.8125
463.1562,775.875
523.3352,536.37506
463.46582,437.5
851.1107,593.37506
483.64893,450.375
486.28217,380.25
634.2348,566.8125
1030.0834,1231.5625
683.1564,753.84375
518.1925,627.625
653.5377,732.50006
