preds,trues
424.24323,283.75
741.0559,645.4375
426.10468,376.75006
384.8261,378.8125
681.837,1130.9375
765.842,799.5625
452.0816,534.0
448.3628,379.50006
613.82556,592.00006
754.38464,659.125
695.312,142.84375
1537.5022,839.06256
572.0847,647.875
1748.0149,1789.375
1166.2058,1184.9375
1354.4115,1350.4062
1470.5955,1691.5
1424.1095,1707.625
1174.6572,899.5625
936.2267,1068.6875
975.3351,977.8125
1291.0736,2125.9688
2638.8223,2930.1875
2388.163,2385.625
2210.7627,2436.6875
2464.4766,2013.4375
2412.2856,2151.5
1064.61,1686.625
1534.0594,1177.75
1097.1592,1502.8125
365.1057,249.15625
446.28094,481.5
716.3314,424.9375
609.93207,429.62506
1420.497,1171.4375
519.97614,489.25006
1430.8774,1577.9688
1272.5093,767.43756
718.3523,873.6875
747.04236,616.4375
440.46277,348.75006
354.12567,284.125
362.93164,297.0
224.80298,272.5625
342.21466,273.9375
353.6469,359.59375
421.35645,399.0625
600.1414,1173.5625
1054.0336,957.5625
478.3266,640.9375
406.91815,472.06256
811.86163,690.50006
420.60724,0.6876221
857.9269,715.00006
1162.3413,1280.5
900.7743,452.25006
785.82605,1632.125
2094.9707,1773.3125
644.183,1143.5
1468.5553,769.87506
1227.3801,1564.3125
951.2285,1243.5
1173.626,807.31256
146.91614,27.9375
172.40247,137.625
116.98657,179.5625
54.310913,0.34375
10.246216,0.0
34.414917,0.0
25.192993,0.0
2.3013916,0.0
0.0,10.8125
0.0,0.0
185.66455,532.56256
451.6491,388.25006
189.86389,31.375122
6242.8105,6763.4375
4431.3496,3473.25
4942.198,7457.625
4989.265,4418.625
4047.1,2997.25
5415.869,3729.125
3796.0483,3511.6875
2808.9836,3313.9062
3162.8262,3160.4688
3351.7324,2814.125
2181.6707,2477.875
1775.5864,2132.25
2843.566,2869.375
2594.1084,1985.125
877.9533,1777.0938
1049.7749,1808.9375
886.88586,1088.9375
478.1059,227.125
316.36035,231.3125
600.18,525.56256
291.00195,191.4375
404.08307,294.875
267.93103,412.37506
982.9294,503.25006
840.3897,1126.75
333.23615,289.3125
291.10107,214.5
179.59839,189.3125
255.26929,180.25
220.0586,140.4375
