preds,trues
1089.2953,789.125
2591.4795,1525.125
1992.3059,1202.1875
929.0145,1490.875
4379.4346,5102.625
2356.18,2252.1875
2642.0444,3202.75
1998.6425,1256.0625
1018.3202,824.0625
1728.9713,1890.6875
527.8863,742.9375
860.7175,477.625
818.93915,858.3125
1134.6138,1477.625
1642.3003,2345.0625
1496.6952,1409.875
1606.9978,1055.375
811.51764,443.8125
564.00354,516.5
632.9221,789.81256
1388.7058,1032.625
1059.6582,1168.0
1433.3776,1672.6875
748.6107,594.8125
883.7314,903.0625
523.37976,637.4375
917.74725,868.09375
1774.2609,1459.125
685.1862,710.84375
684.2028,586.4063
495.1361,503.25006
495.122,530.84375
577.65295,437.875
652.1757,856.9375
483.51624,398.75
599.2873,565.46875
935.4888,1120.375
1126.0278,971.5
173.39551,185.125
212.74976,895.25
834.2792,847.84375
552.68463,396.65625
750.54736,1520.2188
737.0852,688.4375
968.8256,1241.75
1130.3594,874.40625
580.14056,452.5625
446.1137,278.15637
544.94,505.6563
459.66632,348.37506
1019.797,781.375
338.13422,407.40625
714.6956,696.8125
515.8827,554.25
363.12854,408.12506
723.6537,694.75
507.19336,376.0
528.93555,704.50006
993.20447,1332.25
1195.252,1170.0625
1573.8677,2082.25
586.8253,360.62506
714.48444,915.625
725.8319,981.3125
1340.9138,1295.9375
487.33673,384.37506
1086.7322,916.3125
1363.5477,1400.0625
3281.8384,2448.2188
3372.2954,3057.0312
3517.708,3588.9688
3368.1482,5171.875
1730.3077,1558.6875
2077.4792,2433.625
1995.0443,1536.6562
940.10095,888.3125
1330.1558,1377.0
1384.8955,1490.1875
1140.7242,1174.9375
1262.1534,929.625
796.25287,942.875
1340.4352,1215.75
907.1771,1313.375
448.60974,408.12506
564.4789,503.18756
912.12274,1169.375
1071.2539,947.75
665.473,794.0
934.66925,945.0
1008.2986,1020.4375
920.06757,453.75006
677.8014,1130.1875
738.12573,452.18756
680.5315,784.25
661.3285,840.8125
1253.7039,1187.5625
851.73914,891.875
1130.3639,1290.3125
1501.6289,1546.125
894.608,1077.8125
343.50952,386.50006
1668.7086,1616.0
1317.6432,1300.75
1716.3309,1638.4375
1611.659,1925.6875
2194.683,1989.3125
654.6513,596.87506
1610.5635,1165.125
1092.4434,1004.40625
