preds,trues
442.37482,283.75
756.41125,645.4375
439.66833,376.75006
399.66705,378.8125
694.6813,1130.9375
776.9731,799.5625
459.23206,534.0
454.36395,379.50006
623.64606,592.00006
762.1324,659.125
704.1577,142.84375
1539.3762,839.06256
573.9691,647.875
1748.443,1789.375
1163.3435,1184.9375
1343.151,1350.4062
1453.779,1691.5
1403.7344,1707.625
1159.1023,899.5625
909.06464,1068.6875
950.97986,977.8125
1272.0781,2125.9688
2625.4236,2930.1875
2359.5867,2385.625
2177.7178,2436.6875
2428.152,2013.4375
2377.9438,2151.5
1023.06775,1686.625
1491.579,1177.75
1058.8943,1502.8125
324.6538,249.15625
416.56256,481.5
701.49884,424.9375
605.37115,429.62506
1414.4474,1171.4375
522.14246,489.25006
1425.8464,1577.9688
1268.8768,767.43756
716.21246,873.6875
740.5323,616.4375
438.39105,348.75006
351.3241,284.125
365.8578,297.0
229.96704,272.5625
348.54584,273.9375
367.4621,359.59375
436.8426,399.0625
616.497,1173.5625
1067.8099,957.5625
489.86273,640.9375
412.6726,472.06256
818.7066,690.50006
430.96954,0.6876221
863.5481,715.00006
1164.807,1280.5
902.8358,452.25006
786.83813,1632.125
2089.9214,1773.3125
641.7061,1143.5
1455.6392,769.87506
1216.6447,1564.3125
944.1671,1243.5
1161.3488,807.31256
130.71948,27.9375
153.07227,137.625
117.78064,179.5625
60.88501,0.34375
24.15857,0.0
48.207764,0.0
45.007202,0.0
29.611694,0.0
23.699951,10.8125
25.50061,0.0
214.96863,532.56256
479.4615,388.25006
215.85767,31.375122
6136.1616,6763.4375
4362.568,3473.25
4864.2686,7457.625
4964.6055,4418.625
4010.8843,2997.25
5436.7407,3729.125
3747.1377,3511.6875
2760.3193,3313.9062
3079.0012,3160.4688
3310.0916,2814.125
2116.9492,2477.875
1707.787,2132.25
2809.5317,2869.375
2562.88,1985.125
814.4329,1777.0938
987.0359,1808.9375
848.2556,1088.9375
450.09625,227.125
274.01782,231.3125
578.37067,525.56256
275.8131,191.4375
401.84772,294.875
265.43604,412.37506
989.78174,503.25006
850.8794,1126.75
336.41534,289.3125
294.2992,214.5
191.08557,189.3125
269.96277,180.25
236.86731,140.4375
