preds,trues
1001.3615,789.125
2574.873,1525.125
1964.9637,1202.1875
889.18475,1490.875
4384.0283,5102.625
2328.0808,2252.1875
2603.4663,3202.75
1939.5581,1256.0625
974.1609,824.0625
1690.9819,1890.6875
494.6552,742.9375
822.52765,477.625
777.20996,858.3125
1106.7325,1477.625
1629.8025,2345.0625
1480.5511,1409.875
1586.2001,1055.375
778.6695,443.8125
545.8251,516.5
628.54285,789.81256
1384.9877,1032.625
1051.2059,1168.0
1420.3146,1672.6875
740.78094,594.8125
873.1966,903.0625
516.62585,637.4375
913.5255,868.09375
1769.849,1459.125
681.39026,710.84375
674.4359,586.4063
488.7965,503.25006
499.06964,530.84375
583.9943,437.875
656.30646,856.9375
488.97272,398.75
604.2344,565.46875
942.02356,1120.375
1131.7091,971.5
173.27283,185.125
208.88818,895.25
839.95605,847.84375
561.34125,396.65625
754.0571,1520.2188
734.3474,688.4375
969.6183,1241.75
1130.5901,874.40625
578.6683,452.5625
439.87982,278.15637
546.4892,505.6563
465.8639,348.37506
1021.2034,781.375
341.05194,407.40625
714.97864,696.8125
523.69354,554.25
371.76453,408.12506
731.71515,694.75
513.30896,376.0
536.1286,704.50006
996.5475,1332.25
1199.5933,1170.0625
1572.5603,2082.25
580.4316,360.62506
701.27856,915.625
720.50323,981.3125
1337.5321,1295.9375
484.29926,384.37506
1070.3475,916.3125
1335.7595,1400.0625
3262.3984,2448.2188
3344.6003,3057.0312
3487.1553,3588.9688
3330.833,5171.875
1682.5371,1558.6875
2024.0109,2433.625
1936.5222,1536.6562
892.516,888.3125
1273.28,1377.0
1340.239,1490.1875
1109.5225,1174.9375
1220.9016,929.625
772.32635,942.875
1318.4412,1215.75
893.60876,1313.375
437.17346,408.12506
548.3325,503.18756
905.6483,1169.375
1071.4219,947.75
663.2631,794.0
927.98145,945.0
1003.1523,1020.4375
916.52057,453.75006
674.7162,1130.1875
733.83,452.18756
678.37195,784.25
663.59766,840.8125
1251.5546,1187.5625
849.7678,891.875
1124.2898,1290.3125
1494.471,1546.125
885.13434,1077.8125
326.74097,386.50006
1658.7349,1616.0
1312.1342,1300.75
1705.0542,1638.4375
1591.3645,1925.6875
2171.3953,1989.3125
627.31445,596.87506
1586.6208,1165.125
1077.5443,1004.40625
1029.677,1091.8125
1196.9072,877.34375
409.5103,533.21875
557.4482,606.2813
577.1761,566.84375
435.8485,96.40625
95.09204,17.0625
414.51508,274.96887
740.5386,255.0625
832.23315,849.4375
1401.0049,1531.4375
1319.3086,1323.875
1272.38,1435.0
1208.5297,1490.1875
1132.5344,1141.375
817.89386,1090.375
456.22546,378.75
625.7187,698.25
298.25134,199.1875
1107.8706,1047.7188
391.3853,523.46875
256.24512,219.0625
812.8921,468.96875
641.041,840.8125
421.5379,348.0
391.9156,455.6875
564.5328,578.00006
190.33716,239.0
191.6903,309.0
202.63953,156.5
217.02966,133.4375
383.64178,441.0
346.52386,308.9375
169.71655,46.03125
89.83057,12.562622
435.1109,256.8125
359.57715,326.375
173.39648,149.5625
446.0539,409.56256
445.38556,413.7813
266.3131,169.40637
142.3103,91.18762
222.18213,427.75
135.92297,144.75
90.9469,110.375
65.931885,81.6875
119.229614,238.3125
138.17969,142.875
81.88672,78.875
139.09912,91.5
227.75256,190.0625
114.90637,75.4375
140.2649,133.4375
59.282715,25.0625
57.893555,63.5625
68.76099,55.125122
31.841309,35.5625
88.44348,58.625
197.66125,37.6875
192.57788,60.000122
262.3484,195.00012
221.46362,121.0625
338.67078,452.18756
614.7122,706.62506
629.2771,327.0625
1678.0527,1207.125
1550.7129,1237.1875
894.89636,830.3125
956.6918,791.1875
558.0167,476.625
376.2569,224.28125
370.02954,348.6875
381.46344,269.75
370.09808,255.81262
450.48334,208.1875
176.62708,116.0
371.3454,236.1875
152.59302,108.25
165.14087,183.4375
441.98547,102.0
181.5299,273.25
666.8114,459.18756
314.46094,498.43756
65.24597,260.0
274.36353,269.75
713.3232,290.75
426.1493,283.75
347.49408,421.43756
370.66302,436.8125
239.40356,206.1875
293.89563,276.0625
147.30847,475.25006
117.08374,929.5625
168.00476,90.06262
425.8875,218.375
217.43286,22.34375
147.12659,85.25012
400.0036,568.9375
468.2566,1080.625
1156.7942,1762.8125
2548.4932,2719.75
2066.0728,1762.8125
2022.4807,1732.75
2024.5452,2018.625
2787.0547,2997.9375
2669.6094,3092.2812
2070.4702,2353.9688
1584.7737,939.375
350.2243,865.28125
472.6797,457.8125
493.65857,518.625
477.64087,316.5625
284.34204,220.81262
333.36005,187.3125
288.90942,299.8125
395.3744,340.375
259.1698,464.06256
374.93292,311.6875
672.4317,696.875
582.908,437.5
726.7422,575.87506
651.8081,675.0
564.81323,743.00006
823.28784,501.8125
247.97241,139.75
705.1693,1760.75
1892.4235,1451.0625
848.33453,988.3125
932.03143,168.09375
298.7046,0.34375
299.19043,292.875
243.37341,292.8125
302.18518,210.3125
286.62024,308.1875
581.1643,1010.0
730.3816,420.75
367.04846,496.25006
550.2247,566.125
718.193,652.06256
735.95135,594.75006
674.0952,629.75
784.6358,730.375
556.3264,682.93756
1180.9851,1248.375
1253.1881,1311.9375
784.6412,534.68756
309.09497,180.9375
253.07104,223.625
428.75696,202.00012
54.21277,0.0
34.046387,0.0
49.36499,0.0
46.268555,0.0
26.985596,4.125
35.74475,1.71875
673.8591,591.65625
756.9761,763.93756
992.244,3516.625
1772.1104,2203.1875
1208.6687,1036.5625
1672.446,1873.25
1696.2196,1952.25
1908.1396,1953.6875
1746.4187,1877.4375
2050.096,1906.0625
1659.2489,2093.4375
2210.751,2007.5
1523.1575,1469.25
1704.7339,1760.0625
2572.986,1130.25
1048.5629,1123.9375
1767.0818,1769.125
1818.3978,1705.5
1867.7113,2091.3125
1557.2329,1439.1875
1237.7842,1585.9375
1697.6876,1402.8125
1385.4868,1510.8438
1206.0566,1062.4688
2012.3384,2457.625
2327.5537,2247.9375
1958.6487,1734.6875
1738.3948,1213.4375
1477.2078,1292.75
1719.4226,2220.2812
2277.0188,2329.3125
1752.2609,1950.1562
1850.7942,1686.9688
5308.8384,4630.8125
1177.6072,988.3125
2588.8223,1919.375
834.9781,339.0
461.4151,264.8125
506.9922,497.9375
676.2896,473.12506
577.77966,423.9063
503.9076,497.62506
1617.0264,2786.1875
1077.4817,1503.5
2086.3604,1579.0
1715.334,1013.5
1054.847,979.9375
1257.3453,638.25
1293.7089,1222.5
771.69025,759.75
2013.8906,2548.875
765.3317,320.40625
641.363,760.40625
880.3324,1592.25
3548.4072,2533.8125
2603.631,3585.75
3485.1548,4727.25
1501.0293,1393.0625
1682.3519,2770.8125
2746.0103,2487.0
2552.236,4011.5
5107.5547,2434.125
5374.203,4851.6875
6498.673,6222.4375
4054.4233,4938.375
4153.968,3630.5625
2440.2761,2705.0625
1478.8383,2618.4375
4599.2065,3454.375
5235.37,6249.6875
5329.185,5030.0
1822.5507,3026.625
7938.704,7161.1875
6757.275,4418.3438
953.615,460.21875
480.12238,257.875
642.9235,610.87506
849.56885,551.43756
648.3545,627.25006
599.07074,350.8125
2161.8633,1077.8125
1667.047,2367.7812
4953.9194,5435.6875
2715.5679,1820.125
7294.0825,9130.3125
6191.863,7778.4375
5972.08,6945.1875
4734.8477,4741.9375
3943.6997,6599.8438
5083.938,6216.875
3986.644,6218.8125
5051.0283,4470.0625
2402.8665,1758.625
2602.5078,1725.0625
3706.5918,3371.875
3878.2183,2156.375
3472.414,4177.875
1338.3881,1372.8125
1856.4287,2008.8125
1301.5962,2550.9062
1210.4207,1176.375
1124.2578,754.125
1010.3484,1118.3125
151.99463,414.62506
1978.2036,2062.0
1408.7864,1390.25
