preds,trues
257.9723,153.6875
3748.7256,3538.3125
2677.9146,2256.3125
2016.0552,1713.875
4011.8618,4362.4375
2360.7231,2806.4375
3959.9648,4529.5
3502.0298,5487.8125
3478.9023,4783.5
4127.1533,3658.5
1690.7874,1501.375
2606.991,2961.5625
1882.0957,3603.3125
2465.3208,1897.0
3571.8052,2935.75
4169.3696,3520.75
2529.9639,2642.8125
2186.751,1378.375
2937.984,2584.125
2583.0789,2456.9375
2310.0813,2706.5
2012.9022,1121.8125
1851.0813,2373.75
2273.9177,2080.875
1564.5591,1795.0
1541.9673,1651.6875
1592.6787,1636.3125
1424.1035,940.125
660.9484,672.375
1523.7759,892.5625
786.1895,660.5
490.02167,596.87506
616.15405,340.375
422.04132,380.875
328.49292,264.875
461.10156,422.8125
1082.0406,713.62506
1262.7783,1585.9375
1305.9974,1076.375
669.6123,542.56256
981.92786,789.81256
754.4753,814.25006
766.4995,747.875
1055.5507,1260.875
1112.8438,1216.25
920.57275,713.62506
1319.6298,1429.375
1292.9979,1261.625
1065.5269,840.12506
370.62128,885.5625
121.48535,0.0
621.97284,397.0
176.29626,1838.3125
207.68591,303.3125
370.10864,299.125
426.91852,448.75
675.857,237.625
735.4035,451.5
302.0432,299.8125
233.51404,222.25
172.59656,113.875
127.23987,104.8125
170.37952,205.4375
181.1372,407.50006
394.43835,464.06256
205.79102,150.87512
209.65076,157.87512
160.31848,95.0
225.25671,106.18762
447.34155,277.4375
156.9851,2.0625
192.31885,212.4375
280.20886,113.18762
423.81268,596.9375
180.02087,223.50012
171.82214,204.75012
348.90594,117.375
331.2583,266.96875
393.30402,107.625
457.13885,269.75
220.95605,252.9375
385.6305,330.56256
394.81128,321.50012
334.62866,278.875
341.0996,283.40625
349.7127,264.125
242.42908,290.0
153.23877,37.6875
75.68555,137.0
155.31628,130.625
104.49536,133.40637
115.4281,123.6875
102.01953,135.5625
136.6925,124.3125
192.41992,62.125122
209.09534,118.06262
308.9453,454.93756
230.0127,124.3125
92.48193,41.875
85.76477,66.37512
117.61157,99.25012
107.776855,29.312622
125.27759,93.625
91.36609,77.5
118.67273,68.4375
87.70459,20.53125
179.59583,131.25
91.96289,101.31262
95.17041,127.875
112.110596,136.93762
100.29248,44.0
69.29712,32.75
44.76306,32.0625
56.381836,41.125122
79.26013,50.250122
79.48181,39.0625
149.93604,104.40625
144.47046,132.75
168.37549,147.4375
160.92273,130.28125
170.08984,147.40637
183.72888,201.9375
142.16687,120.125
82.239624,51.6875
185.03198,121.5625
103.641846,113.18762
137.37988,61.500122
155.6366,89.4375
178.98804,104.4375
126.12024,163.5
145.57153,185.87512
118.46631,93.625
138.32983,94.31262
89.167725,33.500122
60.23645,155.125
58.62549,69.1875
63.12793,43.9375
50.210693,59.03125
68.58948,26.15625
59.65918,57.65625
90.67566,77.5625
90.8009,85.25012
51.27185,153.00012
128.89282,143.59387
252.15295,235.15637
31.889526,196.4375
158.56738,135.25012
275.8241,52.3125
76.4613,44.625
82.55908,51.656372
135.92468,74.75
106.517334,58.0
83.27063,62.1875
74.28088,81.0
38.236084,76.8125
301.5962,130.6875
234.66089,25.437622
112.82666,190.0625
141.65576,153.6875
82.74292,39.0625
67.77026,100.625
161.99915,219.4375
182.5575,122.93762
192.85022,192.625
390.12646,90.75
445.15845,353.62506
202.2976,173.25
183.39746,118.06262
76.154175,34.1875
56.45276,55.843872
61.92334,129.25
117.19495,204.75012
200.97852,123.0625
123.89331,109.6875
137.63037,113.18762
91.24756,143.5625
88.321045,81.0
216.21838,81.8125
77.53894,90.8125
63.828613,27.9375
60.055664,35.625
47.495605,24.03125
67.420044,50.21875
48.86963,18.125
51.393555,20.875
42.688965,20.9375
51.061646,32.0625
67.9989,41.1875
75.249146,80.3125
104.59631,48.1875
56.103027,18.125
64.931274,38.437622
1877.6687,2483.5625
3172.2983,3296.4375
946.115,793.31256
1474.8573,963.4375
225.97595,260.62512
1752.3843,1077.125
938.7328,1303.5625
1021.10095,653.5
1721.7634,963.875
2595.2998,2378.625
1670.8794,1591.5625
797.1328,911.4375
415.78546,422.12506
398.58875,1272.8125
630.8878,709.4375
450.5578,1014.875
789.4399,603.25
1274.2916,575.53125
710.1655,731.5
964.68054,1728.5312
1325.2019,1001.625
781.0746,347.375
387.4427,395.62506
350.40967,221.5
527.1004,464.06256
439.27008,534.0
572.37085,498.3125
267.64966,427.00006
320.04602,880.6875
1653.0166,1239.6562
439.2777,773.0
1352.3402,1362.25
261.3656,323.62512
198.55835,610.125
313.7738,398.37506
215.65076,48.875
501.13892,404.625
367.16974,1223.9062
1048.9508,831.75006
594.8133,267.68762
183.47632,605.25006
533.93005,136.25
166.6543,141.125
566.3455,976.5
1148.7751,1009.3125
893.10266,1320.3125
123.2583,0.0
41.324097,0.0
38.067017,0.0
249.00452,1052.5938
1186.4768,1062.375
841.6903,999.5
874.5547,840.12506
1041.1995,1567.0625
1163.5735,1168.6875
995.49536,1342.0
1671.3706,1685.875
654.9783,691.9375
1264.9673,1012.8125
760.5881,563.5625
532.9438,961.375
862.2512,997.03125
652.7543,794.0
766.3494,928.25
820.492,427.6875
706.14514,600.37506
318.2556,0.0
611.10394,982.0625
1331.5071,1247.625
1063.4099,1494.0625
895.48413,830.75
167.57288,0.34375
864.9554,685.68756
457.46063,680.75
462.2473,1157.5
1057.7966,1282.625
575.76227,824.75006
970.3838,1021.875
1054.9424,1297.2812
1272.1624,1503.0938
475.24042,917.75
454.96942,373.25
528.56305,194.9375
407.4892,476.0
268.5979,153.00012
232.12451,307.50012
194.99182,180.3125
238.94983,198.4375
300.2173,442.43756
553.8304,516.1563
438.42267,582.53125
692.72205,1091.8125
736.6269,782.125
575.9619,641.56256
596.60187,604.5625
739.8165,664.0
443.13586,355.0625
447.1551,409.21875
437.10608,431.18756
648.6638,529.75
404.80487,385.8125
472.54956,371.8125
478.82513,399.75
315.67627,109.375
208.90906,154.09375
162.27283,89.71875
273.4536,259.3125
206.521,100.5625
218.92383,135.5
228.47375,203.375
217.0138,116.0
222.45374,160.34387
44.588623,6.187622
513.19965,536.75
442.88434,676.5625
504.53058,385.8125
538.3875,328.43762
359.84772,4.125
123.086426,622.68756
1035.0859,1151.1875
708.9975,968.0
340.10138,198.4375
305.61047,20.1875
368.12152,371.8125
274.49573,11.15625
314.8839,317.3125
274.64172,316.5625
437.8661,632.5
501.86957,727.62506
125.0116,198.4375
136.23059,164.1875
172.03882,167.6875
100.63623,95.75
424.83392,186.93762
389.7397,384.0625
339.20197,408.875
388.8606,374.9375
501.9629,405.37506
412.65887,404.75006
322.87927,421.43756
502.47064,366.25
490.37537,371.8125
407.7981,622.4063
535.9151,428.43756
544.9252,498.3125
489.1051,360.62506
389.40533,319.37512
348.1772,283.75
357.10736,62.875
99.12903,28.59375
37.954468,23.0625
161.0658,183.68762
150.48401,37.0
4519.024,3868.9375
2868.907,3316.6875
3115.7383,2622.625
3286.1475,4463.75
2612.06,2618.375
1981.0903,2041.75
1889.8325,1890.0
3843.8174,3799.6875
3880.359,3960.4688
