preds,trues
181.64502,167.00012
153.64368,170.5
232.469,202.625
48.03662,223.625
264.71277,138.3125
166.67358,215.875
148.49146,83.12512
182.2356,164.87512
175.14062,106.18762
851.8999,685.3125
793.8288,437.15625
640.22644,473.15625
464.20978,357.0938
781.6394,1154.375
606.5529,962.78125
1359.4376,1802.3125
498.46173,622.75
599.4768,455.6875
356.63928,363.43756
382.62347,293.50012
697.2837,1033.75
383.60468,383.0
343.66425,271.1875
372.36133,401.1875
476.38043,368.31256
414.59937,380.1875
1230.2496,1211.25
551.3844,1005.75
695.7798,1065.875
385.40076,388.56256
299.042,192.125
351.10547,239.75
492.83966,438.9375
460.92078,321.50012
362.58813,359.25
529.44635,683.5625
763.0162,475.93756
417.95294,378.8125
328.01416,170.5
281.0287,269.75
375.60626,364.125
345.53485,391.37506
620.8855,443.06256
334.32336,243.93762
379.25757,290.75
486.86896,588.50006
724.5354,963.125
493.2583,863.875
594.57715,379.46875
579.0029,489.96875
599.6951,370.75
563.3433,964.1875
650.7593,378.50006
409.53363,437.875
459.01837,300.125
398.22803,455.31256
391.2177,608.8125
539.4591,443.06256
541.7131,571.87506
416.8244,329.875
446.12854,327.0625
272.6786,357.8125
440.1192,448.0
599.69055,1276.3125
529.123,694.125
449.9198,473.875
508.81042,495.5
504.14935,1188.25
1270.43,1092.5
1632.411,1952.25
1390.6929,2113.6875
737.72577,985.5
2240.9045,1959.9375
789.76917,727.5625
1110.5876,1960.625
434.63586,513.03125
475.59888,508.78125
552.9726,1031.0
480.3476,460.21875
609.30475,1134.4062
321.6975,464.43756
612.6847,359.62506
463.6538,467.5625
455.687,292.59375
465.4344,535.0313
405.79553,144.625
197.17554,184.4375
286.96204,808.6875
306.6161,406.75
575.1612,351.56256
506.1148,297.75012
567.1814,370.37506
277.31995,365.56256
404.93262,471.06256
874.728,677.9375
408.5672,480.25006
455.4582,413.0625
329.00623,348.0625
443.8357,550.75
815.559,559.875
318.8683,332.0
446.27533,446.625
527.702,470.37506
381.29712,304.75012
408.99048,498.3125
366.1059,435.43756
357.15546,341.75006
236.35547,271.1875
437.68384,246.34375
326.5298,166.59375
177.04993,125.03125
208.15259,187.59375
488.3333,408.12506
584.13574,583.25
262.15625,473.875
821.5027,668.125
510.28436,606.6875
873.7997,1243.125
410.32764,443.8125
278.6565,283.75
407.67236,277.09387
381.8952,467.87506
325.43884,289.68762
349.9383,391.37506
326.9911,330.56256
711.9305,290.0625
310.92432,333.375
294.2212,203.375
240.94409,284.4375
438.2481,234.125
498.22815,218.0625
388.638,137.625
282.16626,270.4375
412.62897,327.8125
204.47192,303.625
292.5332,241.78125
420.54468,416.15625
571.26666,555.625
445.5869,455.6875
313.60144,243.1875
262.20496,136.93762
281.76904,162.0625
338.45526,320.0625
202.08606,195.00012
238.81567,274.62512
395.7141,311.6875
129.24524,79.625
226.68811,590.5625
843.26825,705.9375
783.7361,700.3125
493.93542,433.31256
404.35828,388.56256
350.70905,320.75
612.51624,675.18756
676.058,485.68756
648.4396,770.93756
407.2162,383.6875
351.40985,557.75
638.9855,606.625
652.9587,671.0
463.7973,614.37506
761.7251,734.5625
500.59045,583.625
763.4807,720.5625
1165.1742,993.9375
371.89545,251.21887
508.8073,695.8125
308.86475,259.25
363.0315,406.75
363.83856,384.37506
338.8363,350.87506
545.75977,410.375
464.7843,416.9063
443.1718,334.75006
436.6883,471.75
597.4131,399.8125
496.94916,775.875
557.423,536.37506
494.73102,437.5
871.25635,593.37506
517.3808,450.375
511.187,380.25
648.12787,566.8125
1013.527,1231.5625
706.7067,753.84375
522.7434,627.625
671.3581,732.50006
