preds,trues
262.8756,153.6875
3790.1743,3538.3125
2707.8093,2256.3125
2068.697,1713.875
4030.859,4362.4375
2412.9104,2806.4375
3982.6729,4529.5
3552.1748,5487.8125
3526.2305,4783.5
4181.963,3658.5
1783.3474,1501.375
2653.1338,2961.5625
1951.6733,3603.3125
2507.1514,1897.0
3617.8154,2935.75
4182.1016,3520.75
2570.693,2642.8125
2243.401,1378.375
2999.1013,2584.125
2621.0022,2456.9375
2358.4023,2706.5
2062.7131,1121.8125
1902.7122,2373.75
2311.0396,2080.875
1602.1973,1795.0
1575.5676,1651.6875
1627.1237,1636.3125
1454.7596,940.125
688.57764,672.375
1546.2576,892.5625
803.8103,660.5
501.76416,596.87506
622.3755,340.375
424.98236,380.875
332.0243,264.875
451.27942,422.8125
1072.3336,713.62506
1252.4213,1585.9375
1303.8458,1076.375
671.50226,542.56256
987.25433,789.81256
756.9004,814.25006
769.734,747.875
1060.7601,1260.875
1119.2029,1216.25
930.6162,713.62506
1328.8987,1429.375
1301.5164,1261.625
1077.7107,840.12506
380.56586,885.5625
133.57764,0.0
625.41736,397.0
176.17773,1838.3125
206.86096,303.3125
366.01642,299.125
416.1714,448.75
663.2163,237.625
721.00134,451.5
291.7472,299.8125
230.40259,222.25
164.99731,113.875
113.29028,104.8125
156.41016,205.4375
164.91089,407.50006
374.7898,464.06256
186.83728,150.87512
195.0542,157.87512
142.84033,95.0
204.46289,106.18762
424.11932,277.4375
136.63586,2.0625
176.47998,212.4375
258.53943,113.18762
410.72217,596.9375
167.06018,223.50012
163.80212,204.75012
337.78772,117.375
315.19263,266.96875
374.67017,107.625
439.9585,269.75
204.35803,252.9375
365.8058,330.56256
373.5216,321.50012
314.81396,278.875
322.39795,283.40625
331.20227,264.125
222.8656,290.0
132.5564,37.6875
55.851562,137.0
134.32922,130.625
81.05481,133.40637
91.12952,123.6875
78.32654,135.5625
112.58838,124.3125
168.16284,62.125122
184.45337,118.06262
284.70215,454.93756
207.30518,124.3125
71.43884,41.875
62.718018,66.37512
91.55542,99.25012
82.14612,29.312622
98.825195,93.625
65.89856,77.5
93.13904,68.4375
60.637695,20.53125
152.18274,131.25
64.51831,101.31262
69.18164,127.875
85.21362,136.93762
72.43555,44.0
42.688843,32.75
17.32898,32.0625
28.654907,41.125122
51.53003,50.250122
51.4646,39.0625
122.117065,104.40625
116.81726,132.75
140.8219,147.4375
134.19861,130.28125
144.1847,147.40637
158.0835,201.9375
117.11499,120.125
57.688354,51.6875
160.14917,121.5625
78.87305,113.18762
112.40198,61.500122
129.29895,89.4375
153.48926,104.4375
101.04236,163.5
119.8042,185.87512
92.23596,93.625
113.58826,94.31262
63.041016,33.500122
33.844116,155.125
32.009155,69.1875
36.361816,43.9375
24.559082,59.03125
41.6521,26.15625
31.856812,57.65625
62.208252,77.5625
63.26758,85.25012
23.861816,153.00012
100.55908,143.59387
225.15088,235.15637
5.3016357,196.4375
132.84229,135.25012
250.01538,52.3125
51.119385,44.625
57.7843,51.656372
109.653564,74.75
80.349,58.0
57.231567,62.1875
48.22986,81.0
11.720581,76.8125
273.7483,130.6875
208.06726,25.437622
86.79956,190.0625
116.406006,153.6875
57.549316,39.0625
41.52588,100.625
136.0747,219.4375
156.69324,122.93762
166.37415,192.625
364.0735,90.75
420.94977,353.62506
179.1261,173.25
160.90259,118.06262
54.15625,34.1875
32.67798,55.843872
35.601074,129.25
91.10242,204.75012
175.8075,123.0625
97.89429,109.6875
111.7594,113.18762
64.1814,143.5625
61.215088,81.0
189.92664,81.8125
50.64624,90.8125
38.80945,27.9375
35.261963,35.625
20.677979,24.03125
40.16211,50.21875
21.272339,18.125
23.233032,20.875
14.335815,20.9375
21.544922,32.0625
38.386353,41.1875
45.762817,80.3125
75.08362,48.1875
27.057617,18.125
35.91455,38.437622
1899.0638,2483.5625
3207.677,3296.4375
975.18713,793.31256
1509.6711,963.4375
265.0608,260.62512
1773.4215,1077.125
957.89685,1303.5625
1040.2206,653.5
1744.9856,963.875
2607.9878,2378.625
1687.5701,1591.5625
826.7092,911.4375
442.1765,422.12506
414.62714,1272.8125
641.83875,709.4375
456.84204,1014.875
795.9559,603.25
1282.2728,575.53125
713.6824,731.5
965.88745,1728.5312
1326.1315,1001.625
781.4376,347.375
388.2328,395.62506
354.2082,221.5
516.5901,464.06256
424.84906,534.0
563.08746,498.3125
262.59326,427.00006
308.43665,880.6875
1642.8545,1239.6562
427.54193,773.0
1352.8562,1362.25
266.96423,323.62512
207.46936,610.125
314.8363,398.37506
211.5686,48.875
494.8335,404.625
358.1706,1223.9062
1037.5505,831.75006
588.4141,267.68762
180.09485,605.25006
