preds,trues
157.46973,167.00012
130.10205,170.5
209.24976,202.625
24.754517,223.625
241.22815,138.3125
142.83093,215.875
124.373535,83.12512
158.229,164.87512
150.59875,106.18762
845.64355,685.3125
786.2836,437.15625
634.2073,473.15625
458.4853,357.0938
771.6933,1154.375
599.46747,962.78125
1355.4542,1802.3125
497.3285,622.75
604.05396,455.6875
356.91217,363.43756
375.12817,293.50012
691.2111,1033.75
377.85522,383.0
343.11774,271.1875
364.17828,401.1875
463.88538,368.31256
399.68604,380.1875
1219.4371,1211.25
539.73346,1005.75
689.78754,1065.875
379.2248,388.56256
292.28845,192.125
344.70844,239.75
479.5074,438.9375
446.43488,321.50012
353.36206,359.25
518.1894,683.5625
750.3773,475.93756
404.90344,378.8125
319.4796,170.5
271.32202,269.75
360.03705,364.125
330.26813,391.37506
606.43536,443.06256
320.85632,243.93762
363.92657,290.75
469.71375,588.50006
707.79755,963.125
478.3805,863.875
585.5491,379.46875
569.86444,489.96875
591.3088,370.75
555.3496,964.1875
641.45514,378.50006
402.5025,437.875
454.9809,300.125
389.5338,455.31256
377.74548,608.8125
528.4026,443.06256
530.2631,571.87506
406.3905,329.875
436.24084,327.0625
261.82788,357.8125
423.4311,448.0
584.569,1276.3125
519.22815,694.125
439.89624,473.875
499.26422,495.5
495.0896,1188.25
1262.2021,1092.5
1629.5366,1952.25
1393.4647,2113.6875
750.7045,985.5
2252.7598,1959.9375
797.67633,727.5625
1130.0343,1960.625
428.99664,513.03125
470.03064,508.78125
544.3287,1031.0
469.08032,460.21875
599.84296,1134.4062
314.94177,464.43756
604.74927,359.62506
453.28735,467.5625
444.37146,292.59375
456.87567,535.0313
396.73822,144.625
188.08728,184.4375
275.86914,808.6875
289.10303,406.75
559.21564,351.56256
488.97266,297.75012
551.6689,370.37506
262.1405,365.56256
388.99164,471.06256
859.3491,677.9375
396.344,480.25006
443.63586,413.0625
319.7953,348.0625
430.05438,550.75
802.27,559.875
307.81665,332.0
435.02826,446.625
516.3805,470.37506
368.44897,304.75012
394.391,498.3125
352.74023,435.43756
346.11157,341.75006
226.84778,271.1875
421.29926,246.34375
313.36987,166.59375
161.59436,125.03125
192.08679,187.59375
469.2187,408.12506
563.5204,583.25
246.42773,473.875
805.664,668.125
493.24316,606.6875
858.98267,1243.125
396.97644,443.8125
268.87097,283.75
395.62982,277.09387
365.909,467.87506
309.5409,289.68762
338.13855,391.37506
315.80286,330.56256
698.4694,290.0625
297.87305,333.375
280.8296,203.375
227.93237,284.4375
423.06824,234.125
482.27057,218.0625
372.5357,137.625
265.87854,270.4375
393.63397,327.8125
188.39136,303.625
274.10596,241.78125
400.68103,416.15625
551.1202,555.625
426.53473,455.6875
298.81274,243.1875
249.60144,136.93762
266.77026,162.0625
322.69043,320.0625
186.36133,195.00012
223.51392,274.62512
377.90192,311.6875
111.99353,79.625
208.35962,590.5625
822.3031,705.9375
765.0984,700.3125
479.4029,433.31256
393.73743,388.56256
340.9583,320.75
599.30536,675.18756
662.375,485.68756
638.3537,770.93756
398.86932,383.6875
343.89575,557.75
627.11395,606.625
640.39276,671.0
453.29492,614.37506
753.979,734.5625
491.66968,583.625
756.7952,720.5625
1158.9554,993.9375
365.69867,251.21887
505.9796,695.8125
301.8225,259.25
351.16718,406.75
351.67377,384.37506
328.8567,350.87506
531.6497,410.375
448.21594,416.9063
428.45837,334.75006
422.38147,471.75
582.21344,399.8125
482.289,775.875
544.25543,536.37506
482.32324,437.5
859.0443,593.37506
506.92603,450.375
500.51654,380.25
638.96545,566.8125
1004.0668,1231.5625
700.50745,753.84375
520.3571,627.625
668.407,732.50006
