preds,trues
1080.7142,789.125
2554.9126,1525.125
1992.4276,1202.1875
867.922,1490.875
4389.461,5102.625
2363.594,2252.1875
2609.309,3202.75
2024.9316,1256.0625
1008.3772,824.0625
1749.1667,1890.6875
412.04718,742.9375
851.551,477.625
800.22833,858.3125
1111.6614,1477.625
1634.5981,2345.0625
1493.1891,1409.875
1563.6919,1055.375
758.36346,443.8125
538.076,516.5
632.49506,789.81256
1387.7202,1032.625
1024.6775,1168.0
1393.3232,1672.6875
713.24097,594.8125
864.7307,903.0625
515.5698,637.4375
892.56177,868.09375
1740.6263,1459.125
638.5739,710.84375
633.5408,586.4063
478.63977,503.25006
471.17072,530.84375
570.7998,437.875
631.2041,856.9375
456.0354,398.75
579.006,565.46875
905.1667,1120.375
1098.3898,971.5
141.35193,185.125
209.15833,895.25
811.3197,847.84375
558.3092,396.65625
734.3459,1520.2188
689.92255,688.4375
942.8789,1241.75
1123.1471,874.40625
554.152,452.5625
413.6399,278.15637
545.708,505.6563
456.66302,348.37506
1019.08026,781.375
301.66638,407.40625
682.5016,696.8125
507.617,554.25
336.0302,408.12506
700.4966,694.75
481.0138,376.0
510.66583,704.50006
963.81445,1332.25
1167.7794,1170.0625
1537.2504,2082.25
537.6733,360.62506
695.1337,915.625
720.1818,981.3125
1338.4702,1295.9375
470.89276,384.37506
1059.2239,916.3125
1367.7118,1400.0625
3004.8564,2448.2188
3191.9224,3057.0312
3443.9497,3588.9688
3229.6465,5171.875
1711.0908,1558.6875
2069.5237,2433.625
2018.155,1536.6562
988.0769,888.3125
1331.1528,1377.0
1404.2955,1490.1875
1148.3069,1174.9375
1244.6852,929.625
737.8261,942.875
1329.9637,1215.75
880.27515,1313.375
412.65674,408.12506
542.8349,503.18756
894.386,1169.375
1047.5815,947.75
644.3037,794.0
890.114,945.0
997.33655,1020.4375
904.45764,453.75006
660.74994,1130.1875
702.7019,452.18756
655.5386,784.25
641.79956,840.8125
1236.5049,1187.5625
808.0757,891.875
1095.9167,1290.3125
1488.6659,1546.125
857.9408,1077.8125
313.21094,386.50006
1620.6177,1616.0
1292.4293,1300.75
1703.6354,1638.4375
1594.6177,1925.6875
2115.3281,1989.3125
624.67975,596.87506
1566.7976,1165.125
1092.2664,1004.40625
1022.97144,1091.8125
1198.8121,877.34375
395.99994,533.21875
556.30164,606.2813
595.10706,566.84375
413.5174,96.40625
108.7041,17.0625
400.35907,274.96887
710.8403,255.0625
792.0194,849.4375
1362.6677,1531.4375
1294.9021,1323.875
1277.6437,1435.0
1196.8298,1490.1875
1128.033,1141.375
804.67975,1090.375
405.2375,378.75
612.2196,698.25
256.37976,199.1875
1085.7761,1047.7188
338.79382,523.46875
236.86682,219.0625
771.22034,468.96875
599.0833,840.8125
372.96252,348.0
355.28644,455.6875
517.92834,578.00006
162.27148,239.0
182.07654,309.0
191.09717,156.5
200.55371,133.4375
364.65692,441.0
316.98486,308.9375
150.0149,46.03125
68.90454,12.562622
400.4107,256.8125
328.85828,326.375
152.66699,149.5625
416.79816,409.56256
394.93915,413.7813
230.01172,169.40637
128.05225,91.18762
193.3772,427.75
119.42322,144.75
91.3009,110.375
52.330933,81.6875
106.55261,238.3125
125.124756,142.875
72.406006,78.875
130.75684,91.5
205.6366,190.0625
95.20386,75.4375
128.31738,133.4375
47.90442,25.0625
48.37805,63.5625
61.99109,55.125122
24.795166,35.5625
80.69641,58.625
184.89246,37.6875
174.97864,60.000122
235.6427,195.00012
184.57532,121.0625
290.9453,452.18756
572.1091,706.62506
581.7243,327.0625
1600.4229,1207.125
1519.8635,1237.1875
841.3097,830.3125
940.59717,791.1875
558.1866,476.625
386.53955,224.28125
358.9281,348.6875
363.5321,269.75
353.55432,255.81262
413.377,208.1875
150.10693,116.0
337.32507,236.1875
139.38318,108.25
157.23926,183.4375
416.3977,102.0
157.86328,273.25
635.8567,459.18756
273.0758,498.43756
23.89331,260.0
247.07068,269.75
683.5174,290.75
390.00806,283.75
307.36035,421.43756
332.92596,436.8125
222.4607,206.1875
264.28088,276.0625
141.55151,475.25006
105.93347,929.5625
142.99011,90.06262
404.95538,218.375
201.35901,22.34375
128.06152,85.25012
376.3902,568.9375
455.39838,1080.625
1122.1073,1762.8125
2440.6514,2719.75
2039.5718,1762.8125
2007.8295,1732.75
2028.221,2018.625
2789.966,2997.9375
2731.22,3092.2812
2114.4202,2353.9688
1632.3201,939.375
374.05145,865.28125
486.58325,457.8125
549.19275,518.625
484.4931,316.5625
295.41553,220.81262
299.25867,187.3125
275.6648,299.8125
373.87213,340.375
239.02539,464.06256
331.2868,311.6875
628.67584,696.875
560.7717,437.5
697.10504,575.87506
623.52264,675.0
523.892,743.00006
780.08234,501.8125
216.75208,139.75
678.02484,1760.75
1828.0056,1451.0625
791.13837,988.3125
924.74915,168.09375
281.36755,0.34375
294.4928,292.875
246.17383,292.8125
303.89307,210.3125
261.72485,308.1875
550.9817,1010.0
672.0198,420.75
311.06128,496.25006
532.3889,566.125
696.5708,652.06256
699.5182,594.75006
641.64935,629.75
