preds,trues
404.07513,283.75
715.0026,645.4375
387.5948,376.75006
354.49658,378.8125
644.8155,1130.9375
718.70667,799.5625
414.73846,534.0
421.03564,379.50006
560.3105,592.00006
741.3406,659.125
658.6281,142.84375
1519.1332,839.06256
502.9759,647.875
1727.4207,1789.375
1181.2627,1184.9375
1373.1245,1350.4062
1479.7002,1691.5
1433.9467,1707.625
1186.5891,899.5625
910.9164,1068.6875
971.9458,977.8125
1291.3948,2125.9688
2595.5718,2930.1875
2322.84,2385.625
2174.268,2436.6875
2424.6653,2013.4375
2358.2612,2151.5
1016.5423,1686.625
1512.5378,1177.75
1083.179,1502.8125
271.92322,249.15625
375.1184,481.5
688.0893,424.9375
566.53217,429.62506
1422.5852,1171.4375
465.31946,489.25006
1406.3481,1577.9688
1323.9381,767.43756
674.1025,873.6875
727.193,616.4375
362.61725,348.75006
291.94482,284.125
323.1449,297.0
201.32275,272.5625
307.9917,273.9375
320.4619,359.59375
372.01788,399.0625
553.91736,1173.5625
1041.0847,957.5625
440.51202,640.9375
380.8357,472.06256
814.3219,690.50006
375.3042,0.6876221
848.22797,715.00006
1160.5868,1280.5
863.8456,452.25006
731.4385,1632.125
2048.0845,1773.3125
588.7041,1143.5
1448.3678,769.87506
1254.645,1564.3125
919.50354,1243.5
1153.5204,807.31256
65.01465,27.9375
109.519165,137.625
110.67493,179.5625
54.249756,0.34375
14.294922,0.0
29.305664,0.0
20.962769,0.0
19.43274,0.0
19.462402,10.8125
24.017822,0.0
198.71436,532.56256
433.24774,388.25006
198.26318,31.375122
6616.7695,6763.4375
4383.6875,3473.25
5142.0957,7457.625
5113.8813,4418.625
4139.4507,2997.25
5373.849,3729.125
3922.0981,3511.6875
2946.0513,3313.9062
3062.1104,3160.4688
3289.5337,2814.125
2226.02,2477.875
1737.7793,2132.25
2849.061,2869.375
2618.8604,1985.125
807.7826,1777.0938
994.4552,1808.9375
894.6283,1088.9375
442.98907,227.125
273.9889,231.3125
559.9492,525.56256
269.1366,191.4375
397.8247,294.875
249.84888,412.37506
981.33716,503.25006
818.7173,1126.75
284.18176,289.3125
258.15637,214.5
154.70349,189.3125
224.32239,180.25
204.3457,140.4375
