preds,trues
464.46875,283.75
716.0762,645.4375
452.99628,376.75006
395.1521,378.8125
689.8632,1130.9375
789.4593,799.5625
478.27838,534.0
482.3687,379.50006
637.41516,592.00006
772.99615,659.125
738.02094,142.84375
1379.7817,839.06256
640.43134,647.875
1655.2249,1789.375
1160.7858,1184.9375
1324.5354,1350.4062
1356.9766,1691.5
1358.8064,1707.625
1202.1309,899.5625
965.15564,1068.6875
993.6141,977.8125
1272.2521,2125.9688
2638.1802,2930.1875
2301.1729,2385.625
2112.7876,2436.6875
2397.6343,2013.4375
2356.6821,2151.5
1115.0557,1686.625
1482.6747,1177.75
1229.4708,1502.8125
251.85022,249.15625
366.46875,481.5
672.1591,424.9375
535.9882,429.62506
1290.1682,1171.4375
564.08514,489.25006
1306.9988,1577.9688
1223.4167,767.43756
767.4265,873.6875
794.9725,616.4375
506.4121,348.75006
326.63452,284.125
363.45984,297.0
203.04944,272.5625
287.4923,273.9375
318.64233,359.59375
378.1646,399.0625
593.4466,1173.5625
1038.6912,957.5625
535.41,640.9375
454.23108,472.06256
836.89777,690.50006
488.06488,0.6876221
846.7553,715.00006
1110.5378,1280.5
910.95264,452.25006
794.71716,1632.125
2019.5294,1773.3125
716.6172,1143.5
1353.0883,769.87506
1199.2457,1564.3125
990.54767,1243.5
1147.3131,807.31256
236.59753,27.9375
149.45178,137.625
129.00818,179.5625
61.316284,0.34375
7.9536133,0.0
35.14026,0.0
33.83142,0.0
39.493652,0.0
34.470703,10.8125
34.904297,0.0
204.4607,532.56256
486.03662,388.25006
226.56433,31.375122
6589.8955,6763.4375
4357.4644,3473.25
5147.878,7457.625
5044.5063,4418.625
4106.8257,2997.25
5294.4204,3729.125
3789.066,3511.6875
2983.4111,3313.9062
3075.1926,3160.4688
3303.8765,2814.125
2250.1108,2477.875
1775.6772,2132.25
2942.7847,2869.375
2597.1025,1985.125
962.0251,1777.0938
1105.1587,1808.9375
983.9239,1088.9375
411.70795,227.125
233.37256,231.3125
542.79175,525.56256
299.99585,191.4375
373.77448,294.875
236.33984,412.37506
928.2809,503.25006
829.87366,1126.75
386.40997,289.3125
308.39868,214.5
211.20337,189.3125
257.26025,180.25
218.3645,140.4375
