preds,trues
981.7737,789.125
2540.9956,1525.125
1929.8583,1202.1875
942.41077,1490.875
4454.8433,5102.625
2421.9998,2252.1875
2613.1553,3202.75
2021.6287,1256.0625
1037.0647,824.0625
1559.9459,1890.6875
531.3878,742.9375
854.87933,477.625
684.0693,858.3125
1107.2751,1477.625
1642.3082,2345.0625
1455.2069,1409.875
1519.3976,1055.375
777.01935,443.8125
554.54816,516.5
587.7699,789.81256
1283.4496,1032.625
1059.2502,1168.0
1368.1261,1672.6875
815.20984,594.8125
854.4551,903.0625
587.53595,637.4375
847.0719,868.09375
1596.3755,1459.125
764.70154,710.84375
669.2104,586.4063
491.89923,503.25006
487.7326,530.84375
523.3903,437.875
593.5019,856.9375
561.9676,398.75
553.38306,565.46875
885.25793,1120.375
1142.079,971.5
208.96265,185.125
214.07117,895.25
891.6796,847.84375
504.62262,396.65625
670.04504,1520.2188
774.32025,688.4375
899.15155,1241.75
1126.3966,874.40625
657.98145,452.5625
440.57617,278.15637
504.50525,505.6563
431.22107,348.37506
917.7871,781.375
443.5744,407.40625
680.4945,696.8125
554.46576,554.25
361.57312,408.12506
714.18884,694.75
551.1785,376.0
502.30524,704.50006
922.16956,1332.25
1199.934,1170.0625
1543.8368,2082.25
649.51953,360.62506
689.4321,915.625
717.2072,981.3125
1275.321,1295.9375
599.0333,384.37506
1000.9702,916.3125
1338.7373,1400.0625
3060.6401,2448.2188
3220.1143,3057.0312
3485.6782,3588.9688
3206.9656,5171.875
1644.9758,1558.6875
1962.3961,2433.625
1920.4573,1536.6562
932.6988,888.3125
1219.5326,1377.0
1376.6022,1490.1875
1164.8292,1174.9375
1211.8687,929.625
825.3931,942.875
1261.1627,1215.75
968.98615,1313.375
540.67694,408.12506
516.06323,503.18756
847.80096,1169.375
1053.0018,947.75
691.6872,794.0
973.7241,945.0
1024.954,1020.4375
979.8739,453.75006
679.2276,1130.1875
757.1513,452.18756
648.5106,784.25
715.1722,840.8125
1232.0292,1187.5625
910.12744,891.875
1100.9135,1290.3125
1453.9388,1546.125
948.382,1077.8125
382.05774,386.50006
1417.7448,1616.0
1238.0748,1300.75
1678.5754,1638.4375
1567.6566,1925.6875
2083.9446,1989.3125
710.18207,596.87506
1381.2725,1165.125
1116.5792,1004.40625
1069.2592,1091.8125
1153.8396,877.34375
428.9063,533.21875
528.72974,606.2813
540.11786,566.84375
378.4754,96.40625
108.21216,17.0625
369.68268,274.96887
633.8137,255.0625
741.94055,849.4375
1366.405,1531.4375
1299.9296,1323.875
1262.5374,1435.0
1202.4663,1490.1875
1128.2626,1141.375
886.00494,1090.375
523.4699,378.75
605.55023,698.25
269.5,199.1875
1015.29285,1047.7188
430.17163,523.46875
211.37415,219.0625
765.6038,468.96875
692.53723,840.8125
474.45667,348.0
364.597,455.6875
533.49585,578.00006
145.18567,239.0
169.58044,309.0
168.8335,156.5
192.04517,133.4375
333.82977,441.0
290.24304,308.9375
149.00256,46.03125
85.856445,12.562622
384.36438,256.8125
305.38794,326.375
145.7727,149.5625
401.80035,409.56256
379.63562,413.7813
228.67542,169.40637
123.315796,91.18762
196.30261,427.75
106.267334,144.75
83.58252,110.375
52.51953,81.6875
96.67163,238.3125
116.33057,142.875
64.474,78.875
123.57959,91.5
196.6549,190.0625
96.80066,75.4375
126.19116,133.4375
53.00232,25.0625
50.50891,63.5625
60.305176,55.125122
23.279297,35.5625
75.38464,58.625
172.23315,37.6875
167.20728,60.000122
228.76294,195.00012
188.05542,121.0625
290.08838,452.18756
548.7293,706.62506
588.0417,327.0625
1499.9135,1207.125
1510.7905,1237.1875
945.8992,830.3125
998.55237,791.1875
631.0509,476.625
381.66425,224.28125
319.20874,348.6875
319.0287,269.75
311.84668,255.81262
390.86975,208.1875
143.49182,116.0
316.4143,236.1875
128.76355,108.25
146.45166,183.4375
384.12988,102.0
146.69324,273.25
589.2751,459.18756
279.04993,498.43756
53.22766,260.0
239.67078,269.75
643.0472,290.75
366.10767,283.75
301.12622,421.43756
317.2124,436.8125
217.06458,206.1875
260.86243,276.0625
127.06958,475.25006
89.90991,929.5625
132.3136,90.06262
377.25208,218.375
186.51697,22.34375
125.421875,85.25012
354.04077,568.9375
421.7868,1080.625
1135.5417,1762.8125
2501.105,2719.75
2024.5886,1762.8125
2008.4519,1732.75
2018.8593,2018.625
2827.253,2997.9375
2694.2432,3092.2812
2128.492,2353.9688
1603.5468,939.375
437.61243,865.28125
560.0226,457.8125
439.66553,518.625
412.68378,316.5625
266.3651,220.81262
302.3911,187.3125
258.54797,299.8125
361.08105,340.375
224.45837,464.06256
324.1808,311.6875
615.6093,696.875
590.1517,437.5
707.5827,575.87506
626.01117,675.0
543.5388,743.00006
797.56464,501.8125
245.5481,139.75
637.5741,1760.75
1823.581,1451.0625
923.33264,988.3125
906.80865,168.09375
369.0108,0.34375
283.19666,292.875
207.6311,292.8125
290.91748,210.3125
240.97229,308.1875
493.93207,1010.0
766.83563,420.75
330.81677,496.25006
525.53296,566.125
806.5661,652.06256
708.7168,594.75006
691.092,629.75
803.211,730.375
554.12085,682.93756
1093.6376,1248.375
1239.3,1311.9375
858.79083,534.68756
338.2392,180.9375
252.49292,223.625
383.22528,202.00012
52.51123,0.0
41.537598,0.0
42.954956,0.0
35.968872,0.0
19.889648,4.125
25.054932,1.71875
586.60065,591.65625
680.5707,763.93756
1010.1138,3516.625
1695.581,2203.1875
1234.7094,1036.5625
1581.7261,1873.25
1649.1277,1952.25
1891.9601,1953.6875
1785.7234,1877.4375
2035.3008,1906.0625
1669.0723,2093.4375
2189.3313,2007.5
1529.1669,1469.25
1670.5038,1760.0625
2561.6553,1130.25
1075.5586,1123.9375
1729.2751,1769.125
1816.435,1705.5
1868.4657,2091.3125
1534.766,1439.1875
1232.307,1585.9375
1754.5132,1402.8125
1357.4628,1510.8438
1222.7072,1062.4688
1942.9639,2457.625
2287.079,2247.9375
1965.7996,1734.6875
1694.0015,1213.4375
1396.9885,1292.75
1639.6531,2220.2812
2236.7686,2329.3125
1748.1813,1950.1562
1849.1658,1686.9688
5172.341,4630.8125
1224.5798,988.3125
2536.8408,1919.375
907.7981,339.0
429.9234,264.8125
520.892,497.9375
700.13226,473.12506
541.6082,423.9063
440.09485,497.62506
1403.2625,2786.1875
1111.1665,1503.5
2046.5535,1579.0
1668.8982,1013.5
1088.6788,979.9375
1179.4807,638.25
1247.052,1222.5
818.81903,759.75
1834.51,2548.875
809.8117,320.40625
621.6433,760.40625
844.48926,1592.25
3508.9106,2533.8125
2536.6387,3585.75
3373.7314,4727.25
1527.07,1393.0625
1526.3982,2770.8125
2739.4924,2487.0
2529.5566,4011.5
5053.6577,2434.125
5437.489,4851.6875
6353.892,6222.4375
4213.993,4938.375
4348.407,3630.5625
2490.4785,2705.0625
1416.4453,2618.4375
4647.043,3454.375
5376.8096,6249.6875
5423.044,5030.0
2115.8333,3026.625
8522.741,7161.1875
6344.0684,4418.3438
1128.1683,460.21875
658.1024,257.875
838.63824,610.87506
788.09033,551.43756
647.4987,627.25006
631.59406,350.8125
2150.3953,1077.8125
1686.6882,2367.7812
5187.8013,5435.6875
2656.732,1820.125
7652.217,9130.3125
6121.457,7778.4375
6073.694,6945.1875
4757.5654,4741.9375
4041.934,6599.8438
5036.4937,6216.875
4177.19,6218.8125
5092.001,4470.0625
