preds,trues
230.71033,153.6875
3800.2617,3538.3125
2807.9185,2256.3125
2014.9133,1713.875
3990.9263,4362.4375
2378.5713,2806.4375
3968.9736,4529.5
3381.2065,5487.8125
3408.0063,4783.5
4119.068,3658.5
1809.4865,1501.375
2571.4038,2961.5625
1912.6963,3603.3125
2513.4233,1897.0
3369.5366,2935.75
4136.9023,3520.75
2598.382,2642.8125
2279.2568,1378.375
2887.23,2584.125
2561.1377,2456.9375
2380.254,2706.5
2081.429,1121.8125
1824.7302,2373.75
2205.4126,2080.875
1580.5204,1795.0
1536.9532,1651.6875
1575.153,1636.3125
1397.7433,940.125
767.0893,672.375
1384.5447,892.5625
857.21405,660.5
476.1134,596.87506
563.8076,340.375
382.4859,380.875
270.07678,264.875
398.37555,422.8125
952.2082,713.62506
1244.8219,1585.9375
1288.5447,1076.375
745.3793,542.56256
974.8074,789.81256
841.0627,814.25006
785.6699,747.875
1026.5281,1260.875
1138.4329,1216.25
970.799,713.62506
1264.9348,1429.375
1256.4583,1261.625
1095.9094,840.12506
417.81488,885.5625
200.19885,0.0
566.8044,397.0
134.09326,1838.3125
141.89392,303.3125
339.36462,299.125
374.646,448.75
633.7044,237.625
715.3997,451.5
287.29614,299.8125
242.09595,222.25
146.9397,113.875
98.20911,104.8125
151.6073,205.4375
145.68811,407.50006
322.1974,464.06256
170.47156,150.87512
183.61401,157.87512
135.08105,95.0
196.98376,106.18762
393.0219,277.4375
124.1239,2.0625
166.63232,212.4375
244.36438,113.18762
455.05182,596.9375
158.2096,223.50012
165.35571,204.75012
302.6245,117.375
278.22498,266.96875
339.65967,107.625
414.80347,269.75
186.01184,252.9375
339.4179,330.56256
345.05695,321.50012
286.08618,278.875
299.16113,283.40625
299.58752,264.125
205.88037,290.0
129.93005,37.6875
70.46814,137.0
130.74902,130.625
79.97742,133.40637
95.5531,123.6875
82.60486,135.5625
117.51868,124.3125
161.52148,62.125122
184.08081,118.06262
258.15967,454.93756
196.31921,124.3125
83.60669,41.875
82.38391,66.37512
96.61389,99.25012
92.477905,29.312622
104.64636,93.625
74.031006,77.5
100.79004,68.4375
74.14868,20.53125
155.32666,131.25
75.638306,101.31262
80.04956,127.875
97.74121,136.93762
83.3551,44.0
60.086914,32.75
34.040894,32.0625
47.183105,41.125122
68.75513,50.250122
69.86243,39.0625
131.7052,104.40625
126.02344,132.75
145.10022,147.4375
141.23816,130.28125
150.50366,147.40637
159.9762,201.9375
122.5863,120.125
73.901855,51.6875
164.11243,121.5625
89.95947,113.18762
122.22864,61.500122
136.68591,89.4375
156.3717,104.4375
105.996704,163.5
126.708374,185.87512
101.97351,93.625
123.83142,94.31262
74.54553,33.500122
50.05078,155.125
49.12854,69.1875
50.37732,43.9375
43.610474,59.03125
54.147827,26.15625
51.858032,57.65625
75.22839,77.5625
78.94885,85.25012
35.22107,153.00012
104.958496,143.59387
213.00781,235.15637
20.677979,196.4375
129.34644,135.25012
237.4159,52.3125
58.265137,44.625
70.10034,51.656372
113.339355,74.75
90.82532,58.0
68.986694,62.1875
59.098022,81.0
26.13977,76.8125
259.0869,130.6875
203.70813,25.437622
94.898315,190.0625
119.25452,153.6875
69.04492,39.0625
58.690918,100.625
139.29956,219.4375
155.1416,122.93762
162.12366,192.625
329.47443,90.75
385.28796,353.62506
171.35071,173.25
158.5835,118.06262
69.00342,34.1875
40.718384,55.843872
51.35376,129.25
93.785034,204.75012
167.94897,123.0625
97.62695,109.6875
119.27698,113.18762
72.38379,143.5625
77.45581,81.0
187.5531,81.8125
62.974976,90.8125
52.936646,27.9375
53.140503,35.625
39.93457,24.03125
58.233276,50.21875
46.11389,18.125
41.21692,20.875
34.67749,20.9375
42.2218,32.0625
58.118896,41.1875
63.64795,80.3125
88.14526,48.1875
47.20642,18.125
56.151245,38.437622
1852.6836,2483.5625
3062.8792,3296.4375
954.6874,793.31256
1357.9232,963.4375
406.67072,260.62512
1594.7142,1077.125
945.3329,1303.5625
1021.0113,653.5
1619.8433,963.875
2585.4702,2378.625
1629.6886,1591.5625
852.78625,911.4375
480.54584,422.12506
419.04486,1272.8125
638.02704,709.4375
440.1352,1014.875
866.58923,603.25
