preds,trues
158.93811,167.00012
131.99475,170.5
199.7019,202.625
36.00122,223.625
226.95044,138.3125
145.92786,215.875
126.42627,83.12512
160.41125,164.87512
152.4701,106.18762
780.6829,685.3125
812.863,437.15625
627.12805,473.15625
436.86975,357.0938
723.10425,1154.375
704.5781,962.78125
1247.6115,1802.3125
575.86304,622.75
664.32623,455.6875
369.39612,363.43756
319.66223,293.50012
630.8514,1033.75
309.44946,383.0
300.97058,271.1875
338.43433,401.1875
412.70874,368.31256
370.63586,380.1875
1080.9753,1211.25
624.47974,1005.75
678.231,1065.875
437.04535,388.56256
291.30896,192.125
319.68042,239.75
428.1817,438.9375
405.114,321.50012
315.7079,359.25
474.43024,683.5625
738.41846,475.93756
417.73566,378.8125
306.39368,170.5
257.6018,269.75
329.721,364.125
288.16504,391.37506
562.17474,443.06256
281.36096,243.93762
336.99,290.75
433.32666,588.50006
664.7765,963.125
592.89374,863.875
593.55164,379.46875
557.31665,489.96875
555.0733,370.75
515.4434,964.1875
623.6146,378.50006
385.74432,437.875
435.52917,300.125
350.68274,455.31256
343.65546,608.8125
456.39856,443.06256
495.22565,571.87506
364.16626,329.875
406.08148,327.0625
242.26062,357.8125
392.4702,448.0
537.33856,1276.3125
599.98724,694.125
445.86334,473.875
490.98956,495.5
458.76294,1188.25
1145.3419,1092.5
1544.2114,1952.25
1324.1923,2113.6875
810.24835,985.5
2156.4883,1959.9375
858.1059,727.5625
1103.6465,1960.625
412.9839,513.03125
457.23517,508.78125
478.5296,1031.0
431.5592,460.21875
555.58453,1134.4062
343.13678,464.43756
575.3393,359.62506
531.18286,467.5625
420.4049,292.59375
437.59674,535.0313
363.48535,144.625
172.61108,184.4375
255.71289,808.6875
228.54834,406.75
510.3731,351.56256
452.8753,297.75012
509.2152,370.37506
247.67017,365.56256
372.11066,471.06256
794.0115,677.9375
372.03925,480.25006
422.31097,413.0625
305.13184,348.0625
394.2705,550.75
728.3827,559.875
272.57202,332.0
410.54584,446.625
487.31427,470.37506
336.14905,304.75012
356.43323,498.3125
320.5514,435.43756
311.15686,341.75006
210.92822,271.1875
383.4834,246.34375
294.3756,166.59375
160.09314,125.03125
188.41101,187.59375
437.42175,408.12506
512.14777,583.25
224.94617,473.875
739.2028,668.125
488.2345,606.6875
798.0819,1243.125
418.89362,443.8125
263.78577,283.75
371.2881,277.09387
322.59863,467.87506
283.23572,289.68762
301.55322,391.37506
278.38647,330.56256
627.99194,290.0625
272.61694,333.375
247.81274,203.375
224.39758,284.4375
390.26642,234.125
434.01648,218.0625
335.13757,137.625
244.38159,270.4375
369.40002,327.8125
178.81323,303.625
256.26196,241.78125
366.14972,416.15625
502.6867,555.625
392.54547,455.6875
280.45117,243.1875
241.16223,136.93762
247.63464,162.0625
288.4579,320.0625
176.05896,195.00012
218.87878,274.62512
352.51276,311.6875
107.2832,79.625
203.87292,590.5625
738.4043,705.9375
758.3795,700.3125
486.28204,433.31256
394.5492,388.56256
324.46912,320.75
550.4092,675.18756
619.31354,485.68756
619.6591,770.93756
416.21667,383.6875
325.9984,557.75
595.0268,606.625
607.25073,671.0
449.49207,614.37506
740.09845,734.5625
493.46594,583.625
722.9539,720.5625
1103.1897,993.9375
401.4259,251.21887
485.39398,695.8125
268.3141,259.25
322.0553,406.75
304.78845,384.37506
293.95312,350.87506
485.0677,410.375
413.8376,416.9063
396.03265,334.75006
391.2915,471.75
545.389,399.8125
447.2909,775.875
523.36084,536.37506
468.45624,437.5
797.98236,593.37506
506.30475,450.375
490.3062,380.25
613.94434,566.8125
1009.0026,1231.5625
773.568,753.84375
537.3416,627.625
659.6317,732.50006
