preds,trues
226.30652,153.6875
3760.5444,3538.3125
2683.1274,2256.3125
1988.8779,1713.875
3964.9194,4362.4375
2355.6362,2806.4375
3977.9497,4529.5
3354.2207,5487.8125
3435.8633,4783.5
4098.427,3658.5
1734.5574,1501.375
2562.7812,2961.5625
1961.9119,3603.3125
2561.2488,1897.0
3484.7476,2935.75
4148.1245,3520.75
2548.1177,2642.8125
2227.6296,1378.375
2909.306,2584.125
2580.094,2456.9375
2375.2092,2706.5
2071.8665,1121.8125
1787.7603,2373.75
2202.816,2080.875
1633.5048,1795.0
1619.1104,1651.6875
1619.6854,1636.3125
1429.251,940.125
790.2775,672.375
1408.4017,892.5625
734.5846,660.5
465.6739,596.87506
576.5759,340.375
351.0556,380.875
264.11633,264.875
409.92706,422.8125
999.25275,713.62506
1177.8369,1585.9375
1265.8528,1076.375
742.6694,542.56256
998.3965,789.81256
809.00323,814.25006
821.14545,747.875
1047.0288,1260.875
1123.7517,1216.25
961.6835,713.62506
1261.6859,1429.375
1251.9893,1261.625
1080.1624,840.12506
458.42383,885.5625
206.41663,0.0
579.1488,397.0
195.1532,1838.3125
205.65686,303.3125
302.6942,299.125
359.29364,448.75
673.0928,237.625
761.0451,451.5
337.97974,299.8125
263.3048,222.25
214.30164,113.875
145.36255,104.8125
165.8562,205.4375
169.1853,407.50006
366.8689,464.06256
203.93616,150.87512
204.19116,157.87512
154.37476,95.0
222.26831,106.18762
427.15955,277.4375
170.23438,2.0625
172.74792,212.4375
262.37964,113.18762
450.5155,596.9375
223.82617,223.50012
199.49329,204.75012
307.90918,117.375
293.8894,266.96875
372.21808,107.625
412.98474,269.75
202.99805,252.9375
360.81818,330.56256
393.72064,321.50012
323.60352,278.875
334.1184,283.40625
344.3128,264.125
245.07288,290.0
175.07227,37.6875
93.94299,137.0
149.59473,130.625
111.287964,133.40637
117.27588,123.6875
104.38147,135.5625
131.95801,124.3125
190.20496,62.125122
206.94373,118.06262
301.12134,454.93756
230.7345,124.3125
103.78772,41.875
100.35925,66.37512
119.270874,99.25012
114.8418,29.312622
123.84021,93.625
89.81641,77.5
117.98157,68.4375
96.79346,20.53125
177.00256,131.25
101.707275,101.31262
101.18799,127.875
118.374756,136.93762
106.08923,44.0
77.68359,32.75
56.411987,32.0625
64.37756,41.125122
86.5686,50.250122
87.413574,39.0625
145.90051,104.40625
146.95459,132.75
166.31885,147.4375
167.19263,130.28125
175.44702,147.40637
188.4021,201.9375
154.87537,120.125
97.51843,51.6875
183.56372,121.5625
114.13513,113.18762
137.83105,61.500122
157.88916,89.4375
172.95715,104.4375
127.421875,163.5
154.28882,185.87512
128.92651,93.625
145.22754,94.31262
98.240234,33.500122
71.61597,155.125
78.14868,69.1875
73.7666,43.9375
58.496216,59.03125
78.85193,26.15625
69.12427,57.65625
98.06775,77.5625
95.29956,85.25012
58.340942,153.00012
132.72327,143.59387
238.02979,235.15637
50.736084,196.4375
166.34106,135.25012
264.62134,52.3125
89.33423,44.625
93.201904,51.656372
134.52185,74.75
109.881226,58.0
86.87866,62.1875
74.34216,81.0
47.031616,76.8125
279.8015,130.6875
231.41614,25.437622
123.57263,190.0625
148.18994,153.6875
93.54187,39.0625
82.73108,100.625
160.23267,219.4375
176.432,122.93762
183.22205,192.625
359.26233,90.75
415.01392,353.62506
215.56067,173.25
193.53503,118.06262
93.425415,34.1875
66.63611,55.843872
70.20398,129.25
114.55603,204.75012
180.77478,123.0625
114.905396,109.6875
135.58289,113.18762
101.34473,143.5625
96.941895,81.0
215.27783,81.8125
96.34021,90.8125
71.06384,27.9375
75.27246,35.625
56.95581,24.03125
74.63403,50.21875
61.80542,18.125
52.83496,20.875
50.01355,20.9375
59.411865,32.0625
75.43811,41.1875
82.43518,80.3125
107.15454,48.1875
65.6886,18.125
74.85852,38.437622
1825.3843,2483.5625
3021.181,3296.4375
1073.5458,793.31256
1414.7697,963.4375
413.6277,260.62512
1698.4489,1077.125
973.7775,1303.5625
1114.0682,653.5
1608.6362,963.875
2614.3032,2378.625
1620.2698,1591.5625
899.2727,911.4375
533.0988,422.12506
472.4151,1272.8125
694.43713,709.4375
510.11963,1014.875
832.4992,603.25
1163.2563,575.53125
651.58,731.5
904.3712,1728.5312
1265.0663,1001.625
826.8357,347.375
411.83484,395.62506
356.67993,221.5
494.65955,464.06256
423.63666,534.0
540.62714,498.3125
220.4856,427.00006
284.42847,880.6875
1520.7803,1239.6562
516.46704,773.0
1262.0481,1362.25
364.0041,323.62512
232.05591,610.125
353.48962,398.37506
250.70312,48.875
437.3302,404.625
371.42706,1223.9062
980.69763,831.75006
587.3583,267.68762
245.5487,605.25006
532.7313,136.25
202.64075,141.125
541.4993,976.5
1093.7407,1009.3125
896.4297,1320.3125
197.06726,0.0
62.635742,0.0
71.082275,0.0
251.83374,1052.5938
1117.6763,1062.375
885.45123,999.5
907.7294,840.12506
1043.1792,1567.0625
1126.2454,1168.6875
1007.03955,1342.0
1562.992,1685.875
749.7348,691.9375
1216.079,1012.8125
824.35986,563.5625
596.218,961.375
876.09735,997.03125
701.2545,794.0
783.58905,928.25
833.0022,427.6875
644.41376,600.37506
353.13,0.0
578.54565,982.0625
1247.3436,1247.625
1059.2427,1494.0625
924.67346,830.75
317.3944,0.34375
882.7378,685.68756
515.8036,680.75
512.21545,1157.5
983.91595,1282.625
660.8775,824.75006
978.35645,1021.875
1041.8098,1297.2812
1214.2458,1503.0938
556.0328,917.75
522.49347,373.25
513.80615,194.9375
382.65424,476.0
258.12158,153.00012
205.54553,307.50012
176.01807,180.3125
247.09949,198.4375
279.9071,442.43756
510.39062,516.1563
438.18536,582.53125
693.9944,1091.8125
754.0918,782.125
613.1912,641.56256
631.43994,604.5625
753.90735,664.0
471.02087,355.0625
463.33667,409.21875
437.5584,431.18756
605.67236,529.75
391.17145,385.8125
457.7647,371.8125
461.76416,399.75
311.59143,109.375
205.97205,154.09375
174.01733,89.71875
245.09839,259.3125
201.60034,100.5625
204.25708,135.5
213.09802,203.375
208.30908,116.0
220.63379,160.34387
71.03613,6.187622
474.6242,536.75
437.96362,676.5625
519.0223,385.8125
547.2519,328.43762
378.5965,4.125
156.79541,622.68756
993.3258,1151.1875
715.36194,968.0
390.99408,198.4375
321.0769,20.1875
349.72565,371.8125
289.25,11.15625
323.41296,317.3125
253.2417,316.5625
367.83282,632.5
467.0653,727.62506
159.87915,198.4375
137.03528,164.1875
183.0957,167.6875
104.318726,95.75
397.44196,186.93762
368.8957,384.0625
308.62817,408.875
374.7201,374.9375
504.27893,405.37506
415.09253,404.75006
333.339,421.43756
505.29285,366.25
483.0741,371.8125
403.15863,622.4063
544.17566,428.43756
544.568,498.3125
505.12274,360.62506
395.07294,319.37512
342.29407,283.75
358.08374,62.875
113.78137,28.59375
52.596558,23.0625
155.42126,183.68762
142.79382,37.0
4578.511,3868.9375
2872.4355,3316.6875
3035.5156,2622.625
3203.4648,4463.75
2685.8066,2618.375
1993.7622,2041.75
1831.8047,1890.0
3855.6426,3799.6875
3915.249,3960.4688
3114.1426,3146.8125
5884.3223,5759.6875
3783.204,4747.0625
4860.5967,3678.75
3988.9004,3741.6875
2557.059,2054.3125
2809.9224,2709.9375
3138.329,3415.2188
3519.0776,3085.3125
1879.2256,1747.4375
4553.198,5301.1875
6268.0737,6662.8125
5789.0312,3708.125
