preds,trues
183.46777,167.00012
159.07983,170.5
221.47754,202.625
64.90051,223.625
250.53833,138.3125
168.63586,215.875
152.84839,83.12512
179.38647,164.87512
176.97388,106.18762
804.8923,685.3125
792.97064,437.15625
654.57086,473.15625
478.40167,357.0938
751.8813,1154.375
668.5017,962.78125
1263.7306,1802.3125
560.2213,622.75
651.2122,455.6875
408.68872,363.43756
422.77643,293.50012
692.48846,1033.75
380.43048,383.0
284.7788,271.1875
332.45245,401.1875
448.7721,368.31256
410.8722,380.1875
1117.4318,1211.25
581.8259,1005.75
697.60144,1065.875
454.8396,388.56256
330.95007,192.125
356.86902,239.75
511.255,438.9375
444.92102,321.50012
335.82465,359.25
500.11597,683.5625
748.5322,475.93756
448.3181,378.8125
350.30206,170.5
292.35498,269.75
364.53223,364.125
334.30487,391.37506
588.8316,443.06256
311.16748,243.93762
355.99243,290.75
482.7826,588.50006
713.9462,963.125
525.1188,863.875
628.2472,379.46875
575.5464,489.96875
598.0249,370.75
585.5031,964.1875
684.992,378.50006
416.76923,437.875
454.32715,300.125
382.38037,455.31256
385.6394,608.8125
545.2976,443.06256
518.1291,571.87506
392.54486,329.875
432.21063,327.0625
275.62,357.8125
434.18945,448.0
589.3932,1276.3125
563.90826,694.125
475.69458,473.875
523.9156,495.5
520.7285,1188.25
1176.4208,1092.5
1491.3413,1952.25
1311.1742,2113.6875
815.2072,985.5
2192.683,1959.9375
891.71326,727.5625
1128.0646,1960.625
435.66284,513.03125
484.34778,508.78125
548.34033,1031.0
460.1859,460.21875
604.9931,1134.4062
351.6093,464.43756
595.7201,359.62506
524.66266,467.5625
481.1402,292.59375
485.05493,535.0313
426.1438,144.625
201.93018,184.4375
267.65723,808.6875
291.91724,406.75
510.9732,351.56256
487.96515,297.75012
544.18524,370.37506
281.11267,365.56256
424.00677,471.06256
828.2274,677.9375
428.86652,480.25006
471.79352,413.0625
337.67816,348.0625
439.57855,550.75
781.04565,559.875
354.08948,332.0
428.5185,446.625
521.27405,470.37506
374.94922,304.75012
414.16522,498.3125
373.51282,435.43756
326.58496,341.75006
244.19336,271.1875
411.78613,246.34375
312.79407,166.59375
186.5227,125.03125
207.42554,187.59375
460.79517,408.12506
559.92847,583.25
272.8828,473.875
762.6839,668.125
518.92035,606.6875
834.15344,1243.125
442.77258,443.8125
296.40186,283.75
394.16125,277.09387
371.52466,467.87506
335.4154,289.68762
348.33423,391.37506
308.55725,330.56256
650.5889,290.0625
325.50525,333.375
313.4005,203.375
252.43103,284.4375
420.06152,234.125
459.65118,218.0625
354.0561,137.625
266.70068,270.4375
389.0763,327.8125
204.08215,303.625
288.54407,241.78125
394.5807,416.15625
545.4185,555.625
450.10974,455.6875
331.8886,243.1875
268.51147,136.93762
287.01453,162.0625
326.6012,320.0625
211.18323,195.00012
230.6886,274.62512
363.96918,311.6875
134.25745,79.625
213.08472,590.5625
782.0121,705.9375
778.5942,700.3125
514.7331,433.31256
426.3368,388.56256
354.6303,320.75
607.14233,675.18756
682.51434,485.68756
648.9449,770.93756
426.89227,383.6875
353.54358,557.75
641.2897,606.625
662.14343,671.0
488.87842,614.37506
759.5205,734.5625
509.89148,583.625
758.2106,720.5625
1113.8445,993.9375
406.12787,251.21887
503.61737,695.8125
314.27795,259.25
331.66437,406.75
337.66138,384.37506
306.33154,350.87506
515.0766,410.375
458.2727,416.9063
441.76422,334.75006
438.27917,471.75
587.2011,399.8125
482.83868,775.875
566.50916,536.37506
501.66827,437.5
828.031,593.37506
535.1031,450.375
530.16846,380.25
660.9867,566.8125
992.05475,1231.5625
737.32074,753.84375
564.47156,627.625
687.3783,732.50006
