preds,trues
276.5775,153.6875
3901.273,3538.3125
2728.1155,2256.3125
2079.775,1713.875
3980.2021,4362.4375
2417.4011,2806.4375
4051.933,4529.5
3402.3623,5487.8125
3428.713,4783.5
4191.0796,3658.5
1791.2083,1501.375
2668.0657,2961.5625
1970.1765,3603.3125
2530.0063,1897.0
3398.7727,2935.75
4301.4985,3520.75
2608.1326,2642.8125
2259.6565,1378.375
2921.3906,2584.125
2622.228,2456.9375
2389.6633,2706.5
2076.0264,1121.8125
1860.1782,2373.75
2288.4502,2080.875
1596.8538,1795.0
1580.5237,1651.6875
1616.5667,1636.3125
1473.2632,940.125
694.04834,672.375
1541.2657,892.5625
820.6488,660.5
480.5556,596.87506
654.08997,340.375
419.88324,380.875
334.35132,264.875
467.41602,422.8125
1088.3243,713.62506
1260.8131,1585.9375
1307.6924,1076.375
678.6958,542.56256
1017.2016,789.81256
800.65063,814.25006
800.21295,747.875
1076.9795,1260.875
1137.4163,1216.25
943.6544,713.62506
1336.3945,1429.375
1324.3219,1261.625
1090.6959,840.12506
376.24756,885.5625
134.03088,0.0
666.0729,397.0
191.98438,1838.3125
208.37842,303.3125
345.6596,299.125
434.5523,448.75
681.97125,237.625
732.43335,451.5
305.3883,299.8125
249.34705,222.25
186.03137,113.875
130.83545,104.8125
177.28455,205.4375
175.13965,407.50006
381.93823,464.06256
200.948,150.87512
203.05518,157.87512
162.58496,95.0
228.08777,106.18762
443.5578,277.4375
153.80408,2.0625
189.17981,212.4375
274.40186,113.18762
391.7605,596.9375
196.1289,223.50012
169.23547,204.75012
355.42206,117.375
327.98438,266.96875
374.27307,107.625
445.59186,269.75
206.90527,252.9375
376.47314,330.56256
379.13947,321.50012
324.20898,278.875
323.36487,283.40625
332.22455,264.125
234.58972,290.0
148.33826,37.6875
84.183105,137.0
154.2865,130.625
106.56372,133.40637
111.5813,123.6875
105.88733,135.5625
141.82422,124.3125
193.86182,62.125122
215.3097,118.06262
300.13635,454.93756
233.16699,124.3125
89.41809,41.875
94.177734,66.37512
120.23389,99.25012
109.64465,29.312622
128.23962,93.625
93.47705,77.5
120.44409,68.4375
93.58765,20.53125
184.11743,131.25
96.731445,101.31262
98.13403,127.875
113.821655,136.93762
104.547,44.0
75.44336,32.75
53.523926,32.0625
67.31372,41.125122
88.0332,50.250122
90.456665,39.0625
155.04797,104.40625
147.74463,132.75
170.98767,147.4375
164.31128,130.28125
174.25598,147.40637
186.9845,201.9375
150.14209,120.125
92.64783,51.6875
193.88684,121.5625
110.03345,113.18762
144.24927,61.500122
159.59338,89.4375
185.50122,104.4375
129.27417,163.5
147.79138,185.87512
120.42285,93.625
143.20203,94.31262
94.941895,33.500122
67.11365,155.125
60.06555,69.1875
69.328,43.9375
63.256104,59.03125
75.75244,26.15625
