preds,trues
407.7019,283.75
670.9635,645.4375
398.11627,376.75006
361.90662,378.8125
634.7475,1130.9375
737.31415,799.5625
436.17535,534.0
430.71844,379.50006
583.2141,592.00006
705.25793,659.125
694.2144,142.84375
1490.5009,839.06256
664.3858,647.875
1702.6361,1789.375
1153.5627,1184.9375
1372.1406,1350.4062
1454.7,1691.5
1461.8203,1707.625
1160.8419,899.5625
938.0409,1068.6875
984.8933,977.8125
1228.408,2125.9688
2623.476,2930.1875
2300.1484,2385.625
2160.947,2436.6875
2440.3047,2013.4375
2393.06,2151.5
1003.4708,1686.625
1573.3561,1177.75
1056.5128,1502.8125
417.52356,249.15625
414.4848,481.5
665.27844,424.9375
558.07874,429.62506
1363.1324,1171.4375
603.9641,489.25006
1354.6938,1577.9688
1218.4725,767.43756
774.8296,873.6875
748.1478,616.4375
499.22687,348.75006
325.1173,284.125
332.10077,297.0
215.50146,272.5625
312.99292,273.9375
326.65552,359.59375
391.95123,399.0625
560.76324,1173.5625
957.502,957.5625
501.78528,640.9375
477.19775,472.06256
773.4075,690.50006
426.2683,0.6876221
786.0227,715.00006
1075.3351,1280.5
893.84314,452.25006
747.38617,1632.125
1988.1604,1773.3125
711.1798,1143.5
1421.3945,769.87506
1210.7816,1564.3125
965.34717,1243.5
1090.0652,807.31256
217.14014,27.9375
137.04944,137.625
113.16492,179.5625
67.85022,0.34375
30.500977,0.0
44.521484,0.0
45.63147,0.0
32.128784,0.0
20.518677,10.8125
24.565552,0.0
190.48523,532.56256
427.6997,388.25006
193.98926,31.375122
6249.802,6763.4375
4451.5073,3473.25
5008.4683,7457.625
5100.316,4418.625
4161.7456,2997.25
5318.1904,3729.125
3828.7026,3511.6875
2941.1099,3313.9062
3039.021,3160.4688
3235.7114,2814.125
2157.7656,2477.875
1740.5682,2132.25
2846.359,2869.375
2604.1987,1985.125
866.2346,1777.0938
1007.45386,1808.9375
903.3716,1088.9375
595.1279,227.125
406.7356,231.3125
552.46814,525.56256
274.95032,191.4375
395.54053,294.875
263.20386,412.37506
891.8414,503.25006
773.8547,1126.75
430.97888,289.3125
292.94788,214.5
144.63232,189.3125
233.15051,180.25
199.05603,140.4375
