preds,trues
415.20447,283.75
679.6636,645.4375
404.6115,376.75006
364.74744,378.8125
641.87335,1130.9375
744.9867,799.5625
439.9862,534.0
432.94153,379.50006
584.99615,592.00006
711.21094,659.125
713.2011,142.84375
1505.036,839.06256
666.0967,647.875
1711.0315,1789.375
1157.3472,1184.9375
1380.2422,1350.4062
1453.4797,1691.5
1460.1189,1707.625
1165.4883,899.5625
934.66077,1068.6875
987.2333,977.8125
1230.029,2125.9688
2621.5913,2930.1875
2297.0762,2385.625
2151.381,2436.6875
2428.7036,2013.4375
2385.566,2151.5
992.1433,1686.625
1563.5212,1177.75
1044.2183,1502.8125
395.54608,249.15625
389.94135,481.5
648.19305,424.9375
546.7821,429.62506
1364.2556,1171.4375
605.45233,489.25006
1361.2942,1577.9688
1220.8619,767.43756
776.7109,873.6875
749.59247,616.4375
498.95197,348.75006
319.75208,284.125
328.3026,297.0
211.34363,272.5625
310.44824,273.9375
329.96625,359.59375
395.1485,399.0625
567.43115,1173.5625
970.6971,957.5625
515.4309,640.9375
503.50873,472.06256
775.24445,690.50006
432.8816,0.6876221
795.4754,715.00006
1092.8911,1280.5
904.4185,452.25006
756.34827,1632.125
1996.759,1773.3125
716.3277,1143.5
1438.901,769.87506
1212.0662,1564.3125
965.4447,1243.5
1087.0886,807.31256
209.99707,27.9375
129.53406,137.625
106.53174,179.5625
60.83618,0.34375
30.033813,0.0
42.71472,0.0
47.729004,0.0
37.408203,0.0
28.166382,10.8125
32.049072,0.0
199.60754,532.56256
439.16833,388.25006
202.21399,31.375122
6319.034,6763.4375
4466.8125,3473.25
5019.8916,7457.625
5107.3784,4418.625
4134.1074,2997.25
5317.645,3729.125
3788.144,3511.6875
2892.0615,3313.9062
2997.6865,3160.4688
3193.5332,2814.125
2095.2788,2477.875
1706.8259,2132.25
2806.837,2869.375
2575.0547,1985.125
840.7457,1777.0938
992.10925,1808.9375
883.33984,1088.9375
560.86865,227.125
383.0855,231.3125
534.4544,525.56256
258.49255,191.4375
387.5912,294.875
258.0586,412.37506
897.59595,503.25006
780.76086,1126.75
433.85175,289.3125
281.14722,214.5
142.42004,189.3125
235.12756,180.25
205.68066,140.4375
