preds,trues
972.87695,789.125
2595.3203,1525.125
1972.3699,1202.1875
931.1859,1490.875
4386.241,5102.625
2284.0078,2252.1875
2608.3823,3202.75
2005.0933,1256.0625
919.4668,824.0625
1744.5732,1890.6875
450.735,742.9375
905.5021,477.625
803.6205,858.3125
1098.1819,1477.625
1618.8097,2345.0625
1492.2563,1409.875
1600.4894,1055.375
820.2529,443.8125
577.0803,516.5
665.0291,789.81256
1306.9441,1032.625
1002.9121,1168.0
1368.6807,1672.6875
817.34955,594.8125
904.7903,903.0625
598.43744,637.4375
884.921,868.09375
1735.1875,1459.125
756.6479,710.84375
665.19525,586.4063
602.0934,503.25006
512.6671,530.84375
542.9715,437.875
636.1858,856.9375
493.864,398.75
554.3132,565.46875
862.11914,1120.375
1052.1727,971.5
247.62146,185.125
291.90955,895.25
782.9264,847.84375
516.99347,396.65625
692.892,1520.2188
761.8573,688.4375
861.9491,1241.75
1068.303,874.40625
683.2796,452.5625
417.04742,278.15637
503.61737,505.6563
468.26385,348.37506
923.6282,781.375
425.98425,407.40625
673.57324,696.8125
505.20087,554.25
435.3432,408.12506
678.7559,694.75
572.7748,376.0
499.6449,704.50006
903.24243,1332.25
1103.1472,1170.0625
1538.2567,2082.25
647.27264,360.62506
763.7626,915.625
795.8831,981.3125
1268.3756,1295.9375
562.8955,384.37506
1097.6487,916.3125
1344.4288,1400.0625
3039.5703,2448.2188
3140.207,3057.0312
3385.0615,3588.9688
3140.9473,5171.875
1677.7266,1558.6875
2060.4624,2433.625
1977.0867,1536.6562
906.0908,888.3125
1312.5599,1377.0
1395.0532,1490.1875
1127.2731,1174.9375
1173.0052,929.625
802.04663,942.875
1227.9927,1215.75
958.32227,1313.375
525.2343,408.12506
523.97577,503.18756
887.60486,1169.375
964.0764,947.75
681.35175,794.0
957.27997,945.0
976.7285,1020.4375
928.116,453.75006
779.8793,1130.1875
816.1882,452.18756
634.46564,784.25
665.6692,840.8125
1124.2395,1187.5625
871.12524,891.875
1049.8563,1290.3125
1472.425,1546.125
940.417,1077.8125
430.06317,386.50006
1585.4423,1616.0
1262.9379,1300.75
1663.4587,1638.4375
1602.0787,1925.6875
2121.782,1989.3125
680.9545,596.87506
1637.2688,1165.125
1096.6329,1004.40625
1025.8315,1091.8125
1079.2559,877.34375
468.7301,533.21875
520.1657,606.2813
531.6302,566.84375
469.56952,96.40625
98.93579,17.0625
365.2469,274.96887
662.08374,255.0625
757.8167,849.4375
1337.7527,1531.4375
1263.7777,1323.875
1250.558,1435.0
1188.8104,1490.1875
1116.7308,1141.375
854.6029,1090.375
527.0689,378.75
706.66766,698.25
399.82758,199.1875
1007.38184,1047.7188
439.54572,523.46875
356.25842,219.0625
741.59424,468.96875
599.0242,840.8125
419.2425,348.0
415.40735,455.6875
526.1072,578.00006
179.81311,239.0
176.66284,309.0
186.69849,156.5
195.40234,133.4375
349.90015,441.0
314.01172,308.9375
160.96057,46.03125
90.40906,12.562622
393.27448,256.8125
323.4662,326.375
165.39233,149.5625
407.4925,409.56256
410.44342,413.7813
243.57031,169.40637
132.76416,91.18762
200.68811,427.75
123.54736,144.75
95.15845,110.375
60.129272,81.6875
111.757324,238.3125
130.82202,142.875
79.6936,78.875
133.59485,91.5
209.37854,190.0625
109.286255,75.4375
135.43518,133.4375
60.610474,25.0625
58.819458,63.5625
70.97986,55.125122
33.369873,35.5625
89.4613,58.625
184.9928,37.6875
178.79065,60.000122
240.62573,195.00012
204.40479,121.0625
303.62073,452.18756
558.1777,706.62506
576.6009,327.0625
1632.4026,1207.125
1514.3474,1237.1875
931.39856,830.3125
1018.1725,791.1875
621.655,476.625
464.40283,224.28125
312.8479,348.6875
340.492,269.75
337.1007,255.81262
412.16876,208.1875
160.17859,116.0
335.8822,236.1875
140.90283,108.25
150.4867,183.4375
400.58038,102.0
159.11987,273.25
606.14594,459.18756
281.3562,498.43756
66.13342,260.0
250.39417,269.75
642.58954,290.75
388.0069,283.75
318.7909,421.43756
336.406,436.8125
222.61499,206.1875
268.9702,276.0625
139.23206,475.25006
109.49866,929.5625
158.41077,90.06262
384.79584,218.375
201.54651,22.34375
133.67651,85.25012
362.26105,568.9375
431.19897,1080.625
1037.3575,1762.8125
2535.4004,2719.75
2008.6199,1762.8125
2008.926,1732.75
2044.4973,2018.625
2847.955,2997.9375
2693.1445,3092.2812
2093.9084,2353.9688
1613.4503,939.375
390.04486,865.28125
510.39966,457.8125
425.961,518.625
444.226,316.5625
280.9026,220.81262
292.8606,187.3125
271.51184,299.8125
362.4632,340.375
241.13867,464.06256
341.9873,311.6875
619.9489,696.875
560.22754,437.5
679.1338,575.87506
632.416,675.0
550.58606,743.00006
763.822,501.8125
255.47974,139.75
636.99347,1760.75
1831.8911,1451.0625
850.3408,988.3125
990.6103,168.09375
377.40057,0.34375
250.58472,292.875
228.20154,292.8125
