preds,trues
232.04138,153.6875
3765.8716,3538.3125
2761.8447,2256.3125
2028.9773,1713.875
3943.4316,4362.4375
2370.095,2806.4375
3896.7969,4529.5
3417.7153,5487.8125
3469.291,4783.5
4136.2227,3658.5
1700.397,1501.375
2637.4377,2961.5625
1922.1405,3603.3125
2456.9204,1897.0
3408.788,2935.75
4152.963,3520.75
2560.6333,2642.8125
2232.5278,1378.375
2943.0017,2584.125
2617.5112,2456.9375
2294.458,2706.5
2035.164,1121.8125
1857.2396,2373.75
2239.0454,2080.875
1572.0891,1795.0
1592.5276,1651.6875
1616.0815,1636.3125
1446.1565,940.125
735.33453,672.375
1550.3397,892.5625
824.879,660.5
510.4724,596.87506
589.52356,340.375
383.59918,380.875
294.71045,264.875
417.50977,422.8125
951.3884,713.62506
1125.5203,1585.9375
1225.0698,1076.375
768.03754,542.56256
1027.1901,789.81256
846.7871,814.25006
848.7813,747.875
1007.1937,1260.875
1120.422,1216.25
887.72314,713.62506
1292.3507,1429.375
1253.8491,1261.625
1090.4934,840.12506
475.88934,885.5625
218.26917,0.0
570.4126,397.0
162.06287,1838.3125
206.64404,303.3125
337.55457,299.125
383.86896,448.75
624.08673,237.625
689.3842,451.5
427.6701,299.8125
246.21313,222.25
161.04968,113.875
117.10828,104.8125
162.19666,205.4375
169.72766,407.50006
353.04376,464.06256
191.52893,150.87512
195.02014,157.87512
145.79626,95.0
203.27612,106.18762
411.98907,277.4375
149.552,2.0625
179.57043,212.4375
249.16858,113.18762
388.1491,596.9375
176.73315,223.50012
158.90845,204.75012
304.76855,117.375
298.94324,266.96875
360.43292,107.625
418.20184,269.75
202.11206,252.9375
348.24323,330.56256
352.87488,321.50012
300.2556,278.875
306.48926,283.40625
315.75708,264.125
220.33032,290.0
145.44116,37.6875
72.38989,137.0
143.67871,130.625
98.93872,133.40637
112.102295,123.6875
96.087036,135.5625
130.53076,124.3125
177.7644,62.125122
195.75464,118.06262
279.83533,454.93756
215.4878,124.3125
87.75818,41.875
86.895874,66.37512
107.17908,99.25012
106.61694,29.312622
114.62695,93.625
88.20679,77.5
113.84912,68.4375
85.940674,20.53125
167.3761,131.25
89.68811,101.31262
92.68359,127.875
107.808716,136.93762
95.43909,44.0
70.477295,32.75
44.124756,32.0625
57.38318,41.125122
80.13928,50.250122
81.55994,39.0625
143.1189,104.40625
137.57727,132.75
157.80505,147.4375
152.41162,130.28125
159.51172,147.40637
171.51099,201.9375
136.28894,120.125
82.41223,51.6875
174.03442,121.5625
101.025024,113.18762
132.89722,61.500122
148.78113,89.4375
167.57947,104.4375
119.72485,163.5
138.6383,185.87512
113.74597,93.625
132.70862,94.31262
85.79993,33.500122
59.275757,155.125
59.099976,69.1875
62.70056,43.9375
55.184326,59.03125
67.13611,26.15625
61.875977,57.65625
89.9939,77.5625
91.648926,85.25012
49.812744,153.00012
121.545166,143.59387
228.95251,235.15637
31.662964,196.4375
145.12122,135.25012
249.13013,52.3125
69.718506,44.625
80.33301,51.656372
120.761475,74.75
103.98816,58.0
79.19202,62.1875
73.10217,81.0
39.247314,76.8125
272.2881,130.6875
216.04443,25.437622
108.60974,190.0625
135.35706,153.6875
78.33667,39.0625
69.0105,100.625
151.86475,219.4375
168.66748,122.93762
178.71265,192.625
347.2774,90.75
399.78607,353.62506
186.93738,173.25
167.96045,118.06262
72.93738,34.1875
49.270874,55.843872
58.871338,129.25
107.86487,204.75012
184.5227,123.0625
114.41101,109.6875
130.43079,113.18762
86.85962,143.5625
87.29956,81.0
198.87305,81.8125
75.13684,90.8125
62.140625,27.9375
60.95056,35.625
46.798706,24.03125
71.49463,50.21875
55.758057,18.125
53.842285,20.875
47.265503,20.9375
53.338745,32.0625
69.11145,41.1875
74.815674,80.3125
100.99524,48.1875
58.055054,18.125
65.21765,38.437622
1836.368,2483.5625
3038.398,3296.4375
906.4383,793.31256
1538.2307,963.4375
321.34314,260.62512
1677.5725,1077.125
945.2834,1303.5625
1028.4738,653.5
1692.8755,963.875
2554.463,2378.625
1641.3237,1591.5625
852.07153,911.4375
476.04913,422.12506
454.29968,1272.8125
594.8354,709.4375
562.1386,1014.875
763.33765,603.25
1131.2651,575.53125
700.0961,731.5
875.72815,1728.5312
1240.647,1001.625
761.90356,347.375
530.225,395.62506
309.61914,221.5
463.529,464.06256
395.78564,534.0
533.4414,498.3125
249.34412,427.00006
284.80664,880.6875
1613.1497,1239.6562
483.08185,773.0
1270.2943,1362.25
348.91956,323.62512
217.1654,610.125
299.21997,398.37506
252.84387,48.875
472.8329,404.625
347.78107,1223.9062
942.5624,831.75006
575.5187,267.68762
274.37085,605.25006
484.24854,136.25
155.33276,141.125
517.19275,976.5
1022.5594,1009.3125
828.4343,1320.3125
269.54102,0.0
18.305176,0.0
37.010498,0.0
233.19507,1052.5938
1054.8445,1062.375
816.29456,999.5
889.4685,840.12506
1080.1135,1567.0625
1156.667,1168.6875
1037.2524,1342.0
1631.1183,1685.875
715.65234,691.9375
1222.9058,1012.8125
819.4203,563.5625
636.59064,961.375
825.36285,997.03125
729.0984,794.0
727.452,928.25
877.09717,427.6875
652.2646,600.37506
322.2345,0.0
560.7366,982.0625
1237.2354,1247.625
994.7326,1494.0625
911.45056,830.75
291.25305,0.34375
922.12244,685.68756
586.4676,680.75
579.16284,1157.5
974.0861,1282.625
658.3885,824.75006
924.6972,1021.875
1037.9199,1297.2812
1233.8002,1503.0938
552.77527,917.75
534.60876,373.25
656.153,194.9375
367.74103,476.0
253.58948,153.00012
209.23047,307.50012
188.80432,180.3125
223.64319,198.4375
273.8639,442.43756
505.1933,516.1563
404.23108,582.53125
643.5116,1091.8125
716.40753,782.125
576.97473,641.56256
593.59247,604.5625
700.22766,664.0
442.10132,355.0625
430.0387,409.21875
413.28815,431.18756
596.8228,529.75
377.1302,385.8125
434.40607,371.8125
437.2163,399.75
287.93262,109.375
195.03223,154.09375
148.69788,89.71875
243.94507,259.3125
193.50195,100.5625
205.04187,135.5
208.64136,203.375
198.55383,116.0
206.104,160.34387
45.30896,6.187622
465.91125,536.75
406.32593,676.5625
470.7298,385.8125
502.081,328.43762
340.6432,4.125
115.52991,622.68756
924.8325,1151.1875
672.97644,968.0
383.05212,198.4375
282.66577,20.1875
312.88574,371.8125
261.07202,11.15625
291.95422,317.3125
252.20215,316.5625
396.99225,632.5
457.75775,727.62506
124.02319,198.4375
123.39746,164.1875
155.39929,167.6875
93.31348,95.75
390.10852,186.93762
354.78528,384.0625
306.729,408.875
354.51978,374.9375
463.30518,405.37506
375.82892,404.75006
296.43103,421.43756
460.9807,366.25
452.3274,371.8125
372.9698,622.4063
504.40356,428.43756
503.15668,498.3125
460.1159,360.62506
357.5219,319.37512
313.88782,283.75
324.05762,62.875
97.23987,28.59375
49.144287,23.0625
155.23572,183.68762
144.52942,37.0
4591.1333,3868.9375
2915.998,3316.6875
3042.371,2622.625
3159.4412,4463.75
2647.9426,2618.375
1969.308,2041.75
1915.4221,1890.0
3789.4893,3799.6875
3895.2637,3960.4688
3110.5479,3146.8125
5718.523,5759.6875
3882.1826,4747.0625
4838.762,3678.75
4083.898,3741.6875
2584.853,2054.3125
2788.899,2709.9375
3142.9187,3415.2188
3442.3682,3085.3125
1799.2373,1747.4375
4486.873,5301.1875
6101.9165,6662.8125
5847.852,3708.125
2739.0327,2229.75
2314.399,2485.625
2787.0918,3985.625
2025.1276,2115.125
2463.9868,3475.375
2615.9868,2456.9375
2041.0779,2424.0625
1304.3445,1547.6875
2309.4854,1987.25
1083.5485,835.9375
2150.235,1633.5
1804.3936,2515.9375
1752.5472,1836.875
2919.1956,3409.625
947.9053,529.8125
977.7042,712.9375
2309.877,3324.25
1609.5265,1997.0
3922.102,3534.75
3748.3984,3008.4375
1926.8989,1773.3125
2103.9097,1933.375
2206.2095,1572.0
2405.0513,2196.1875
1632.2397,1332.9375
1684.4392,1051.1875
2027.8147,1977.0312
2409.2256,2728.4688
3484.9277,3979.3125
