preds,trues
170.6615,167.00012
142.46814,170.5
213.46509,202.625
48.51367,223.625
240.23157,138.3125
154.95178,215.875
139.26038,83.12512
171.37268,164.87512
161.75781,106.18762
778.9793,685.3125
759.454,437.15625
605.3928,473.15625
460.05487,357.0938
706.46826,1154.375
585.2206,962.78125
1261.0487,1802.3125
593.33484,622.75
696.8199,455.6875
342.58643,363.43756
322.24353,293.50012
661.1673,1033.75
381.15533,383.0
318.58997,271.1875
334.60156,401.1875
434.19598,368.31256
385.61267,380.1875
1070.158,1211.25
554.925,1005.75
651.3572,1065.875
407.30383,388.56256
302.5515,192.125
326.3479,239.75
451.20386,438.9375
428.85437,321.50012
332.37073,359.25
497.5968,683.5625
701.2154,475.93756
401.36462,378.8125
316.54895,170.5
252.75244,269.75
337.15387,364.125
314.38257,391.37506
573.1092,443.06256
303.89136,243.93762
344.20312,290.75
445.54565,588.50006
665.03625,963.125
469.90002,863.875
575.94867,379.46875
536.77423,489.96875
551.42456,370.75
524.61163,964.1875
638.65936,378.50006
409.46216,437.875
440.1247,300.125
352.36768,455.31256
356.84656,608.8125
505.29352,443.06256
505.162,571.87506
380.08392,329.875
407.92944,327.0625
248.58691,357.8125
407.26233,448.0
558.7789,1276.3125
515.5075,694.125
421.6175,473.875
496.2234,495.5
473.23535,1188.25
1123.6344,1092.5
1577.4513,1952.25
1384.6422,2113.6875
803.38385,985.5
2128.7266,1959.9375
825.425,727.5625
1130.8635,1960.625
408.22467,513.03125
440.99945,508.78125
518.156,1031.0
443.88257,460.21875
566.2271,1134.4062
326.1454,464.43756
562.2346,359.62506
467.10614,467.5625
474.84283,292.59375
457.30865,535.0313
383.0876,144.625
183.3252,184.4375
269.68335,808.6875
275.22754,406.75
521.43414,351.56256
457.7193,297.75012
519.99567,370.37506
256.09668,365.56256
375.47504,471.06256
787.42816,677.9375
387.1958,480.25006
428.86963,413.0625
303.14734,348.0625
401.88348,550.75
740.2239,559.875
305.46936,332.0
416.0553,446.625
488.86096,470.37506
347.41083,304.75012
371.99353,498.3125
336.94397,435.43756
318.96216,341.75006
225.35596,271.1875
394.9082,246.34375
301.88452,166.59375
167.33167,125.03125
198.92773,187.59375
447.46423,408.12506
536.08057,583.25
244.77722,473.875
733.8762,668.125
474.14264,606.6875
783.353,1243.125
399.19922,443.8125
255.84082,283.75
369.85254,277.09387
331.7552,467.87506
303.2777,289.68762
316.62146,391.37506
301.61438,330.56256
643.7993,290.0625
288.25647,333.375
273.08215,203.375
226.4049,284.4375
395.42993,234.125
453.82623,218.0625
348.11707,137.625
259.39478,270.4375
374.61273,327.8125
191.89197,303.625
269.47534,241.78125
376.41687,416.15625
518.9712,555.625
409.19916,455.6875
288.97986,243.1875
238.85962,136.93762
253.82751,162.0625
306.40405,320.0625
187.81934,195.00012
224.43567,274.62512
361.80304,311.6875
126.78821,79.625
210.94849,590.5625
752.07574,705.9375
720.7186,700.3125
468.38513,433.31256
392.58466,388.56256
311.58044,320.75
556.3143,675.18756
630.81274,485.68756
613.9678,770.93756
398.03564,383.6875
322.5459,557.75
592.597,606.625
606.85266,671.0
441.35388,614.37506
714.29333,734.5625
489.41968,583.625
708.24524,720.5625
1044.874,993.9375
464.33002,251.21887
475.34955,695.8125
280.79102,259.25
330.25842,406.75
331.7962,384.37506
312.3717,350.87506
498.69965,410.375
428.76764,416.9063
407.2196,334.75006
402.97833,471.75
549.4296,399.8125
458.15442,775.875
523.03534,536.37506
458.25897,437.5
788.1289,593.37506
489.72943,450.375
478.60144,380.25
606.5215,566.8125
938.089,1231.5625
697.38104,753.84375
545.64496,627.625
651.3962,732.50006
