preds,trues
1061.0486,789.125
2600.137,1525.125
2010.6187,1202.1875
951.25916,1490.875
4334.7114,5102.625
2325.2861,2252.1875
2672.7578,3202.75
2037.623,1256.0625
984.9702,824.0625
1767.3835,1890.6875
470.71332,742.9375
897.89905,477.625
835.20636,858.3125
1137.2848,1477.625
1654.2941,2345.0625
1512.3512,1409.875
1588.2257,1055.375
801.3473,443.8125
585.7723,516.5
681.21625,789.81256
1387.7617,1032.625
1061.7802,1168.0
1397.7979,1672.6875
756.6291,594.8125
896.9234,903.0625
551.18146,637.4375
942.86206,868.09375
1779.6638,1459.125
699.53613,710.84375
688.2523,586.4063
505.88507,503.25006
502.61676,530.84375
606.91296,437.875
665.09174,856.9375
484.91376,398.75
609.565,565.46875
951.9159,1120.375
1129.0975,971.5
181.62646,185.125
220.90271,895.25
847.5543,847.84375
589.21704,396.65625
775.94714,1520.2188
739.54846,688.4375
984.50574,1241.75
1149.3573,874.40625
605.4965,452.5625
465.09656,278.15637
580.0867,505.6563
487.7168,348.37506
1043.0479,781.375
323.84314,407.40625
726.5923,696.8125
526.30505,554.25
364.90405,408.12506
741.2874,694.75
502.2323,376.0
541.49756,704.50006
1005.8717,1332.25
1193.404,1170.0625
1568.4701,2082.25
579.3548,360.62506
735.27515,915.625
758.35516,981.3125
1327.4229,1295.9375
513.01355,384.37506
1097.8634,916.3125
1357.9911,1400.0625
3107.7744,2448.2188
3261.352,3057.0312
3423.3984,3588.9688
3212.2905,5171.875
1715.7512,1558.6875
2010.684,2433.625
2027.4612,1536.6562
953.3941,888.3125
1326.5247,1377.0
1409.5903,1490.1875
1171.0765,1174.9375
1265.2649,929.625
820.9046,942.875
1317.215,1215.75
933.9828,1313.375
455.86053,408.12506
575.9027,503.18756
940.3782,1169.375
1074.1642,947.75
690.5598,794.0
932.82104,945.0
1021.0499,1020.4375
937.3712,453.75006
712.32556,1130.1875
753.6649,452.18756
704.2878,784.25
679.40485,840.8125
1247.8237,1187.5625
861.40125,891.875
1132.5114,1290.3125
1513.221,1546.125
907.0089,1077.8125
353.7965,386.50006
1659.7793,1616.0
1302.3809,1300.75
1724.0929,1638.4375
1606.5471,1925.6875
2149.5122,1989.3125
681.868,596.87506
1609.3151,1165.125
1135.1868,1004.40625
1060.4702,1091.8125
1215.692,877.34375
441.187,533.21875
601.5684,606.2813
627.6263,566.84375
445.08368,96.40625
129.00513,17.0625
407.59607,274.96887
752.45514,255.0625
835.747,849.4375
1368.2245,1531.4375
1298.8063,1323.875
1274.6069,1435.0
1206.2021,1490.1875
1153.8575,1141.375
858.7306,1090.375
457.70264,378.75
658.1295,698.25
265.83435,199.1875
1115.5521,1047.7188
367.22363,523.46875
257.1975,219.0625
810.2383,468.96875
621.5969,840.8125
401.9084,348.0
384.55853,455.6875
543.2563,578.00006
200.1427,239.0
195.50806,309.0
200.39441,156.5
206.48828,133.4375
372.34515,441.0
326.40186,308.9375
154.10461,46.03125
84.981445,12.562622
421.7558,256.8125
339.25732,326.375
158.9928,149.5625
430.96002,409.56256
415.98077,413.7813
255.28857,169.40637
126.328125,91.18762
217.10144,427.75
128.73169,144.75
89.96631,110.375
51.32202,81.6875
98.09778,238.3125
120.03906,142.875
70.59851,78.875
130.23523,91.5
213.03418,190.0625
101.852295,75.4375
131.08362,133.4375
52.74341,25.0625
49.726807,63.5625
57.929565,55.125122
20.73938,35.5625
73.06909,58.625
180.68591,37.6875
172.05896,60.000122
238.64868,195.00012
196.68701,121.0625
312.38782,452.18756
598.1032,706.62506
624.34814,327.0625
1662.8008,1207.125
1548.6515,1237.1875
890.93695,830.3125
982.66077,791.1875
583.3274,476.625
397.70203,224.28125
395.6798,348.6875
384.7556,269.75
376.13446,255.81262
427.2528,208.1875
153.8573,116.0
347.39496,236.1875
150.47583,108.25
162.31567,183.4375
432.2447,102.0
162.17822,273.25
661.39124,459.18756
290.42358,498.43756
43.20862,260.0
261.71948,269.75
717.29974,290.75
407.42767,283.75
324.24707,421.43756
354.62793,436.8125
237.30981,206.1875
293.12744,276.0625
146.88501,475.25006
114.48596,929.5625
149.77942,90.06262
419.6872,218.375
215.50659,22.34375
136.60938,85.25012
386.80725,568.9375
468.60437,1080.625
1148.6833,1762.8125
2483.652,2719.75
2073.8584,1762.8125
2035.6466,1732.75
2044.3976,2018.625
2836.7798,2997.9375
2764.9048,3092.2812
2125.9307,2353.9688
1646.4592,939.375
407.4101,865.28125
525.2518,457.8125
586.249,518.625
527.28375,316.5625
334.37732,220.81262
330.23816,187.3125
292.36218,299.8125
384.8064,340.375
246.95825,464.06256
348.13757,311.6875
670.28613,696.875
577.29266,437.5
732.0679,575.87506
663.84076,675.0
570.2024,743.00006
837.2133,501.8125
238.3164,139.75
720.60046,1760.75
1866.5901,1451.0625
854.94006,988.3125
960.02484,168.09375
296.7572,0.34375
313.09033,292.875
269.19727,292.8125
323.58154,210.3125
279.50293,308.1875
569.56616,1010.0
706.9317,420.75
345.4275,496.25006
539.6891,566.125
725.7078,652.06256
750.8263,594.75006
694.80365,629.75
810.5813,730.375
560.7634,682.93756
1192.7114,1248.375
1245.3575,1311.9375
798.9432,534.68756
331.26813,180.9375
274.51514,223.625
448.81946,202.00012
78.33923,0.0
43.557373,0.0
38.780884,0.0
37.30713,0.0
18.835327,4.125
16.781616,1.71875
657.3044,591.65625
735.8808,763.93756
981.15405,3516.625
1750.9847,2203.1875
1197.2188,1036.5625
1683.4456,1873.25
1717.2966,1952.25
1948.7676,1953.6875
1786.409,1877.4375
2088.403,1906.0625
1712.2125,2093.4375
2222.0474,2007.5
1560.136,1469.25
1760.0706,1760.0625
2584.0015,1130.25
1096.7554,1123.9375
1814.6932,1769.125
1859.3318,1705.5
1900.8528,2091.3125
1590.3516,1439.1875
1259.512,1585.9375
1759.1545,1402.8125
1405.0061,1510.8438
1238.9375,1062.4688
2030.5137,2457.625
2333.9976,2247.9375
1969.379,1734.6875
1765.2439,1213.4375
1516.7185,1292.75
1769.8953,2220.2812
2285.4475,2329.3125
1778.6206,1950.1562
1893.009,1686.9688
5073.1445,4630.8125
1239.8032,988.3125
2621.7817,1919.375
992.1754,339.0
593.1775,264.8125
639.0075,497.9375
808.3752,473.12506
625.95654,423.9063
532.8177,497.62506
1602.2267,2786.1875
1073.8949,1503.5
2072.1204,1579.0
1720.1157,1013.5
1093.1476,979.9375
1284.5149,638.25
1322.476,1222.5
819.7192,759.75
2001.1179,2548.875
776.7375,320.40625
681.4643,760.40625
916.72864,1592.25
3495.3687,2533.8125
2691.331,3585.75
3247.2903,4727.25
1547.4766,1393.0625
1721.7509,2770.8125
2773.392,2487.0
2587.0732,4011.5
5063.32,2434.125
5360.1255,4851.6875
6307.699,6222.4375
4109.816,4938.375
4171.482,3630.5625
2437.6685,2705.0625
1593.9852,2618.4375
4702.0967,3454.375
5280.414,6249.6875
5327.2495,5030.0
1927.2463,3026.625
8376.938,7161.1875
6295.6953,4418.3438
924.6634,460.21875
690.74396,257.875
777.1232,610.87506
978.16187,551.43756
756.0064,627.25006
676.85736,350.8125
2187.1033,1077.8125
1691.03,2367.7812
4982.3745,5435.6875
2863.5408,1820.125
7337.073,9130.3125
5975.114,7778.4375
5797.702,6945.1875
4642.0083,4741.9375
3916.523,6599.8438
5139.469,6216.875
